,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
157,Real Sociedad,Villarreal,0,2,Matchweek 16,-3.0,4.0,-1.0,0.0,16.0,27.0,7.0,7.0,3.1,3.2,2.4,79,76,79,78,80,81,76.0,80,77,78,76,79,82,77,66,76,79,65,71,81,75,76
158,Málaga,Atlético Madrid,1,0,Matchweek 16,-5.0,15.0,-1.0,5.0,14.0,35.0,5.0,15.0,1.75,3.5,5.25,78,81,74,85,78,82,81.0,83,73,83,75,76,78,78,76,80,75,81,72,79,75,78
159,Levante,Málaga,0,1,Matchweek 17,-17.0,-4.0,-4.0,2.0,11.0,17.0,4.0,8.0,2.75,3.0,2.75,72,78,75,74,75,78,75.0,81,71,73,73,75,73,78,70,76,71,75,72,72,78,64
160,Real Madrid,Real Sociedad,3,1,Matchweek 17,27.0,-5.0,12.0,-5.0,33.0,16.0,9.0,7.0,19.0,10.0,1.1,79,79,84,78,83,79,93.0,76,87,80,86,76,87,78,87,66,83,79,87,71,80,79
161,Sevilla,Espanyol,2,0,Matchweek 17,2.0,-10.0,3.0,-1.0,23.0,20.0,8.0,7.0,7.0,4.75,1.4,74,70,81,71,77,76,74.0,74,81,75,79,78,71,77,81,76,81,74,82,76,79,75
162,Rayo Vallecano,Atlético Madrid,0,2,Matchweek 17,-19.0,14.0,-13.0,3.0,14.0,35.0,1.0,12.0,1.53,3.8,6.5,69,81,75,85,76,83,80.0,83,59,76,70,79,76,79,77,78,71,78,59,81,71,78
163,Eibar,Sporting Gijón,2,0,Matchweek 17,0.0,-10.0,-5.0,-3.0,21.0,15.0,2.0,3.0,4.2,3.5,1.85,71,76,74,68,74,71,71.0,76,73,64,74,71,72,63,72,71,72,76,72,66,76,76
164,Las Palmas,Granada,4,1,Matchweek 17,-11.0,-10.0,-4.0,-3.0,13.0,14.0,4.0,7.0,3.75,3.3,2.0,75,77,73,73,69,75,71.0,74,71,74,71,74,76,73,73,73,69,76,67,71,74,73
165,Barcelona,Betis,4,0,Matchweek 17,23.0,-6.0,6.0,0.0,38.0,20.0,11.0,5.0,26.0,13.0,1.06,83,75,84,72,86,72,84.0,72,90,73,94,74,88,76,83,74,78,76,80,75,83,79
166,Celta Vigo,Athletic Club,0,1,Matchweek 17,6.0,6.0,4.0,4.0,31.0,24.0,10.0,7.0,2.9,3.3,2.38,76,79,78,83,71,80,77.0,80,78,74,79,77,77,80,76,73,73,82,77,80,79,79
167,Getafe,La Coruña,0,0,Matchweek 17,-8.0,9.0,-1.0,4.0,16.0,26.0,6.0,11.0,2.88,3.2,2.5,77,76,74,74,74,76,74.0,72,76,76,74,78,77,77,73,75,76,74,74,75,76,73
168,Villarreal,Valencia,1,0,Matchweek 17,6.0,7.0,2.0,-1.0,30.0,22.0,10.0,4.0,4.5,3.5,1.8,76,67,79,73,81,76,80.0,80,78,81,79,80,79,82,76,78,65,76,81,80,64,80
169,Espanyol,Barcelona,0,0,Matchweek 18,-12.0,27.0,-2.0,6.0,20.0,41.0,4.0,11.0,1.2,7.0,14.0,70,83,73,85,74,84,70.0,86,78,84,76,88,74,90,64,94,64,88,76,83,75,84
170,Atlético Madrid,Levante,1,0,Matchweek 18,16.0,-18.0,4.0,-4.0,38.0,11.0,12.0,1.0,17.0,6.5,1.2,81,72,85,75,82,75,83.0,76,83,71,76,77,77,74,84,71,80,72,81,78,81,73
171,Málaga,Celta Vigo,2,0,Matchweek 18,-3.0,5.0,3.0,2.0,20.0,31.0,11.0,10.0,3.0,3.3,2.4,78,69,74,78,78,77,81.0,78,75,79,73,77,78,76,76,73,75,71,76,77,72,69
172,Rayo Vallecano,Real Sociedad,2,2,Matchweek 18,-21.0,-7.0,-12.0,-3.0,14.0,16.0,0.0,4.0,2.75,3.3,2.63,69,79,77,78,78,79,80.0,76,72,80,70,76,76,82,77,77,71,66,59,71,71,79
173,Granada,Sevilla,2,1,Matchweek 18,-13.0,4.0,-6.0,4.0,14.0,26.0,4.0,11.0,1.85,3.6,4.33,77,74,72,77,74,82,70.0,74,75,81,73,79,76,79,75,73,71,81,73,79,73,80
174,Betis,Eibar,0,4,Matchweek 18,-10.0,2.0,-5.0,-1.0,20.0,24.0,5.0,4.0,3.1,3.25,2.4,75,71,72,73,72,74,73.0,71,74,73,76,75,74,71,75,74,71,73,70,72,79,73
175,Athletic Club,Las Palmas,2,2,Matchweek 18,7.0,-8.0,2.0,1.0,27.0,16.0,10.0,6.0,8.5,5.0,1.36,79,75,80,73,74,69,78.0,70,77,76,78,72,79,73,80,76,82,69,80,67,79,74
176,La Coruña,Villarreal,1,2,Matchweek 18,9.0,7.0,2.0,5.0,27.0,33.0,9.0,12.0,2.7,3.2,2.7,76,76,74,79,76,78,72.0,81,76,80,78,78,77,79,75,76,74,65,75,81,73,76
177,Valencia,Real Madrid,2,2,Matchweek 18,6.0,29.0,-1.0,12.0,22.0,36.0,3.0,12.0,1.53,4.33,6.0,67,79,73,84,80,87,76.0,93,80,87,82,86,78,87,76,83,77,78,80,87,80,80
