,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
0,Málaga,Athletic Club,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3.3,2.8,73,78,76,81,76,80,78,81,76,80,72,80,73,80,75,78,72,77,68,80,71,77
1,Granada,La Coruña,2,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.2,1.95,62,75,76,71,72,74,72,73,71,75,66,71,75,74,67,72,73,71,70,71,63,74
2,Sevilla,Valencia,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,2.05,81,81,76,74,79,79,76,80,79,78,81,74,72,78,77,80,78,72,75,75,78,80
3,Almería,Espanyol,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.3,2.55,74,80,73,74,70,69,74,74,73,76,70,75,72,71,69,75,70,70,67,70,72,75
4,Eibar,Real Sociedad,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.4,3.25,74,70,69,76,70,74,70,77,70,80,71,77,71,77,72,79,71,77,70,75,73,67
5,Celta Vigo,Getafe,3,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,1.91,72,79,73,74,75,71,77,73,74,75,74,71,72,70,68,75,73,77,75,76,66,71
6,Barcelona,Elche,3,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,1.1,83,76,83,73,85,71,89,71,93,75,78,67,83,67,81,73,83,72,80,72,66,70
7,Levante,Villarreal,0,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.4,3.4,72,79,77,79,72,78,71,81,69,74,73,72,74,74,73,73,76,72,73,79,66,75
8,Real Madrid,Córdoba,2,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,1.06,84,67,83,71,87,67,92,75,85,73,85,68,76,71,87,73,82,71,79,70,87,64
9,Rayo Vallecano,Atlético Madrid,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,7.0,71,78,76,84,69,77,74,79,77,82,73,82,71,83,73,74,66,82,72,79,76,83
10,Getafe,Almería,1,0,Matchweek 2,-2.0,0.0,-2.0,0.0,0.0,1.0,0.0,1.0,3.75,3.4,2.0,79,74,70,72,73,70,74,74,71,73,70,70,70,72,76,69,71,70,67,67,57,72
11,Valencia,Málaga,3,0,Matchweek 2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,5.5,4.2,1.55,81,73,74,76,81,78,79,76,80,72,78,73,74,73,78,75,72,72,75,68,80,71
12,Córdoba,Celta Vigo,1,1,Matchweek 2,-2.0,2.0,-2.0,2.0,0.0,3.0,0.0,3.0,2.2,3.3,3.3,67,72,71,73,75,68,74,75,73,77,68,74,71,74,73,72,71,68,70,73,64,75
13,Athletic Club,Levante,3,0,Matchweek 2,-1.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,9.0,5.0,1.33,78,72,81,77,78,74,80,72,81,69,80,71,79,73,78,73,78,75,80,73,77,66
14,Atlético Madrid,Eibar,2,1,Matchweek 2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,13.0,5.75,1.22,78,74,84,69,77,70,79,70,82,70,82,71,79,71,83,72,82,71,79,70,83,73
15,Espanyol,Sevilla,1,2,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.88,3.2,2.5,80,74,74,76,69,79,74,76,71,79,76,81,71,72,71,77,75,78,70,75,75,78
16,Villarreal,Barcelona,0,1,Matchweek 2,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.57,4.2,5.0,79,83,72,84,75,83,79,85,79,83,81,93,74,78,72,81,74,83,73,80,79,66
17,La Coruña,Rayo Vallecano,2,2,Matchweek 2,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,3.2,3.3,2.25,75,71,71,76,74,74,73,74,75,77,75,73,73,71,71,73,72,66,71,72,74,76
18,Real Sociedad,Real Madrid,4,2,Matchweek 2,-1.0,2.0,-1.0,2.0,0.0,3.0,0.0,3.0,1.36,5.0,7.5,70,84,74,79,77,83,80,87,77,85,77,85,79,76,75,87,64,82,71,87,75,83
19,Elche,Granada,1,1,Matchweek 2,-3.0,1.0,-3.0,1.0,0.0,3.0,0.0,3.0,3.4,3.2,2.2,76,76,73,76,73,72,71,71,71,75,72,77,75,78,67,67,72,70,72,74,70,57
20,Almería,Córdoba,1,1,Matchweek 3,-1.0,-2.0,-1.0,-2.0,1.0,1.0,1.0,1.0,3.6,3.3,2.05,74,67,72,67,70,75,74,74,73,73,73,70,70,73,72,69,69,71,67,70,72,63
21,Barcelona,Athletic Club,2,0,Matchweek 3,4.0,2.0,4.0,2.0,6.0,3.0,6.0,3.0,8.5,5.5,1.3,83,78,77,81,83,80,85,81,83,80,89,80,93,78,83,77,81,78,80,80,66,77
22,Málaga,Levante,0,0,Matchweek 3,-2.0,-5.0,-2.0,-5.0,3.0,0.0,3.0,0.0,6.0,3.6,1.62,73,72,76,68,76,74,78,74,76,69,72,73,71,73,73,75,75,76,72,73,68,66
23,Real Madrid,Atlético Madrid,1,2,Matchweek 3,0.0,1.0,0.0,1.0,3.0,4.0,3.0,4.0,5.0,3.75,1.67,84,78,83,84,87,77,79,80,92,82,85,79,85,83,76,74,87,82,79,79,87,83
24,Celta Vigo,Real Sociedad,2,2,Matchweek 3,2.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,3.3,3.3,2.2,72,70,73,74,68,77,75,80,77,77,74,79,74,82,72,76,68,77,73,71,75,75
25,Rayo Vallecano,Elche,2,3,Matchweek 3,0.0,-3.0,0.0,-3.0,2.0,1.0,2.0,1.0,5.0,3.5,1.73,71,76,76,73,74,73,77,71,73,71,77,72,71,75,73,67,72,75,74,72,76,72
26,Valencia,Espanyol,3,1,Matchweek 3,3.0,-1.0,3.0,-1.0,4.0,1.0,4.0,1.0,5.5,3.75,1.62,81,80,74,74,79,74,80,71,78,76,74,71,78,71,80,75,72,70,75,70,80,75
27,Sevilla,Getafe,2,0,Matchweek 3,1.0,-1.0,1.0,-1.0,4.0,3.0,4.0,3.0,7.0,4.33,1.44,60,79,77,74,79,70,76,73,79,75,81,71,72,70,77,68,78,70,75,70,78,71
28,Granada,Villarreal,0,0,Matchweek 3,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,2.15,3.2,3.5,76,79,76,72,72,79,71,73,77,74,78,74,73,72,64,79,70,67,74,69,57,60
29,Eibar,La Coruña,0,1,Matchweek 3,0.0,-1.0,0.0,-1.0,3.0,1.0,3.0,1.0,3.6,3.2,2.1,74,75,69,71,70,69,70,75,70,75,71,75,71,72,72,71,71,74,70,71,73,71
30,Elche,Eibar,0,2,Matchweek 4,-2.0,-1.0,-2.0,-1.0,4.0,3.0,4.0,3.0,3.8,3.0,2.15,76,74,73,69,73,70,71,70,71,70,72,71,75,71,67,71,73,72,72,71,72,73
31,La Coruña,Real Madrid,2,8,Matchweek 4,0.0,-1.0,0.0,-1.0,4.0,3.0,4.0,3.0,1.25,6.0,9.5,75,84,71,87,69,81,75,92,75,85,72,85,73,76,71,87,74,82,75,79,74,87
32,Athletic Club,Granada,0,1,Matchweek 4,0.0,1.0,0.0,1.0,3.0,5.0,3.0,5.0,7.5,4.2,1.44,78,76,69,76,78,72,81,71,80,66,80,77,80,69,73,68,80,70,77,74,63,57
33,Atlético Madrid,Celta Vigo,2,2,Matchweek 4,2.0,2.0,2.0,2.0,7.0,5.0,7.0,5.0,7.5,4.2,1.44,78,72,84,75,80,73,82,68,82,75,84,74,74,74,82,74,77,68,79,73,83,75
34,Espanyol,Málaga,2,2,Matchweek 4,-3.0,-2.0,-3.0,-2.0,1.0,4.0,1.0,4.0,3.75,3.3,2.0,80,73,74,76,69,76,76,78,75,76,77,72,71,73,65,75,75,72,70,68,75,71
35,Real Sociedad,Almería,1,2,Matchweek 4,1.0,-1.0,1.0,-1.0,4.0,2.0,4.0,2.0,6.5,4.5,1.44,70,74,74,72,77,70,80,74,77,70,77,73,79,70,82,72,77,69,71,70,75,67
36,Villarreal,Rayo Vallecano,4,2,Matchweek 4,1.0,-1.0,1.0,-1.0,4.0,2.0,4.0,2.0,6.5,3.8,1.53,79,71,79,76,78,74,74,77,74,73,73,77,72,72,79,74,75,67,69,76,60,73
37,Córdoba,Sevilla,1,3,Matchweek 4,-2.0,3.0,-2.0,3.0,2.0,7.0,2.0,7.0,2.0,3.3,3.8,67,60,71,77,67,79,65,76,75,79,74,81,73,72,73,77,68,78,69,75,70,78
38,Levante,Barcelona,0,5,Matchweek 4,-5.0,6.0,-5.0,6.0,1.0,9.0,1.0,9.0,1.18,7.5,15.0,72,83,68,83,68,85,74,83,72,89,69,93,74,86,73,83,76,81,73,83,66,80
39,Getafe,Valencia,0,3,Matchweek 4,-3.0,5.0,-3.0,5.0,3.0,7.0,3.0,7.0,2.05,3.3,3.6,79,81,74,74,70,79,73,80,75,78,70,74,77,78,70,80,76,72,71,75,67,80
40,Real Madrid,Elche,5,1,Matchweek 5,5.0,-4.0,5.0,-4.0,6.0,4.0,6.0,4.0,23.0,12.0,1.08,79,76,79,71,87,71,81,71,92,72,85,75,76,67,87,75,82,73,83,72,79,72
41,Celta Vigo,La Coruña,2,1,Matchweek 5,2.0,-6.0,2.0,-6.0,6.0,4.0,6.0,4.0,6.0,3.75,1.57,72,75,75,71,73,69,68,75,75,75,77,72,74,73,74,71,68,74,73,71,75,74
42,Eibar,Villarreal,1,1,Matchweek 5,1.0,3.0,1.0,3.0,6.0,7.0,6.0,7.0,2.3,3.0,3.4,74,79,73,72,70,75,71,79,71,76,69,78,72,73,68,72,71,75,71,67,73,69
43,Rayo Vallecano,Athletic Club,2,1,Matchweek 5,-3.0,-1.0,-3.0,-1.0,2.0,3.0,2.0,3.0,2.25,3.4,3.1,71,78,74,81,77,80,73,81,77,80,71,80,66,78,72,77,74,78,73,80,76,77
44,Almería,Atlético Madrid,0,1,Matchweek 5,0.0,2.0,0.0,2.0,5.0,8.0,5.0,8.0,1.57,3.8,6.0,74,78,66,84,72,77,70,79,74,80,70,82,73,82,73,79,70,84,70,79,71,83
45,Málaga,Barcelona,0,0,Matchweek 5,-2.0,11.0,-2.0,11.0,5.0,12.0,5.0,12.0,1.33,5.0,9.0,73,83,77,84,76,83,78,85,68,83,73,89,73,93,75,86,73,76,63,69,71,81
46,Sevilla,Real Sociedad,1,0,Matchweek 5,5.0,0.0,5.0,0.0,10.0,4.0,10.0,4.0,4.33,3.6,1.8,81,70,77,79,79,80,75,77,81,77,77,79,71,77,79,64,80,71,78,65,75,75
