,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Bayern Munich,Manuel Neuer,Niklas Süle,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Jérôme Boateng,Thomas Müller,David Alaba,Kingsley Coman,Joshua Kimmich,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Florian Grillitsch,Leonardo Bittencourt,Kasim Nuhu,Nico Schulz,Kevin Vogt,Ádám Szalai,Vincenzo Grifo,Joelinton,3,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Düsseldorf,Michael Rensing,André Hoffmann,Kaan Ayhan,Alfredo Morales,Benito Raman,Kevin Stöger,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Marcel Sobottka,Jean Zimmer,Augsburg,Fabian Giefer,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Marco Richter,André Hahn,Caiuby,Philipp Max,Martin Hinteregger,1,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Hertha BSC,Rune Jarstein,Karim Rekik,Niklas Stark,Salomon Kalou,Ondrej Duda,Maximilian Mittelstädt,Vedad Ibišević,Valentino Lazaro,Marvin Plattenhardt,Arne Maier,Jordan Torunarigha,Nürnberg,Fabian Bredlow,Edgar Salli,Robert Bauer,Mikael Ishak,Yuya Kubo,Hanno Behrens,Tim Leibold,Lukas Mühl,Ondřej Petrák,Georg Margreitter,Alexander Fuchs,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Werder Bremen,Jiří Pavlenka,Ludwig Augustinsson,Florian Kainz,Yuya Osako,Max Kruse,Miloš Veljković,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Philipp Bargfrede,Hannover 96,Michael Esser,Walace,Takuma Asano,Ihlas Bebou,Matthias Ostrzolek,Niclas Füllkrug,Oliver Sorg,Pirmin Schwegler,Kevin Wimmer,Waldemar Anton,Linton Maina,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Wolfsburg,Koen Casteels,William,Ignacio Camacho,Josip Brekalo,Renato Steffen,Wout Weghorst,Jérôme Roussillon,Josuha Guilavogui,John Brooks,Maximilian Arnold,Robin Knoche,Schalke 04,Ralf Fährmann,Weston McKennie,Matija Nastasić,Mark Uth,Suat Serdar,Baba Rahman,Daniel Caligiuri,Guido Burgstaller,Amine Harit,Salif Sané,Naldo,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Luca Waldschmidt,Pascal Stenzel,Nils Petersen,Jérôme Gondorf,Dominique Heintz,Nicolas Höfler,Christian Günter,Eint Frankfurt,Frederik Rønnow,Obite N'Dicka,Gelson Fernandes,Sébastien Haller,Mijat Gaćinović,Carlos Salcedo,Jetro Willems,Lucas Torró,Danny da Costa,Nicolai Müller,Taleb Tawatha,0,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Gladbach,Yann Sommer,Tobias Strobl,Thorgan Hazard,Raffael,Jordan Beyer,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matthias Ginter,Florian Neuhaus,Leverkusen,Ramazan Özcan,Jonathan Tah,Aleksandar Dragović,Leon Bailey,Julian Brandt,Lucas Alario,Wendell,Dominik Kohr,Kai Havertz,Kevin Volland,Benjamin Henrichs,2,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Mainz 05,Florian Müller,Aarón Martín,Robin Quaison,Jean-Philippe Mateta,Stefan Bell,Daniel Brosinski,Moussa Niakhate,Jean-Philippe Gbamin,Pablo de Blasis,Ridle Baku,Gerrit Holtmann,Stuttgart,Ron-Robert Zieler,Emiliano Insúa,Santiago Ascacíbar,Pablo Maffeo,Gonzalo Castro,Erik Thommy,Christian Gentner,Benjamin Pavard,Nicolás González,Mario Gómez,Holger Badstuber,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Dortmund,Roman Bürki,Abdou Diallo,Thomas Delaney,Marco Reus,Manuel Akanji,Mahmoud Dahoud,Maximilian Philipp,Christian Pulisic,Łukasz Piszczek,Axel Witsel,Marcel Schmelzer,RB Leipzig,Péter Gulácsi,Marcelo Saracchi,Dayot Upamecano,Ibrahima Konaté,Marcel Sabitzer,Yussuf Poulsen,Emil Forsberg,Lukas Klostermann,Jean-Kévin Augustin,Diego Demme,Kevin Kampl,4,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Hannover 96,Michael Esser,Miiko Albornoz,Walace,Takuma Asano,Ihlas Bebou,Iver Fossum,Niclas Füllkrug,Oliver Sorg,Kevin Wimmer,Waldemar Anton,Linton Maina,Dortmund,Roman Bürki,Abdou Diallo,Thomas Delaney,Marco Reus,Manuel Akanji,Mahmoud Dahoud,Maximilian Philipp,Łukasz Piszczek,Marius Wolf,Axel Witsel,Marcel Schmelzer,0,0,Matchweek 2,2,0.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0
10,10,Augsburg,Fabian Giefer,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Koo Ja-cheol,Marco Richter,André Hahn,Philipp Max,Martin Hinteregger,Gladbach,Yann Sommer,Tobias Strobl,Thorgan Hazard,Raffael,Jordan Beyer,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matthias Ginter,Florian Neuhaus,1,1,Matchweek 2,2,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0
11,11,Nürnberg,Fabian Bredlow,Mikael Ishak,Yuya Kubo,Hanno Behrens,Federico Palacios Martínez,Enrico Valentini,Tim Leibold,Lukas Mühl,Ondřej Petrák,Georg Margreitter,Alexander Fuchs,Mainz 05,Florian Müller,Aarón Martín,Robin Quaison,Jean-Philippe Mateta,Alexandru Maxim,Pierre Kunde,Stefan Bell,Daniel Brosinski,Moussa Niakhate,Karim Onisiwo,Ridle Baku,1,1,Matchweek 2,2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0
12,12,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Florian Grillitsch,Leonardo Bittencourt,Kasim Nuhu,Nico Schulz,Steven Zuber,Kevin Vogt,Ádám Szalai,Joelinton,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Lucas Höler,Pascal Stenzel,Nils Petersen,Jérôme Gondorf,Dominique Heintz,Nicolas Höfler,Christian Günter,3,1,Matchweek 2,2,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0
13,13,Eint Frankfurt,Kevin Trapp,Gelson Fernandes,Sébastien Haller,Filip Kostić,Mijat Gaćinović,Carlos Salcedo,Jetro Willems,Lucas Torró,David Abraham,Danny da Costa,Nicolai Müller,Werder Bremen,Jiří Pavlenka,Ludwig Augustinsson,Yuya Osako,Martin Harnik,Max Kruse,Miloš Veljković,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Philipp Bargfrede,1,2,Matchweek 2,2,2.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0
14,14,Leverkusen,Ramazan Özcan,Jonathan Tah,Aleksandar Dragović,Lars Bender,Leon Bailey,Julian Brandt,Lucas Alario,Wendell,Mitchell Weiser,Kai Havertz,Kevin Volland,Wolfsburg,Pavao Pervan,William,Ignacio Camacho,Josip Brekalo,Renato Steffen,Wout Weghorst,Yannick Gerhardt,Jérôme Roussillon,John Brooks,Maximilian Arnold,Robin Knoche,1,3,Matchweek 2,2,-2.0,1.0,-2.0,1.0,0.0,3.0,0.0,3.0
15,15,Stuttgart,Ron-Robert Zieler,Emiliano Insúa,Dennis Aogo,Timo Baumgartl,Santiago Ascacíbar,Pablo Maffeo,Gonzalo Castro,Anastasios Donis,Christian Gentner,Benjamin Pavard,Mario Gómez,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Robert Lewandowski,Arjen Robben,Jérôme Boateng,Leon Goretzka,Thomas Müller,David Alaba,Joshua Kimmich,0,3,Matchweek 2,2,-1.0,2.0,-1.0,2.0,0.0,3.0,0.0,3.0
16,16,RB Leipzig,Péter Gulácsi,Marcelo Saracchi,Dayot Upamecano,Emil Forsberg,Timo Werner,Stefan Ilsanker,Bruma,Nordi Mukiele,Jean-Kévin Augustin,Diego Demme,Kevin Kampl,Düsseldorf,Michael Rensing,André Hoffmann,Kaan Ayhan,Alfredo Morales,Marvin Ducksch,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Marcel Sobottka,Marcin Kamiński,Jean Zimmer,1,1,Matchweek 2,2,-3.0,-1.0,-3.0,-1.0,0.0,0.0,0.0,0.0
17,17,Schalke 04,Ralf Fährmann,Weston McKennie,Mark Uth,Nabil Bentaleb,Yevhen Konoplyanka,Sebastian Rudy,Baba Rahman,Daniel Caligiuri,Salif Sané,Naldo,Breel Embolo,Hertha BSC,Rune Jarstein,Karim Rekik,Niklas Stark,Salomon Kalou,Ondrej Duda,Marko Grujić,Maximilian Mittelstädt,Vedad Ibišević,Valentino Lazaro,Arne Maier,Jordan Torunarigha,0,2,Matchweek 2,2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0
18,18,Dortmund,Roman Bürki,Abdou Diallo,Thomas Delaney,Marco Reus,Manuel Akanji,Mahmoud Dahoud,Maximilian Philipp,Łukasz Piszczek,Marius Wolf,Marcel Schmelzer,Jacob Bruun Larsen,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Simon Falette,Gelson Fernandes,Marco Fabián,Sébastien Haller,Filip Kostić,Mijat Gaćinović,Lucas Torró,David Abraham,Danny da Costa,3,1,Matchweek 3,3,3.0,1.0,3.0,1.0,4.0,3.0,4.0,3.0
19,19,Wolfsburg,Koen Casteels,William,Ignacio Camacho,Josip Brekalo,Renato Steffen,Wout Weghorst,Yannick Gerhardt,Jérôme Roussillon,John Brooks,Maximilian Arnold,Robin Knoche,Hertha BSC,Rune Jarstein,Niklas Stark,Salomon Kalou,Ondrej Duda,Marko Grujić,Javairô Dilrosun,Vedad Ibišević,Valentino Lazaro,Marvin Plattenhardt,Arne Maier,Jordan Torunarigha,2,2,Matchweek 3,3,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0
20,20,RB Leipzig,Péter Gulácsi,Marcelo Saracchi,Willi Orban,Ibrahima Konaté,Yussuf Poulsen,Emil Forsberg,Timo Werner,Stefan Ilsanker,Nordi Mukiele,Diego Demme,Kevin Kampl,Hannover 96,Michael Esser,Miiko Albornoz,Walace,Takuma Asano,Ihlas Bebou,Niclas Füllkrug,Oliver Sorg,Pirmin Schwegler,Kevin Wimmer,Waldemar Anton,Linton Maina,3,2,Matchweek 3,3,-3.0,0.0,-3.0,0.0,1.0,2.0,1.0,2.0
21,21,Bayern Munich,Manuel Neuer,Niklas Süle,Thiago Alcántara,Robert Lewandowski,Arjen Robben,Rafinha,Jérôme Boateng,Serge Gnabry,Corentin Tolisso,Thomas Müller,Joshua Kimmich,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Sven Bender,Aleksandar Dragović,Lars Bender,Leon Bailey,Tin Jedvaj,Wendell,Dominik Kohr,Kai Havertz,Kevin Volland,3,1,Matchweek 3,3,5.0,-4.0,5.0,-4.0,6.0,0.0,6.0,0.0
22,22,Düsseldorf,Michael Rensing,Kaan Ayhan,Alfredo Morales,Marvin Ducksch,Adam Bodzek,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Marcel Sobottka,Marcin Kamiński,Jean Zimmer,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Håvard Nordtveit,Florian Grillitsch,Leonardo Bittencourt,Nico Schulz,Kevin Vogt,Andrej Kramarić,Ádám Szalai,Joelinton,Stefan Posch,2,1,Matchweek 3,3,-1.0,0.0,-1.0,0.0,1.0,3.0,1.0,3.0
23,23,Mainz 05,Florian Müller,Aarón Martín,Robin Quaison,Jean-Philippe Mateta,Pierre Kunde,Daniel Brosinski,Moussa Niakhate,Karim Onisiwo,Niko Bungert,Jonathan Burkardt,Ridle Baku,Augsburg,Fabian Giefer,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Koo Ja-cheol,Marco Richter,André Hahn,Philipp Max,Martin Hinteregger,2,1,Matchweek 3,3,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0
24,24,Gladbach,Yann Sommer,Tobias Strobl,Denis Zakaria,Thorgan Hazard,Alassane Pléa,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matthias Ginter,Nico Elvedi,Schalke 04,Ralf Fährmann,Hamza Mendyl,Matija Nastasić,Mark Uth,Franco Di Santo,Nabil Bentaleb,Sebastian Rudy,Daniel Caligiuri,Guido Burgstaller,Salif Sané,Naldo,2,1,Matchweek 3,3,2.0,-3.0,2.0,-3.0,4.0,0.0,4.0,0.0
25,25,Werder Bremen,Jiří Pavlenka,Ludwig Augustinsson,Yuya Osako,Martin Harnik,Max Kruse,Miloš Veljković,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Philipp Bargfrede,Nürnberg,Fabian Bredlow,Mikael Ishak,Yuya Kubo,Hanno Behrens,Enrico Valentini,Tim Leibold,Matheus Pereira,Lukas Mühl,Ondřej Petrák,Georg Margreitter,Alexander Fuchs,1,1,Matchweek 3,3,1.0,-1.0,1.0,-1.0,4.0,1.0,4.0,1.0
26,26,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Pascal Stenzel,Nils Petersen,Janik Haberer,Jérôme Gondorf,Dominique Heintz,Nicolas Höfler,Christian Günter,Stuttgart,Ron-Robert Zieler,Emiliano Insúa,Dennis Aogo,Timo Baumgartl,Santiago Ascacíbar,Gonzalo Castro,Christian Gentner,Benjamin Pavard,Nicolás González,Mario Gómez,Andreas Beck,3,3,Matchweek 3,3,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0
27,27,Stuttgart,Ron-Robert Zieler,Emiliano Insúa,Timo Baumgartl,Santiago Ascacíbar,Gonzalo Castro,Chadrac Akolo,Christian Gentner,Benjamin Pavard,Nicolás González,Mario Gómez,Andreas Beck,Düsseldorf,Michael Rensing,Kaan Ayhan,Alfredo Morales,Benito Raman,Marvin Ducksch,Adam Bodzek,Niko Gießelmann,Matthias Zimmermann,Marcel Sobottka,Marcin Kamiński,Jean Zimmer,0,0,Matchweek 4,4,-4.0,0.0,-4.0,0.0,1.0,4.0,1.0,4.0
28,28,Hertha BSC,Rune Jarstein,Niklas Stark,Salomon Kalou,Ondrej Duda,Marko Grujić,Javairô Dilrosun,Vedad Ibišević,Valentino Lazaro,Marvin Plattenhardt,Arne Maier,Fabian Lustenberger,Gladbach,Yann Sommer,Tobias Strobl,Denis Zakaria,Thorgan Hazard,Alassane Pléa,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matthias Ginter,Nico Elvedi,4,2,Matchweek 4,4,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0
29,29,Wolfsburg,Koen Casteels,William,Ignacio Camacho,Renato Steffen,Wout Weghorst,Yannick Gerhardt,Admir Mehmedi,Jérôme Roussillon,John Brooks,Maximilian Arnold,Robin Knoche,Freiburg,Alexander Schwolow,Manuel Gulde,Mike Frantz,Marco Terrazzino,Lukas Kübler,Nils Petersen,Roland Sallai,Dominique Heintz,Robin Koch,Nicolas Höfler,Christian Günter,1,3,Matchweek 4,4,3.0,-4.0,3.0,-4.0,7.0,1.0,7.0,1.0
30,30,Nürnberg,Fabian Bredlow,Mikael Ishak,Yuya Kubo,Hanno Behrens,Enrico Valentini,Tim Leibold,Virgil Misidjan,Lukas Mühl,Ondřej Petrák,Georg Margreitter,Alexander Fuchs,Hannover 96,Michael Esser,Miiko Albornoz,Walace,Genki Haraguchi,Ihlas Bebou,Bobby Wood,Niclas Füllkrug,Oliver Sorg,Pirmin Schwegler,Kevin Wimmer,Waldemar Anton,2,0,Matchweek 4,4,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0
31,31,Hoffenheim,Oliver Baumann,Joshua Brenet,Ermin Bičakčić,Florian Grillitsch,Leonardo Bittencourt,Nico Schulz,Steven Zuber,Kevin Vogt,Andrej Kramarić,Joelinton,Stefan Posch,Dortmund,Roman Bürki,Abdou Diallo,Marco Reus,Manuel Akanji,Mahmoud Dahoud,Christian Pulisic,Shinji Kagawa,Łukasz Piszczek,Marius Wolf,Axel Witsel,Marcel Schmelzer,1,1,Matchweek 4,4,-1.0,5.0,-1.0,5.0,3.0,7.0,3.0,7.0
32,32,Augsburg,Fabian Giefer,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Koo Ja-cheol,Marco Richter,André Hahn,Philipp Max,Raphael Framberger,Martin Hinteregger,Werder Bremen,Jiří Pavlenka,Claudio Pizarro,Ludwig Augustinsson,Florian Kainz,Max Kruse,Miloš Veljković,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Philipp Bargfrede,2,3,Matchweek 4,4,0.0,1.0,0.0,1.0,4.0,5.0,4.0,5.0
33,33,Schalke 04,Ralf Fährmann,Weston McKennie,Matija Nastasić,Mark Uth,Franco Di Santo,Sebastian Rudy,Daniel Caligiuri,Salif Sané,Alessandro Schöpf,Naldo,Breel Embolo,Bayern Munich,Manuel Neuer,Niklas Süle,Mats Hummels,Thiago Alcántara,Franck Ribéry,Robert Lewandowski,James Rodríguez,Leon Goretzka,Thomas Müller,David Alaba,Joshua Kimmich,0,2,Matchweek 4,4,-4.0,7.0,-4.0,7.0,0.0,9.0,0.0,9.0
34,34,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Sven Bender,Lars Bender,Leon Bailey,Julian Brandt,Lucas Alario,Wendell,Dominik Kohr,Mitchell Weiser,Kai Havertz,Mainz 05,Florian Müller,Aarón Martín,Levin Öztunalı,Jean-Philippe Mateta,Pierre Kunde,Stefan Bell,Daniel Brosinski,Moussa Niakhate,Jean-Philippe Gbamin,Jonathan Burkardt,Ridle Baku,1,0,Matchweek 4,4,-6.0,2.0,-6.0,2.0,0.0,7.0,0.0,7.0
35,35,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Gelson Fernandes,Jonathan de Guzmán,Luka Jović,Sébastien Haller,Filip Kostić,Mijat Gaćinović,David Abraham,Makoto Hasebe,Danny da Costa,RB Leipzig,Péter Gulácsi,Marcelo Saracchi,Willi Orban,Dayot Upamecano,Marcel Sabitzer,Yussuf Poulsen,Emil Forsberg,Timo Werner,Konrad Laimer,Diego Demme,Kevin Kampl,1,1,Matchweek 4,4,-1.0,-2.0,-1.0,-2.0,3.0,4.0,3.0,4.0
36,36,Werder Bremen,Jiří Pavlenka,Ludwig Augustinsson,Yuya Osako,Martin Harnik,Max Kruse,Miloš Veljković,Nuri Şahin,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Hertha BSC,Rune Jarstein,Karim Rekik,Niklas Stark,Ondrej Duda,Javairô Dilrosun,Vedad Ibišević,Valentino Lazaro,Marvin Plattenhardt,Arne Maier,Palkó Dárdai,Fabian Lustenberger,3,1,Matchweek 5,5,2.0,5.0,2.0,5.0,8.0,10.0,8.0,10.0
37,37,Bayern Munich,Manuel Neuer,Sandro Wagner,Niklas Süle,Mats Hummels,Javi Martínez,Arjen Robben,Leon Goretzka,Serge Gnabry,Thomas Müller,Joshua Kimmich,Renato Sanches,Augsburg,Andreas Luthe,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Jan Morávek,André Hahn,Caiuby,Philipp Max,Raphael Framberger,Martin Hinteregger,1,1,Matchweek 5,5,9.0,-1.0,9.0,-1.0,12.0,4.0,12.0,4.0
38,38,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Marco Terrazzino,Lukas Kübler,Nils Petersen,Roland Sallai,Dominique Heintz,Robin Koch,Nicolas Höfler,Christian Günter,Schalke 04,Ralf Fährmann,Hamza Mendyl,Matija Nastasić,Suat Serdar,Nabil Bentaleb,Yevhen Konoplyanka,Daniel Caligiuri,Cedric Teuchert,Amine Harit,Salif Sané,Breel Embolo,1,0,Matchweek 5,5,-2.0,-6.0,-2.0,-6.0,4.0,0.0,4.0,0.0
