,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
221,221,221,Augsburg,Marwin Hitz,Ragnar Klavan,Halil Altıntop,Markus Feulner,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Dominik Kohr,Ji Dong-won,Raúl Bobadilla,Mainz 05,Loris Karius,Johannes Geis,Yunus Mallı,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Shinji Okazaki,Park Joo-ho,Niko Bungert,Jonas Hofmann,Pablo de Blasis,0,2,Matchweek 25,25,3.0,-3.0,-1.0,-2.0,38.0,26.0,5.0,4.0,4.0,3.5,1.95
222,222,222,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,İlkay Gündoğan,Henrikh Mkhitaryan,Marco Reus,Mats Hummels,Pierre-Emerick Aubameyang,Oliver Kirch,Shinji Kagawa,Marcel Schmelzer,Köln,Timo Horn,Dominic Maroh,Kevin Vogt,Marcel Risse,Anthony Ujah,Jonas Hector,Paweł Olkowski,Sławomir Peszko,Mërgim Mavraj,Deyverson,Matthias Lehmann,0,0,Matchweek 25,25,0.0,-6.0,6.0,-2.0,29.0,28.0,13.0,5.0,10.0,5.0,1.33
223,223,223,Wolfsburg,Diego Benaglio,Timm Klose,Daniel Caligiuri,Vieirinha,Bas Dost,Kevin De Bruyne,Christian Träsch,Luiz Gustavo,Josuha Guilavogui,Robin Knoche,Ricardo Rodríguez,Freiburg,Roman Bürki,Marc Torrejón,Vladimír Darida,Mike Frantz,Admir Mehmedi,Stefan Mitrović,Jonathan Schmid,Sascha Riether,Oliver Sorg,Christian Günter,Felix Klaus,3,0,Matchweek 25,25,25.0,-9.0,3.0,0.0,50.0,22.0,12.0,4.0,9.0,5.25,1.33
224,224,224,Gladbach,Yann Sommer,Patrick Herrmann,Max Kruse,Thorgan Hazard,Raffael,Álvaro Domínguez,Oscar Wendt,Christoph Kramer,Tony Jantschke,Granit Xhaka,Martin Stranzl,Hannover 96,Ron-Robert Zieler,Miiko Albornoz,Salif Sané,Edgar Prib,Manuel Schmiedebach,Joselu,João Pereira,Christian Schulz,Jimmy Briand,Marcelo,Hiroshi Kiyotake,2,0,Matchweek 25,25,13.0,-10.0,3.0,-3.0,41.0,27.0,8.0,2.0,4.75,3.75,1.75
225,225,225,Hamburger SV,René Adler,Dennis Diekmeier,Cléber,Heiko Westermann,Johan Djourou,Ivica Olić,Ivo Iličević,Zoltán Stieber,Valon Behrami,Rafael van der Vaart,Nicolai Müller,Hertha BSC,Thomas Kraft,Peter Pekarík,Per Ciljan Skjelbred,Salomon Kalou,Änis Ben-Hatira,Valentin Stocker,Sebastian Langkamp,Marvin Plattenhardt,John Brooks,Roy Beerens,Fabian Lustenberger,0,1,Matchweek 26,26,-20.0,-14.0,-4.0,0.0,25.0,26.0,2.0,5.0,3.1,3.25,2.38
226,226,226,Köln,Timo Horn,Dominic Maroh,Kevin Vogt,Marcel Risse,Anthony Ujah,Jonas Hector,Paweł Olkowski,Sławomir Peszko,Deyverson,Kevin Wimmer,Matthias Lehmann,Werder Bremen,Raphael Wolf,Jannik Vestergaard,Clemens Fritz,Franco Di Santo,Sebastian Prödl,Zlatko Junuzović,Fin Bartels,Theodor Gebre Selassie,Davie Selke,Janek Sternberg,Philipp Bargfrede,1,1,Matchweek 26,26,-6.0,-13.0,-1.0,-5.0,29.0,33.0,5.0,7.0,3.3,3.4,2.2
227,227,227,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Rafa,Lukas Rupp,Patrick Ziegler,Jens Wemmer,Mario Vrančić,Alban Meha,Daniel Brückner,Michael Heinloth,Srđan Lakić,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Sven Schipplock,Roberto Firmino,Tobias Strobl,Tarik Elyounoussi,Kim Jin-su,Kevin Volland,0,0,Matchweek 26,26,-27.0,2.0,-15.0,3.0,23.0,36.0,3.0,10.0,2.0,3.5,3.75
228,228,228,Hannover 96,Ron-Robert Zieler,Hiroki Sakai,Salif Sané,Lars Stindl,Joselu,Christian Schulz,Felipe,Jimmy Briand,Marcelo,Hiroshi Kiyotake,Leonardo Bittencourt,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,İlkay Gündoğan,Marco Reus,Mats Hummels,Jakub Błaszczykowski,Pierre-Emerick Aubameyang,Oliver Kirch,Shinji Kagawa,Sokratis Papastathopoulos,2,3,Matchweek 26,26,-12.0,0.0,-4.0,4.0,27.0,30.0,2.0,11.0,1.62,4.2,5.0
229,229,229,Freiburg,Roman Bürki,Pavel Krmaš,Mike Frantz,Admir Mehmedi,Stefan Mitrović,Jonathan Schmid,Sascha Riether,Oliver Sorg,Nicolas Höfler,Christian Günter,Felix Klaus,Augsburg,Marwin Hitz,Ragnar Klavan,Markus Feulner,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Dominik Kohr,Ji Dong-won,Raúl Bobadilla,Nikola Đurđić,2,0,Matchweek 26,26,-12.0,1.0,-5.0,-2.0,22.0,38.0,4.0,4.0,2.38,3.4,3.0
230,230,230,Stuttgart,Sven Ulreich,Timo Baumgartl,Georg Niedermeier,Martin Harnik,Florian Klein,Timo Werner,Christian Gentner,Adam Hloušek,Serey Die,Daniel Ginczek,Alexandru Maxim,Eint Frankfurt,Kevin Trapp,Carlos Zambrano,Bastian Oczipka,Takashi Inui,Haris Seferović,Alexander Meier,Stefan Aigner,Alexander Madlung,Makoto Hasebe,Marc Stendera,Timothy Chandler,3,1,Matchweek 26,26,-21.0,-1.0,-5.0,1.0,20.0,34.0,2.0,9.0,2.8,3.4,2.5
