,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
180,180,180,Augsburg,Marwin Hitz,Paul Verhaegh,Daniel Baier,Christoph Janker,Koo Ja-cheol,Dominik Kohr,Raúl Bobadilla,Georg Teigl,Philipp Max,Martin Hinteregger,Takashi Usami,Leverkusen,Bernd Leno,Aleksandar Dragović,Javier Hernández,Lars Bender,Tin Jedvaj,Wendell,Julian Brandt,Kai Havertz,Karim Bellarabi,Benjamin Henrichs,Kevin Kampl,Matchweek 21,1,3,21,-6.0,2.0,-2.0,3.0,24.0,27.0,7.0,7.0,2.25,3.25,3.25
181,181,181,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Marco Reus,Pierre-Emerick Aubameyang,André Schürrle,Łukasz Piszczek,Gonzalo Castro,Matthias Ginter,Marcel Schmelzer,Julian Weigl,Wolfsburg,Diego Benaglio,Jeffrey Bruma,Vieirinha,Yunus Mallı,Yannick Gerhardt,Jannes Horn,Luiz Gustavo,Maximilian Arnold,Paul Seguin,Mario Gómez,Ricardo Rodríguez,Matchweek 21,3,0,21,17.0,-9.0,1.0,0.0,34.0,22.0,8.0,9.0,7.5,4.5,1.44
182,182,182,Mainz 05,Jonas Lössl,Giulio Donati,Danny Latza,Levin Öztunalı,Bojan Krkić,Jhon Córdoba,Stefan Bell,Jairo Samperio,Daniel Brosinski,André Ramalho,Jean-Philippe Gbamin,Werder Bremen,Felix Wiedwald,Robert Bauer,Thomas Delaney,Clemens Fritz,Max Kruse,Zlatko Junuzović,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Serge Gnabry,Matchweek 21,0,2,21,-6.0,-18.0,-2.0,-4.0,25.0,16.0,5.0,1.0,4.0,3.5,1.95
183,183,183,Eint Frankfurt,Lukáš Hrádecký,Jesús Vallejo,Bastian Oczipka,Haris Seferović,Alexander Meier,Ante Rebić,David Abraham,Makoto Hasebe,Timothy Chandler,Aymen Barkok,Omar Mascarell,Ingolstadt 04,Markus Suttner,Martin Hansen,Alfredo Morales,Mathew Leckie,Pascal Groß,Dario Lezcano,Romain Brégerie,Marcel Tisserand,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Matchweek 21,0,2,21,7.0,-15.0,-3.0,-2.0,35.0,15.0,9.0,3.0,4.2,3.1,2.05
184,184,184,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Steven Zuber,Nadiem Amiri,Kevin Vogt,Marco Terrazzino,Niklas Süle,Darmstadt 98,Michael Esser,Alexander Milošević,Artem Fedetskyi,Jérôme Gondorf,Jan Rosenthal,Terrence Boyd,Peter Niemeyer,Marcel Heller,Fabian Holland,Sidney Sam,Hamit Altıntop,Matchweek 21,2,0,21,15.0,-25.0,4.0,-6.0,34.0,12.0,7.0,4.0,7.5,4.5,1.45
185,185,185,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Arjen Robben,Douglas Costa,Juan Bernat,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Joshua Kimmich,Matchweek 21,1,1,21,4.0,33.0,-4.0,4.0,33.0,49.0,6.0,13.0,1.36,4.33,10.0
186,186,186,Hamburger SV,René Adler,Dennis Diekmeier,Lewis Holtby,Kyriakos Papadopoulos,Walace,Mërgim Mavraj,Aaron Hunt,Filip Kostić,Matthias Ostrzolek,Gōtoku Sakai,Gideon Jung,Freiburg,Alexander Schwolow,Marc Torrejón,Çağlar Söyüncü,Amir Abrashi,Lukas Kübler,Nils Petersen,Janik Haberer,Maximilian Philipp,Nicolas Höfler,Christian Günter,Vincenzo Grifo,Matchweek 21,2,2,21,-16.0,-8.0,1.0,-2.0,19.0,29.0,9.0,9.0,3.75,3.4,2.05
187,187,187,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Christoph Kramer,Mahmoud Dahoud,Thorgan Hazard,Lars Stindl,Oscar Wendt,Fabian Johnson,Tony Jantschke,André Hahn,RB Leipzig,Péter Gulácsi,Marcel Sabitzer,Naby Keïta,Emil Forsberg,Timo Werner,Stefan Ilsanker,Oliver Burke,Benno Schmitz,Marcel Halstenberg,Diego Demme,Marvin Compper,Matchweek 21,1,2,21,-5.0,16.0,5.0,0.0,26.0,42.0,10.0,6.0,2.8,3.2,2.6
188,188,188,Köln,Thomas Kessler,Neven Subotić,Dominique Heintz,Frederik Sørensen,Marco Höger,Miloš Jojić,Yuya Osako,Jonas Hector,Paweł Olkowski,Anthony Modeste,Konstantin Rausch,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Leon Goretzka,Nabil Bentaleb,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Alessandro Schöpf,Holger Badstuber,Naldo,Matchweek 21,1,1,21,11.0,3.0,5.0,2.0,32.0,25.0,8.0,7.0,3.1,3.1,2.5
189,189,189,Wolfsburg,Diego Benaglio,Yunus Mallı,Daniel Didavi,Jakub Błaszczykowski,Christian Träsch,Borja Mayoral,Jannes Horn,Luiz Gustavo,Maximilian Arnold,Robin Knoche,Ricardo Rodríguez,Werder Bremen,Felix Wiedwald,Robert Bauer,Max Kruse,Miloš Veljković,Zlatko Junuzović,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Serge Gnabry,Maximilian Eggestein,Matchweek 22,1,2,22,-12.0,-16.0,-4.0,-1.0,22.0,19.0,6.0,3.0,4.2,3.5,1.91
