,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
210,210,210,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Dortmund,Roman Bürki,Marc Bartra,Raphaël Guerreiro,Pierre-Emerick Aubameyang,André Schürrle,Shinji Kagawa,Gonzalo Castro,Matthias Ginter,Marcel Schmelzer,Julian Weigl,Erik Durm,Matchweek 24,2,1,24,5.0,27.0,-1.0,9.0,37.0,43.0,7.0,12.0,1.65,4.0,5.25
211,211,211,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Javi Martínez,Robert Lewandowski,Arjen Robben,Douglas Costa,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Eint Frankfurt,Lukáš Hrádecký,Danny Blum,Mijat Gaćinović,Michael Hector,Ante Rebić,David Abraham,Makoto Hasebe,Timothy Chandler,Branimir Hrgota,Taleb Tawatha,Omar Mascarell,Matchweek 24,3,0,24,44.0,2.0,13.0,-8.0,56.0,35.0,11.0,3.0,21.0,9.0,1.13
212,212,212,Darmstadt 98,Daniel Heuer Fernandes,Aytaç Sulu,Mario Vrančić,Jérôme Gondorf,Sandro Sirigu,Peter Niemeyer,Marcel Heller,Fabian Holland,Sidney Sam,Hamit Altıntop,Sven Schipplock,Mainz 05,Jonas Lössl,Giulio Donati,Danny Latza,Robin Quaison,Levin Öztunalı,Jhon Córdoba,Stefan Bell,Daniel Brosinski,Fabian Frei,André Ramalho,Pablo de Blasis,Matchweek 24,2,1,24,-30.0,-6.0,-4.0,2.0,12.0,29.0,3.0,7.0,2.2,3.25,3.5
213,213,213,Ingolstadt 04,Markus Suttner,Martin Hansen,Alfredo Morales,Mathew Leckie,Dario Lezcano,Romain Brégerie,Sonny Kittel,Marcel Tisserand,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Köln,Timo Horn,Dominique Heintz,Dominic Maroh,Marco Höger,Miloš Jojić,Yuya Osako,Jonas Hector,Paweł Olkowski,Anthony Modeste,Matthias Lehmann,Konstantin Rausch,Matchweek 24,2,2,24,-18.0,6.0,-5.0,-6.0,18.0,33.0,3.0,4.0,3.1,3.1,2.5
214,214,214,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Johannes Geis,Sead Kolašinac,Max Meyer,Nabil Bentaleb,Eric Maxim Choupo-Moting,Daniel Caligiuri,Guido Burgstaller,Thilo Kehrer,Matija Nastasić,Augsburg,Marwin Hitz,Paul Verhaegh,Kostas Stafylidis,Moritz Leitner,Halil Altıntop,Jonathan Schmid,Koo Ja-cheol,Gojko Kačar,Dominik Kohr,Raúl Bobadilla,Martin Hinteregger,Matchweek 24,3,0,24,1.0,-7.0,0.0,-3.0,27.0,28.0,6.0,7.0,5.25,3.5,1.75
215,215,215,Hamburger SV,René Adler,Dennis Diekmeier,Bobby Wood,Lewis Holtby,Kyriakos Papadopoulos,Aaron Hunt,Filip Kostić,Albin Ekdal,Matthias Ostrzolek,Gōtoku Sakai,Gideon Jung,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Tobias Strobl,Christoph Kramer,Patrick Herrmann,Mahmoud Dahoud,Josip Drmić,Oscar Wendt,Jonas Hofmann,Nico Elvedi,Matchweek 24,2,1,24,-23.0,-2.0,-4.0,4.0,23.0,32.0,10.0,12.0,2.6,3.3,2.75
216,216,216,Dortmund,Roman Bürki,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Christian Pulisic,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Gonzalo Castro,Matthias Ginter,Marcel Schmelzer,Erik Durm,Ingolstadt 04,Markus Suttner,Martin Hansen,Alfredo Morales,Mathew Leckie,Dario Lezcano,Romain Brégerie,Sonny Kittel,Marcel Tisserand,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Matchweek 25,1,0,25,26.0,-18.0,9.0,-3.0,43.0,19.0,9.0,4.0,10.5,5.5,1.3
217,217,217,Wolfsburg,Koen Casteels,Riechedly Bazoer,Vieirinha,Yunus Mallı,Jakub Błaszczykowski,Jannes Horn,Luiz Gustavo,Josuha Guilavogui,Maximilian Arnold,Robin Knoche,Mario Gómez,Darmstadt 98,Daniel Heuer Fernandes,Aytaç Sulu,Jérôme Gondorf,Markus Steinhöfer,Sandro Sirigu,Marcel Heller,Patrick Banggaard,Fabian Holland,Sidney Sam,Hamit Altıntop,Sven Schipplock,Matchweek 25,1,0,25,-12.0,-29.0,-3.0,-4.0,26.0,15.0,7.0,6.0,7.5,4.0,1.5
218,218,218,Werder Bremen,Felix Wiedwald,Robert Bauer,Thomas Delaney,Miloš Veljković,Claudio Pizarro,Zlatko Junuzović,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Florian Grillitsch,RB Leipzig,Péter Gulácsi,Willi Orban,Marcel Sabitzer,Emil Forsberg,Timo Werner,Stefan Ilsanker,Dayot Upamecano,Benno Schmitz,Marcel Halstenberg,Diego Demme,Marvin Compper,Matchweek 25,3,0,25,-13.0,18.0,5.0,2.0,26.0,49.0,10.0,7.0,2.05,3.6,3.5
219,219,219,Hoffenheim,Oliver Baumann,Ermin Bičakčić,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Jeremy Toljan,Steven Zuber,Benjamin Hübner,Niklas Süle,Andrej Kramarić,Ádám Szalai,Leverkusen,Bernd Leno,Aleksandar Dragović,Roberto Hilbert,Admir Mehmedi,Julian Baumgartlinger,Julian Brandt,Ömer Toprak,Kevin Volland,Karim Bellarabi,Benjamin Henrichs,Kevin Kampl,Matchweek 25,1,0,25,20.0,-2.0,5.0,-4.0,42.0,31.0,8.0,7.0,3.3,3.6,2.15
220,220,220,Köln,Timo Horn,Neven Subotić,Dominic Maroh,Miloš Jojić,Simon Zoller,Yuya Osako,Jonas Hector,Paweł Olkowski,Christian Clemens,Anthony Modeste,Matthias Lehmann,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Matchweek 25,4,2,25,6.0,6.0,-5.0,2.0,34.0,40.0,2.0,7.0,3.2,3.2,2.38
221,221,221,Augsburg,Marwin Hitz,Kostas Stafylidis,Moritz Leitner,Jeffrey Gouweleeuw,Jan Morávek,Koo Ja-cheol,Dominik Kohr,Ji Dong-won,Georg Teigl,Martin Hinteregger,Kevin Danso,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Lukas Kübler,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Maximilian Philipp,Nicolas Höfler,Christian Günter,Matchweek 25,1,1,25,-10.0,-10.0,-4.0,-2.0,28.0,34.0,4.0,8.0,3.0,3.3,2.4
222,222,222,Eint Frankfurt,Lukáš Hrádecký,Marco Russ,Bastian Oczipka,Marco Fabián,Mijat Gaćinović,Michael Hector,Ante Rebić,David Abraham,Timothy Chandler,Branimir Hrgota,Omar Mascarell,Hamburger SV,René Adler,Dennis Diekmeier,Bobby Wood,Lewis Holtby,Kyriakos Papadopoulos,Aaron Hunt,Filip Kostić,Albin Ekdal,Matthias Ostrzolek,Gōtoku Sakai,Gideon Jung,Matchweek 25,0,0,25,-1.0,-22.0,-8.0,-6.0,35.0,26.0,0.0,10.0,3.5,3.2,2.2
223,223,223,Mainz 05,Jonas Lössl,Giulio Donati,Danny Latza,Levin Öztunalı,Bojan Krkić,Jhon Córdoba,Jairo Samperio,Daniel Brosinski,André Ramalho,Jean-Philippe Gbamin,Niko Bungert,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Max Meyer,Leon Goretzka,Eric Maxim Choupo-Moting,Benjamin Stambouli,Guido Burgstaller,Thilo Kehrer,Alessandro Schöpf,Holger Badstuber,Matchweek 25,0,1,25,-7.0,4.0,-1.0,1.0,29.0,30.0,7.0,8.0,2.63,3.5,2.63
224,224,224,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Tobias Strobl,Patrick Herrmann,Raffael,Oscar Wendt,Jonas Hofmann,Tony Jantschke,André Hahn,Nico Elvedi,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Arjen Robben,Xabi Alonso,Philipp Lahm,Thomas Müller,David Alaba,Matchweek 25,0,1,25,-3.0,47.0,2.0,14.0,32.0,59.0,9.0,13.0,1.4,4.75,8.0
225,225,225,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Alexander Esswein,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,John Brooks,Maximilian Mittelstädt,Hoffenheim,Oliver Baumann,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Jeremy Toljan,Steven Zuber,Nadiem Amiri,Benjamin Hübner,Kevin Vogt,Niklas Süle,Andrej Kramarić,Matchweek 26,1,3,26,4.0,21.0,0.0,4.0,40.0,45.0,7.0,11.0,2.6,3.1,2.9
226,226,226,Hamburger SV,René Adler,Dennis Diekmeier,Douglas Santos,Bobby Wood,Lewis Holtby,Kyriakos Papadopoulos,Walace,Mërgim Mavraj,Filip Kostić,Nicolai Müller,Gideon Jung,Köln,Timo Horn,Neven Subotić,Dominic Maroh,Marco Höger,Miloš Jojić,Simon Zoller,Jonas Hector,Paweł Olkowski,Christian Clemens,Anthony Modeste,Konstantin Rausch,Matchweek 26,2,1,26,-22.0,8.0,-6.0,-3.0,27.0,37.0,8.0,5.0,3.2,3.2,2.38
227,227,227,RB Leipzig,Fabio Coltorti,Bernardo,Willi Orban,Marcel Sabitzer,Naby Keïta,Emil Forsberg,Stefan Ilsanker,Oliver Burke,Marcel Halstenberg,Diego Demme,Marvin Compper,Darmstadt 98,Daniel Heuer Fernandes,Aytaç Sulu,Mario Vrančić,Artem Fedetskyi,Sandro Sirigu,Marcel Heller,Patrick Banggaard,Fabian Holland,Sidney Sam,Hamit Altıntop,Sven Schipplock,Matchweek 26,4,0,26,15.0,-30.0,-2.0,-3.0,49.0,15.0,7.0,3.0,9.0,5.0,1.36
228,228,228,Bayern Munich,Sven Ulreich,Mats Hummels,Thiago Alcántara,Franck Ribéry,Robert Lewandowski,Jérôme Boateng,Juan Bernat,Philipp Lahm,Thomas Müller,Kingsley Coman,Joshua Kimmich,Augsburg,Marwin Hitz,Paul Verhaegh,Jan Morávek,Christoph Janker,Gojko Kačar,Dominik Kohr,Ji Dong-won,Raúl Bobadilla,Philipp Max,Kevin Danso,Tim Rieder,Matchweek 26,6,0,26,48.0,-10.0,15.0,-2.0,62.0,29.0,13.0,5.0,26.0,10.0,1.1
229,229,229,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Leon Goretzka,Nabil Bentaleb,Eric Maxim Choupo-Moting,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Thilo Kehrer,Coke,Matija Nastasić,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Pierre-Emerick Aubameyang,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Gonzalo Castro,Marcel Schmelzer,Felix Passlack,Julian Weigl,Matchweek 26,1,1,26,5.0,27.0,2.0,7.0,33.0,46.0,8.0,12.0,2.0,3.6,3.75
230,230,230,Freiburg,Alexander Schwolow,Aleksandar Ignjovski,Manuel Gulde,Amir Abrashi,Florian Niederlechner,Mike Frantz,Janik Haberer,Marc-Oliver Kempf,Maximilian Philipp,Christian Günter,Vincenzo Grifo,Werder Bremen,Felix Wiedwald,Luca Caldirola,Robert Bauer,Thomas Delaney,Max Kruse,Miloš Veljković,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Florian Grillitsch,Maximilian Eggestein,Matchweek 26,2,5,26,-10.0,-10.0,-2.0,6.0,35.0,29.0,6.0,13.0,3.2,3.5,2.25
231,231,231,Eint Frankfurt,Lukáš Hrádecký,Jesús Vallejo,Bastian Oczipka,Marco Fabián,Mijat Gaćinović,Ante Rebić,David Abraham,Timothy Chandler,Branimir Hrgota,Taleb Tawatha,Omar Mascarell,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Tobias Strobl,Mahmoud Dahoud,Thorgan Hazard,Raffael,Lars Stindl,Oscar Wendt,Jonas Hofmann,Tony Jantschke,Matchweek 26,0,0,26,-1.0,-4.0,-6.0,2.0,36.0,32.0,1.0,6.0,2.9,3.3,2.5
232,232,232,Ingolstadt 04,Markus Suttner,Martin Hansen,Alfredo Morales,Mathew Leckie,Roger,Pascal Groß,Dario Lezcano,Romain Brégerie,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Mainz 05,Jonas Lössl,Leon Balogun,Danny Latza,Levin Öztunalı,Jhon Córdoba,Stefan Bell,Daniel Brosinski,André Ramalho,Jean-Philippe Gbamin,Niko Bungert,Pablo de Blasis,Matchweek 26,2,1,26,-19.0,-8.0,-6.0,0.0,19.0,29.0,4.0,4.0,3.8,3.3,2.1
233,233,233,Leverkusen,Bernd Leno,Aleksandar Dragović,Stefan Kießling,Roberto Hilbert,Admir Mehmedi,Julian Baumgartlinger,Wendell,Charles Aránguiz,Ömer Toprak,Kevin Volland,Karim Bellarabi,Wolfsburg,Koen Casteels,Riechedly Bazoer,Vieirinha,Yunus Mallı,Jakub Błaszczykowski,Jannes Horn,Luiz Gustavo,Josuha Guilavogui,Maximilian Arnold,Robin Knoche,Mario Gómez,Matchweek 26,3,3,26,-3.0,-11.0,-7.0,1.0,31.0,29.0,4.0,7.0,4.5,3.75,1.8
234,234,234,Köln,Timo Horn,Dominique Heintz,Frederik Sørensen,Marco Höger,Miloš Jojić,Jonas Hector,Christian Clemens,Lukas Klünter,Anthony Modeste,Matthias Lehmann,Konstantin Rausch,Eint Frankfurt,Lukáš Hrádecký,Jesús Vallejo,Bastian Oczipka,Haris Seferović,Marco Fabián,Mijat Gaćinović,Ante Rebić,David Abraham,Marius Wolf,Taleb Tawatha,Omar Mascarell,Matchweek 27,1,0,27,7.0,-1.0,-2.0,-4.0,37.0,37.0,4.0,2.0,3.2,3.2,2.35
235,235,235,Hoffenheim,Oliver Baumann,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Jeremy Toljan,Steven Zuber,Nadiem Amiri,Benjamin Hübner,Kevin Vogt,Niklas Süle,Andrej Kramarić,Bayern Munich,Sven Ulreich,Mats Hummels,Javi Martínez,Robert Lewandowski,Arjen Robben,Rafinha,Xabi Alonso,Arturo Vidal,David Alaba,Kingsley Coman,Renato Sanches,Matchweek 27,1,0,27,23.0,54.0,6.0,13.0,48.0,65.0,11.0,15.0,1.5,4.6,6.0
236,236,236,Werder Bremen,Felix Wiedwald,Santiago García,Luca Caldirola,Thomas Delaney,Max Kruse,Miloš Veljković,Claudio Pizarro,Zlatko Junuzović,Niklas Moisander,Theodor Gebre Selassie,Florian Grillitsch,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Max Meyer,Leon Goretzka,Eric Maxim Choupo-Moting,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Thilo Kehrer,Alessandro Schöpf,Matija Nastasić,Matchweek 27,3,0,27,-7.0,5.0,8.0,2.0,32.0,34.0,13.0,8.0,2.3,3.5,3.0
237,237,237,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Emre Mor,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Shinji Kagawa,Łukasz Piszczek,Gonzalo Castro,Matthias Ginter,Julian Weigl,Hamburger SV,René Adler,Dennis Diekmeier,Bobby Wood,Lewis Holtby,Michael Gregoritsch,Walace,Mërgim Mavraj,Filip Kostić,Albin Ekdal,Matthias Ostrzolek,Gōtoku Sakai,Matchweek 27,3,0,27,27.0,-21.0,4.0,3.0,47.0,30.0,10.0,10.0,10.0,5.75,1.29
238,238,238,Darmstadt 98,Michael Esser,Aytaç Sulu,Mario Vrančić,Artem Fedetskyi,Jérôme Gondorf,Terrence Boyd,Marcel Heller,Patrick Banggaard,Fabian Holland,Sidney Sam,Hamit Altıntop,Leverkusen,Bernd Leno,Roberto Hilbert,Julian Baumgartlinger,Tin Jedvaj,Wendell,Julian Brandt,Ömer Toprak,Kai Havertz,Kevin Volland,Karim Bellarabi,Kevin Kampl,Matchweek 27,0,2,27,-34.0,-3.0,-6.0,-5.0,15.0,32.0,3.0,2.0,1.7,3.8,5.0
239,239,239,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Patrick Herrmann,Mahmoud Dahoud,Thorgan Hazard,Lars Stindl,Oscar Wendt,László Bénes,Jonas Hofmann,Nico Elvedi,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Alexander Esswein,Salomon Kalou,Valentin Stocker,Sebastian Langkamp,Genki Haraguchi,Jordan Torunarigha,Matchweek 27,1,0,27,-4.0,2.0,0.0,-4.0,33.0,40.0,7.0,6.0,4.5,3.5,1.83
240,240,240,Wolfsburg,Koen Casteels,Philipp Wollscheid,Riechedly Bazoer,Vieirinha,Jakub Błaszczykowski,Christian Träsch,Jannes Horn,Josuha Guilavogui,Maximilian Arnold,Robin Knoche,Mario Gómez,Freiburg,Alexander Schwolow,Aleksandar Ignjovski,Çağlar Söyüncü,Florian Niederlechner,Mike Frantz,Lukas Kübler,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Karim Guédé,Vincenzo Grifo,Matchweek 27,0,1,27,-11.0,-13.0,2.0,-2.0,30.0,35.0,8.0,5.0,5.0,3.75,1.73
241,241,241,Augsburg,Marwin Hitz,Paul Verhaegh,Kostas Stafylidis,Daniel Baier,Jan Morávek,Koo Ja-cheol,Gojko Kačar,Raúl Bobadilla,Alfreð Finnbogason,Martin Hinteregger,Kevin Danso,Ingolstadt 04,Markus Suttner,Martin Hansen,Roger,Pascal Groß,Dario Lezcano,Romain Brégerie,Sonny Kittel,Marcel Tisserand,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Matchweek 27,2,3,27,-16.0,-18.0,-9.0,-3.0,29.0,22.0,5.0,4.0,2.8,3.1,2.7
242,242,242,Mainz 05,Jonas Lössl,Giulio Donati,Robin Quaison,Levin Öztunalı,Bojan Krkić,Jhon Córdoba,Stefan Bell,Daniel Brosinski,Fabian Frei,Jean-Philippe Gbamin,Alexander Hack,RB Leipzig,Péter Gulácsi,Bernardo,Willi Orban,Marcel Sabitzer,Naby Keïta,Yussuf Poulsen,Emil Forsberg,Stefan Ilsanker,Dayot Upamecano,Marcel Halstenberg,Diego Demme,Matchweek 27,2,3,27,-9.0,19.0,-3.0,0.0,29.0,52.0,4.0,7.0,2.15,3.4,3.4
243,243,243,Eint Frankfurt,Lukáš Hrádecký,Marco Russ,Bastian Oczipka,Marco Fabián,Mijat Gaćinović,Ante Rebić,David Abraham,Timothy Chandler,Anderson Ordóñez,Branimir Hrgota,Omar Mascarell,Werder Bremen,Felix Wiedwald,Santiago García,Luca Caldirola,Max Kruse,Miloš Veljković,Zlatko Junuzović,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Florian Grillitsch,Maximilian Eggestein,Matchweek 28,2,2,28,-2.0,-4.0,-4.0,9.0,37.0,35.0,2.0,13.0,3.8,3.5,2.0
244,244,244,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Max Meyer,Leon Goretzka,Nabil Bentaleb,Eric Maxim Choupo-Moting,Daniel Caligiuri,Guido Burgstaller,Thilo Kehrer,Matija Nastasić,Wolfsburg,Koen Casteels,Riechedly Bazoer,Yunus Mallı,Daniel Didavi,Jannes Horn,Luiz Gustavo,Josuha Guilavogui,Sebastian Jung,Maximilian Arnold,Robin Knoche,Mario Gómez,Matchweek 28,4,1,28,2.0,-12.0,1.0,1.0,34.0,30.0,7.0,8.0,3.75,3.5,2.0
245,245,245,Köln,Timo Horn,Dominique Heintz,Frederik Sørensen,Marco Höger,Miloš Jojić,Jonas Hector,Christian Clemens,Lukas Klünter,Anthony Modeste,Matthias Lehmann,Konstantin Rausch,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Tobias Strobl,Mahmoud Dahoud,Thorgan Hazard,Raffael,Lars Stindl,Oscar Wendt,Jonas Hofmann,Nico Elvedi,Matchweek 28,2,3,28,8.0,-3.0,2.0,-1.0,40.0,36.0,7.0,7.0,2.8,3.2,2.63
246,246,246,Hamburger SV,Christian Mathenia,Dennis Diekmeier,Bobby Wood,Lewis Holtby,Kyriakos Papadopoulos,Walace,Mërgim Mavraj,Aaron Hunt,Filip Kostić,Matthias Ostrzolek,Gōtoku Sakai,Hoffenheim,Oliver Baumann,Ermin Bičakčić,Sebastian Rudy,Sandro Wagner,Pirmin Schwegler,Steven Zuber,Benjamin Hübner,Kevin Vogt,Marco Terrazzino,Niklas Süle,Andrej Kramarić,Matchweek 28,2,1,28,-24.0,24.0,-1.0,4.0,30.0,51.0,10.0,13.0,2.1,3.5,3.5
247,247,247,RB Leipzig,Péter Gulácsi,Bernardo,Willi Orban,Marcel Sabitzer,Naby Keïta,Emil Forsberg,Timo Werner,Stefan Ilsanker,Oliver Burke,Diego Demme,Marvin Compper,Leverkusen,Bernd Leno,Roberto Hilbert,Julian Baumgartlinger,Tin Jedvaj,Wendell,Julian Brandt,Ömer Toprak,Kai Havertz,Kevin Volland,Karim Bellarabi,Kevin Kampl,Matchweek 28,1,0,28,20.0,-1.0,1.0,1.0,55.0,35.0,7.0,5.0,4.0,3.6,1.91
248,248,248,Freiburg,Alexander Schwolow,Aleksandar Ignjovski,Çağlar Söyüncü,Amir Abrashi,Florian Niederlechner,Mike Frantz,Lukas Kübler,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Vincenzo Grifo,Mainz 05,Jannik Huth,Giulio Donati,Danny Latza,Levin Öztunalı,Yoshinori Mutō,Jhon Córdoba,Stefan Bell,Daniel Brosinski,André Ramalho,Pablo de Blasis,Alexander Hack,Matchweek 28,1,0,28,-12.0,-10.0,-2.0,-4.0,38.0,29.0,8.0,1.0,3.0,3.4,2.38
249,249,249,Bayern Munich,Sven Ulreich,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Arjen Robben,Xabi Alonso,Jérôme Boateng,Philipp Lahm,Arturo Vidal,David Alaba,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Christian Pulisic,Sokratis Papastathopoulos,Gonzalo Castro,Matthias Ginter,Marcel Schmelzer,Felix Passlack,Matchweek 28,4,1,28,53.0,30.0,9.0,3.0,65.0,50.0,12.0,10.0,5.5,4.0,1.62
250,250,250,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Salomon Kalou,Valentin Stocker,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,John Brooks,Augsburg,Marwin Hitz,Paul Verhaegh,Daniel Baier,Christoph Janker,Koo Ja-cheol,Dominik Kohr,Ji Dong-won,Alfreð Finnbogason,Georg Teigl,Philipp Max,Kevin Danso,Matchweek 28,2,0,28,1.0,-17.0,-4.0,-10.0,40.0,29.0,3.0,2.0,5.25,3.5,1.75
251,251,251,Ingolstadt 04,Markus Suttner,Martin Hansen,Mathew Leckie,Roger,Pascal Groß,Dario Lezcano,Romain Brégerie,Sonny Kittel,Marcel Tisserand,Marvin Matip,Almog Cohen,Darmstadt 98,Michael Esser,Aytaç Sulu,Mario Vrančić,Markus Steinhöfer,Antonio Čolak,Sandro Sirigu,Felix Platte,Immanuel Höhn,Fabian Holland,Hamit Altıntop,Wilson Kamavuaka,Matchweek 28,3,2,28,-17.0,-36.0,1.0,-6.0,25.0,15.0,7.0,3.0,7.5,4.0,1.5
252,252,252,Dortmund,Roman Bürki,Sven Bender,Nuri Şahin,Marco Reus,Pierre-Emerick Aubameyang,Christian Pulisic,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Marcel Schmelzer,Julian Weigl,Eint Frankfurt,Lukáš Hrádecký,Jesús Vallejo,Bastian Oczipka,Marco Fabián,Mijat Gaćinović,David Abraham,Timothy Chandler,Marius Wolf,Anderson Ordóñez,Branimir Hrgota,Omar Mascarell,Matchweek 29,3,1,29,27.0,-2.0,1.0,-1.0,50.0,38.0,7.0,3.0,7.0,4.33,1.44
253,253,253,Mainz 05,Jannik Huth,Giulio Donati,Danny Latza,Robin Quaison,Yoshinori Mutō,Jhon Córdoba,Stefan Bell,Jairo Samperio,Daniel Brosinski,Fabian Frei,Alexander Hack,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,Allan,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Maximilian Mittelstädt,Matchweek 29,1,0,29,-11.0,3.0,-4.0,-3.0,29.0,43.0,0.0,6.0,3.3,3.2,2.25
254,254,254,Augsburg,Marwin Hitz,Paul Verhaegh,Halil Altıntop,Daniel Baier,Jonathan Schmid,Koo Ja-cheol,Alfreð Finnbogason,Philipp Max,Martin Hinteregger,Kevin Danso,Takashi Usami,Köln,Timo Horn,Dominique Heintz,Frederik Sørensen,Miloš Jojić,Yuya Osako,Jonas Hector,Christian Clemens,Leonardo Bittencourt,Lukas Klünter,Anthony Modeste,Matthias Lehmann,Matchweek 29,2,1,29,-19.0,7.0,-9.0,1.0,29.0,40.0,1.0,7.0,2.55,3.2,2.8
255,255,255,Hoffenheim,Oliver Baumann,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Jeremy Toljan,Steven Zuber,Benjamin Hübner,Kevin Vogt,Niklas Süle,Andrej Kramarić,Ádám Szalai,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Tobias Strobl,Mahmoud Dahoud,Lars Stindl,Ibrahima Traoré,Oscar Wendt,Jonas Hofmann,André Hahn,Nico Elvedi,Matchweek 29,5,3,29,23.0,-2.0,3.0,1.0,51.0,39.0,10.0,7.0,3.6,3.5,2.0
256,256,256,RB Leipzig,Péter Gulácsi,Bernardo,Marcel Sabitzer,Naby Keïta,Yussuf Poulsen,Emil Forsberg,Timo Werner,Dayot Upamecano,Marcel Halstenberg,Diego Demme,Marvin Compper,Freiburg,Alexander Schwolow,Aleksandar Ignjovski,Çağlar Söyüncü,Amir Abrashi,Florian Niederlechner,Mike Frantz,Lukas Kübler,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Karim Guédé,Matchweek 29,4,0,29,21.0,-11.0,3.0,-1.0,58.0,41.0,9.0,8.0,7.0,4.33,1.44
