,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Bayern Munich,Manuel Neuer,Niklas Süle,Benjamin Pavard,Thiago Alcántara,Robert Lewandowski,Serge Gnabry,Corentin Tolisso,Thomas Müller,David Alaba,Kingsley Coman,Joshua Kimmich,Hertha BSC,Rune Jarstein,Karim Rekik,Niklas Stark,Vladimír Darida,Ondrej Duda,Mathew Leckie,Lukas Klünter,Marko Grujić,Maximilian Mittelstädt,Vedad Ibišević,Dodi Lukebakio,2,2,Matchweek 1
1,Wolfsburg,Koen Casteels,William,Wout Weghorst,Felix Klaus,Jérôme Roussillon,Josuha Guilavogui,Xaver Schlager,John Brooks,Maximilian Arnold,Robin Knoche,João Victor Santos Sá,Köln,Timo Horn,Rafael Czichos,Marco Höger,Birger Verstraete,Kingsley Schindler,Jonas Hector,Kingsley Ehizibue,Jorge Meré,Dominick Drexler,Anthony Modeste,Florian Kainz,2,1,Matchweek 1
2,Freiburg,Alexander Schwolow,Philipp Lienhart,Nico Schlotterbeck,Jonathan Schmid,Luca Waldschmidt,Nils Petersen,Jérôme Gondorf,Brandon Borrello,Robin Koch,Nicolas Höfler,Christian Günter,Mainz 05,Florian Müller,Aarón Martín,Jerry St. Juste,Jean-Paul Boëtius,Danny Latza,Robin Quaison,Daniel Brosinski,Moussa Niakhate,Edimilson Fernandes,Karim Onisiwo,Ridle Baku,3,0,Matchweek 1
3,Dortmund,Marwin Hitz,Jadon Sancho,Paco Alcácer,Marco Reus,Nico Schulz,Mats Hummels,Manuel Akanji,Thorgan Hazard,Łukasz Piszczek,Axel Witsel,Julian Weigl,Augsburg,Tomáš Koubek,Mads Pedersen,Marek Suchý,Florian Niederlechner,Rani Khedira,Daniel Baier,Michael Gregoritsch,Ruben Vargas,Carlos Gruezo,André Hahn,Georg Teigl,5,1,Matchweek 1
4,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Sven Bender,Lars Bender,Leon Bailey,Kerem Demirbay,Julian Baumgartlinger,Wendell,Charles Aránguiz,Kai Havertz,Kevin Volland,Paderborn 07,Jannik Huth,Uwe Hünemeier,Christian Strohdiek,Klaus Gjasula,Kai Pröger,Sven Michel,Christopher Antwi-Adjei,Mohamed Dräger,Jamilu Collins,Streli Mamba,Sebastian Vasiliadis,3,2,Matchweek 1
5,Werder Bremen,Jiří Pavlenka,Milot Rashica,Yuya Osako,Nuri Şahin,Niklas Moisander,Ömer Toprak,Theodor Gebre Selassie,Johannes Eggestein,Davy Klaassen,Marco Friedl,Maximilian Eggestein,Düsseldorf,Zack Steffen,Markus Suttner,André Hoffmann,Kaan Ayhan,Alfredo Morales,Kenan Karaman,Erik Thommy,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Lewis Baker,1,3,Matchweek 1
6,Gladbach,Yann Sommer,Denis Zakaria,Marcus Thuram,Alassane Pléa,Oscar Wendt,Stefan Lainer,László Bénes,Matthias Ginter,Nico Elvedi,Florian Neuhaus,Breel Embolo,Schalke 04,Alexander Nübel,Weston McKennie,Matija Nastasić,Omar Mascarell,Benito Raman,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Jonjoe Kenny,Bastian Oczipka,Amine Harit,0,0,Matchweek 1
7,Eint Frankfurt,Kevin Trapp,Ante Rebić,Gelson Fernandes,Filip Kostić,Mijat Gaćinović,Martin Hinteregger,Daichi Kamada,David Abraham,Makoto Hasebe,Danny da Costa,Dominik Kohr,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Lukas Rupp,Dennis Geiger,Ihlas Bebou,Sebastian Rudy,Steven Zuber,Kevin Vogt,Robert Skov,Stefan Posch,1,0,Matchweek 1
8,Union Berlin,Rafał Gikiewicz,Marvin Friedrich,Sebastian Andersson,Marius Bülter,Suleiman Abdullahi,Grischa Prömel,Christopher Lenz,Christopher Trimmel,Robert Andrich,Keven Schlotterbeck,Christian Gentner,RB Leipzig,Péter Gulácsi,Willi Orban,Ibrahima Konaté,Marcel Sabitzer,Yussuf Poulsen,Timo Werner,Lukas Klostermann,Nordi Mukiele,Marcel Halstenberg,Diego Demme,Kevin Kampl,0,4,Matchweek 1
9,Köln,Timo Horn,Rafael Czichos,Birger Verstraete,Kingsley Schindler,Jonas Hector,Jhon Córdoba,Kingsley Ehizibue,Dominick Drexler,Anthony Modeste,Ellyes Skhiri,Sebastiaan Bornauw,Dortmund,Roman Bürki,Jadon Sancho,Paco Alcácer,Marco Reus,Nico Schulz,Mats Hummels,Manuel Akanji,Thorgan Hazard,Łukasz Piszczek,Axel Witsel,Julian Weigl,1,3,Matchweek 2
10,Paderborn 07,Jannik Huth,Uwe Hünemeier,Christian Strohdiek,Klaus Gjasula,Cauly Oliveira Souza,Sven Michel,Christopher Antwi-Adjei,Mohamed Dräger,Jamilu Collins,Streli Mamba,Sebastian Vasiliadis,Freiburg,Alexander Schwolow,Philipp Lienhart,Nico Schlotterbeck,Jonathan Schmid,Luca Waldschmidt,Nils Petersen,Jérôme Gondorf,Brandon Borrello,Robin Koch,Nicolas Höfler,Christian Günter,1,3,Matchweek 2
11,Düsseldorf,Zack Steffen,Markus Suttner,André Hoffmann,Kaan Ayhan,Alfredo Morales,Kenan Karaman,Erik Thommy,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Lewis Baker,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Sven Bender,Lars Bender,Leon Bailey,Kerem Demirbay,Wendell,Charles Aránguiz,Kai Havertz,Kevin Volland,Karim Bellarabi,1,3,Matchweek 2
12,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Kostas Stafylidis,Dennis Geiger,Ihlas Bebou,Christoph Baumgartner,Sebastian Rudy,Kevin Vogt,Robert Skov,Stefan Posch,Werder Bremen,Jiří Pavlenka,Yuya Osako,Niclas Füllkrug,Nuri Şahin,Niklas Moisander,Ömer Toprak,Theodor Gebre Selassie,Johannes Eggestein,Davy Klaassen,Marco Friedl,Maximilian Eggestein,3,2,Matchweek 2
13,Augsburg,Tomáš Koubek,Stephan Lichtsteiner,Florian Niederlechner,Rani Khedira,Daniel Baier,Michael Gregoritsch,Ruben Vargas,Tin Jedvaj,Carlos Gruezo,André Hahn,Philipp Max,Union Berlin,Rafał Gikiewicz,Neven Subotić,Anthony Ujah,Marius Bülter,Grischa Prömel,Christopher Lenz,Sheraldo Becker,Christopher Trimmel,Robert Andrich,Keven Schlotterbeck,Marcus Ingvartsen,1,1,Matchweek 2
14,Mainz 05,Florian Müller,Aarón Martín,Jean-Paul Boëtius,Danny Latza,Robin Quaison,Pierre Kunde,Daniel Brosinski,Moussa Niakhate,Edimilson Fernandes,Karim Onisiwo,Alexander Hack,Gladbach,Yann Sommer,Denis Zakaria,Marcus Thuram,Alassane Pléa,Oscar Wendt,Stefan Lainer,Fabian Johnson,László Bénes,Matthias Ginter,Nico Elvedi,Florian Neuhaus,1,3,Matchweek 2
15,Schalke 04,Alexander Nübel,Weston McKennie,Matija Nastasić,Omar Mascarell,Benito Raman,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Jonjoe Kenny,Bastian Oczipka,Amine Harit,Bayern Munich,Manuel Neuer,Niklas Süle,Benjamin Pavard,Robert Lewandowski,Lucas Hernández,Serge Gnabry,Corentin Tolisso,Thomas Müller,David Alaba,Kingsley Coman,Joshua Kimmich,0,3,Matchweek 2
16,RB Leipzig,Péter Gulácsi,Willi Orban,Ibrahima Konaté,Marcel Sabitzer,Yussuf Poulsen,Timo Werner,Lukas Klostermann,Christopher Nkunku,Nordi Mukiele,Marcel Halstenberg,Diego Demme,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Dejan Joveljić,Filip Kostić,Daichi Kamada,Sebastian Rode,David Abraham,Makoto Hasebe,Erik Durm,Dominik Kohr,Gonçalo Paciência,2,1,Matchweek 2
17,Hertha BSC,Rune Jarstein,Karim Rekik,Niklas Stark,Vladimír Darida,Salomon Kalou,Ondrej Duda,Lukas Klünter,Marko Grujić,Maximilian Mittelstädt,Vedad Ibišević,Dodi Lukebakio,Wolfsburg,Koen Casteels,William,Wout Weghorst,Felix Klaus,Jérôme Roussillon,Josuha Guilavogui,Xaver Schlager,John Brooks,Maximilian Arnold,Robin Knoche,João Victor Santos Sá,0,3,Matchweek 2
