,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Bayern Munich,Manuel Neuer,Medhi Benatia,Robert Lewandowski,Arjen Robben,Douglas Costa,Xabi Alonso,Jérôme Boateng,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Hamburger SV,René Adler,Dennis Diekmeier,Emir Spahić,Johan Djourou,Ivo Iličević,Lewis Holtby,Sven Schipplock,Michael Gregoritsch,Albin Ekdal,Matthias Ostrzolek,Gideon Jung,5,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Halil Altıntop,Markus Feulner,Daniel Baier,Alexander Esswein,Tobias Werner,Hong Jeong-ho,Dominik Kohr,Raúl Bobadilla,Hertha BSC,Thomas Kraft,Peter Pekarík,Per Ciljan Skjelbred,Vladimír Darida,Salomon Kalou,Jens Hegeler,Valentin Stocker,Sebastian Langkamp,Marvin Plattenhardt,Roy Beerens,Fabian Lustenberger,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Leverkusen,Bernd Leno,Jonathan Tah,Kyriakos Papadopoulos,Son Heung-min,Lars Bender,Hakan Çalhanoğlu,Stefan Kießling,Roberto Hilbert,Wendell,Christoph Kramer,Karim Bellarabi,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Fabian Schär,Eugen Polanski,Jonathan Schmid,Pirmin Schwegler,Steven Zuber,Kim Jin-su,Kevin Kurányi,Niklas Süle,Kevin Volland,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Darmstadt 98,Christian Mathenia,Aytaç Sulu,Marco Sailer,Jérôme Gondorf,Dominik Stroh-Engel,Peter Niemeyer,Marcel Heller,Florian Jungwirth,Fabian Holland,Luca Caldirola,Konstantin Rausch,Hannover 96,Ron-Robert Zieler,Miiko Albornoz,Salif Sané,Edgar Prib,Manuel Schmiedebach,Felix Klaus,Christian Schulz,Marcelo,Oliver Sorg,Kenan Karaman,Mevlüt Erdinç,2,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Mainz 05,Loris Karius,Pierre Bengtsson,Yunus Mallı,Julian Baumgartlinger,Stefan Bell,Jairo Samperio,Daniel Brosinski,Fabian Frei,Niko Bungert,Christian Clemens,Florian Niederlechner,Ingolstadt 04,Ramazan Özcan,Benjamin Hübner,Alfredo Morales,Mathew Leckie,Roger,Moritz Hartmann,Pascal Groß,Lukas Hinterseer,Konstantin Engel,Tobias Levels,Marvin Matip,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Werder Bremen,Felix Wiedwald,Assani Lukimya-Mulongoti,Jannik Vestergaard,Clemens Fritz,Levin Öztunalı,Zlatko Junuzović,Ulisses Garcia,Anthony Ujah,Fin Bartels,Theodor Gebre Selassie,Philipp Bargfrede,Schalke 04,Ralf Fährmann,Johannes Geis,Leon Goretzka,Franco Di Santo,Julian Draxler,Eric Maxim Choupo-Moting,Dennis Aogo,Klaas-Jan Huntelaar,Sascha Riether,Matija Nastasić,Joël Matip,0,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Dortmund,Roman Bürki,İlkay Gündoğan,Henrikh Mkhitaryan,Marco Reus,Mats Hummels,Pierre-Emerick Aubameyang,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Marcel Schmelzer,Julian Weigl,Gladbach,Yann Sommer,Andreas Christensen,Josip Drmić,Raffael,Lars Stindl,Ibrahima Traoré,Oscar Wendt,Marvin Schulz,Fabian Johnson,Tony Jantschke,Granit Xhaka,4,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Wolfsburg,Koen Casteels,Timm Klose,Vieirinha,Ivan Perišić,Max Kruse,Bas Dost,Kevin De Bruyne,Josuha Guilavogui,Naldo,Maximilian Arnold,Ricardo Rodríguez,Eint Frankfurt,Lukáš Hrádecký,Marco Russ,Carlos Zambrano,Bastian Oczipka,Stefan Reinartz,Takashi Inui,Haris Seferović,Stefan Aigner,David Abraham,Makoto Hasebe,Luc Castaignos,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Stuttgart,Przemysław Tytoń,Emiliano Insúa,Timo Baumgartl,Martin Harnik,Lukas Rupp,Daniel Didavi,Florian Klein,Filip Kostić,Christian Gentner,Adam Hloušek,Daniel Ginczek,Köln,Timo Horn,Dominique Heintz,Frederik Sørensen,Marcel Risse,Miloš Jojić,Jonas Hector,Paweł Olkowski,Leonardo Bittencourt,Anthony Modeste,Yannick Gerhardt,Matthias Lehmann,1,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Hertha BSC,Thomas Kraft,Peter Pekarík,Per Ciljan Skjelbred,Vladimír Darida,Salomon Kalou,Jens Hegeler,Valentin Stocker,Sebastian Langkamp,Marvin Plattenhardt,Genki Haraguchi,Fabian Lustenberger,Werder Bremen,Felix Wiedwald,Assani Lukimya-Mulongoti,Jannik Vestergaard,Clemens Fritz,Aron Jóhannsson,Zlatko Junuzović,Ulisses Garcia,Anthony Ujah,Theodor Gebre Selassie,Maximilian Eggestein,Philipp Bargfrede,1,1,Matchweek 2,2,1.0,-3.0,1.0,-3.0,3.0,0.0,3.0,0.0
10,10,Eint Frankfurt,Lukáš Hrádecký,Marco Russ,Carlos Zambrano,Bastian Oczipka,Stefan Reinartz,Haris Seferović,Stefan Aigner,David Abraham,Makoto Hasebe,Luc Castaignos,Joel Gerezgiher,Augsburg,Marwin Hitz,Paul Verhaegh,Kostas Stafylidis,Ragnar Klavan,Halil Altıntop,Daniel Baier,Alexander Esswein,Tobias Werner,Hong Jeong-ho,Dominik Kohr,Caiuby,1,1,Matchweek 2,2,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
11,11,Hannover 96,Ron-Robert Zieler,Hiroki Sakai,Salif Sané,Edgar Prib,Manuel Schmiedebach,Christian Schulz,Marcelo,Oliver Sorg,Kenan Karaman,Charlison Benschop,Mevlüt Erdinç,Leverkusen,Bernd Leno,André Ramalho,Jonathan Tah,Lars Bender,Hakan Çalhanoğlu,Stefan Kießling,Roberto Hilbert,Admir Mehmedi,Wendell,Julian Brandt,Christoph Kramer,0,1,Matchweek 2,2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0
