,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Bayern Munich,Manuel Neuer,Dante,Robert Lewandowski,Arjen Robben,Gianluca Gaudino,Juan Bernat,Mario Götze,Philipp Lahm,Thomas Müller,David Alaba,Holger Badstuber,Wolfsburg,Max Grün,Vieirinha,Aaron Hunt,Ivica Olić,Kevin De Bruyne,Luiz Gustavo,Josuha Guilavogui,Sebastian Jung,Naldo,Robin Knoche,Ricardo Rodríguez,2,1,Matchweek 1
1,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Roberto Firmino,Tarik Elyounoussi,Kim Jin-su,Niklas Süle,Ádám Szalai,Kevin Volland,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Halil Altıntop,Markus Feulner,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Tim Matavž,Caiuby,2,0,Matchweek 1
2,Hannover 96,Ron-Robert Zieler,Leon Andreasen,Miiko Albornoz,Hiroki Sakai,Edgar Prib,Manuel Schmiedebach,Joselu,Christian Schulz,Christian Pander,Marcelo,Leonardo Bittencourt,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Kevin-Prince Boateng,Julian Draxler,Eric Maxim Choupo-Moting,Sidney Sam,Kaan Ayhan,Klaas-Jan Huntelaar,Joël Matip,Roman Neustädter,2,1,Matchweek 1
3,Köln,Timo Horn,Mišo Brečko,Dominic Maroh,Marcel Risse,Adam Matuszczyk,Anthony Ujah,Yuya Osako,Jonas Hector,Daniel Halfar,Kevin Wimmer,Matthias Lehmann,Hamburger SV,René Adler,Dennis Diekmeier,Heiko Westermann,Johan Djourou,Marcell Jansen,Tolgay Arslan,Pierre-Michel Lasogga,Ivo Iličević,Milan Badelj,Valon Behrami,Rafael van der Vaart,0,0,Matchweek 1
4,Eint Frankfurt,Kevin Trapp,Marco Russ,Takashi Inui,Haris Seferović,Nelson Valdez,Martin Lanig,Constant Djakpa,Lucas Piazon,Makoto Hasebe,Anderson Bamba,Aleksandar Ignjovski,Freiburg,Roman Bürki,Pavel Krmaš,Vladimír Darida,Mike Frantz,Admir Mehmedi,Jonathan Schmid,Marc-Oliver Kempf,Julian Schuster,Oliver Sorg,Christian Günter,Karim Guédé,1,0,Matchweek 1
5,Hertha BSC,Thomas Kraft,Peter Pekarík,John Heitinga,Hajime Hosogai,Ronny,Sebastian Langkamp,Julian Schieber,Peter Niemeyer,Genki Haraguchi,Nico Schulz,Roy Beerens,Werder Bremen,Raphael Wolf,Santiago García,Luca Caldirola,Assani Lukimya-Mulongoti,Cédric Makiadi,Clemens Fritz,Franco Di Santo,Eljero Elia,Izet Hajrović,Zlatko Junuzović,Felix Kroos,2,2,Matchweek 1
6,Dortmund,Mitchell Langerak,Sebastian Kehl,Ciro Immobile,Henrikh Mkhitaryan,Marco Reus,Miloš Jojić,Pierre-Emerick Aubameyang,Sokratis Papastathopoulos,Łukasz Piszczek,Matthias Ginter,Erik Durm,Leverkusen,Bernd Leno,Emir Spahić,Simon Rolfes,Son Heung-min,Hakan Çalhanoğlu,Stefan Kießling,Tin Jedvaj,Sebastian Boenisch,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,0,2,Matchweek 1
7,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Patrick Ziegler,Marvin Bakalorz,Jens Wemmer,Mario Vrančić,Stefan Kutschke,Moritz Stoppelkamp,Elias Kachunga,Daniel Brückner,Süleyman Koç,Mainz 05,Loris Karius,Nikolče Noveski,Johannes Geis,Filip Đuričić,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Shinji Okazaki,Park Joo-ho,Niko Bungert,2,2,Matchweek 1
8,Gladbach,Yann Sommer,Raffael,Álvaro Domínguez,Ibrahima Traoré,Håvard Nordtveit,Tony Jantschke,Julian Korb,André Hahn,Branimir Hrgota,Granit Xhaka,Martin Stranzl,Stuttgart,Sven Ulreich,Gōtoku Sakai,Daniel Schwaab,Martin Harnik,Vedad Ibišević,Daniel Didavi,Oriol Romeu,Florian Klein,Christian Gentner,Antonio Rüdiger,Alexandru Maxim,1,1,Matchweek 1
9,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Halil Altıntop,Markus Feulner,Shawn Parker,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Nikola Đurđić,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,Henrikh Mkhitaryan,Marco Reus,Miloš Jojić,Pierre-Emerick Aubameyang,Kevin Großkreutz,Sokratis Papastathopoulos,Łukasz Piszczek,Erik Durm,2,3,Matchweek 2
10,Wolfsburg,Max Grün,Vieirinha,Ivica Olić,Kevin De Bruyne,Luiz Gustavo,Josuha Guilavogui,Sebastian Jung,Naldo,Maximilian Arnold,Robin Knoche,Ricardo Rodríguez,Eint Frankfurt,Kevin Trapp,Marco Russ,Carlos Zambrano,Takashi Inui,Haris Seferović,Nelson Valdez,Constant Djakpa,Lucas Piazon,Makoto Hasebe,Anderson Bamba,Aleksandar Ignjovski,2,2,Matchweek 2
11,Hamburger SV,René Adler,Dennis Diekmeier,Heiko Westermann,Johan Djourou,Marcell Jansen,Tolgay Arslan,Pierre-Michel Lasogga,Ivo Iličević,Milan Badelj,Valon Behrami,Rafael van der Vaart,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Patrick Ziegler,Marvin Bakalorz,Jens Wemmer,Mario Vrančić,Moritz Stoppelkamp,Christian Strohdiek,Elias Kachunga,Daniel Brückner,Süleyman Koç,0,3,Matchweek 2
12,Stuttgart,Sven Ulreich,Gōtoku Sakai,Daniel Schwaab,Martin Harnik,Vedad Ibišević,Daniel Didavi,Oriol Romeu,Florian Klein,Christian Gentner,Antonio Rüdiger,Alexandru Maxim,Köln,Timo Horn,Mišo Brečko,Dominic Maroh,Kevin Vogt,Marcel Risse,Anthony Ujah,Yuya Osako,Jonas Hector,Daniel Halfar,Kevin Wimmer,Matthias Lehmann,0,2,Matchweek 2
13,Leverkusen,Bernd Leno,Emir Spahić,Simon Rolfes,Son Heung-min,Hakan Çalhanoğlu,Stefan Kießling,Tin Jedvaj,Sebastian Boenisch,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,Hertha BSC,Rune Jarstein,John Heitinga,Hajime Hosogai,Marcel Ndjeng,Julian Schieber,Peter Niemeyer,Johannes van den Bergh,John Brooks,Nico Schulz,Roy Beerens,Fabian Lustenberger,4,2,Matchweek 2
14,Werder Bremen,Raphael Wolf,Santiago García,Álex Gálvez,Assani Lukimya-Mulongoti,Clemens Fritz,Franco Di Santo,Eljero Elia,Izet Hajrović,Sebastian Prödl,Zlatko Junuzović,Davie Selke,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Roberto Firmino,Tobias Strobl,Tarik Elyounoussi,Niklas Süle,Ádám Szalai,Kevin Volland,1,1,Matchweek 2
15,Schalke 04,Ralf Fährmann,Jan Kirchhoff,Benedikt Höwedes,Felipe Santana,Max Meyer,Julian Draxler,Marco Höger,Eric Maxim Choupo-Moting,Sidney Sam,Kaan Ayhan,Joël Matip,Bayern Munich,Manuel Neuer,Robert Lewandowski,Xherdan Shaqiri,Xabi Alonso,Jérôme Boateng,Mario Götze,Sebastian Rode,Philipp Lahm,Thomas Müller,David Alaba,Holger Badstuber,1,1,Matchweek 2
16,Mainz 05,Loris Karius,Johannes Geis,Christoph Moritz,Yunus Mallı,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Júnior Díaz,Shinji Okazaki,Niko Bungert,Hannover 96,Ron-Robert Zieler,Leon Andreasen,Miiko Albornoz,Hiroki Sakai,Manuel Schmiedebach,Joselu,Christian Schulz,Christian Pander,Marcelo,Hiroshi Kiyotake,Leonardo Bittencourt,0,0,Matchweek 2
17,Freiburg,Roman Bürki,Pavel Krmaš,Vladimír Darida,Dani Schahin,Admir Mehmedi,Jonathan Schmid,Marc-Oliver Kempf,Julian Schuster,Oliver Sorg,Christian Günter,Felix Klaus,Gladbach,Yann Sommer,Raffael,Ibrahima Traoré,Oscar Wendt,Christoph Kramer,Tony Jantschke,Julian Korb,André Hahn,Branimir Hrgota,Granit Xhaka,Martin Stranzl,0,0,Matchweek 2
18,Leverkusen,Bernd Leno,Emir Spahić,Lars Bender,Hakan Çalhanoğlu,Stefan Kießling,Levin Öztunalı,Tin Jedvaj,Sebastian Boenisch,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,Werder Bremen,Raphael Wolf,Santiago García,Álex Gálvez,Assani Lukimya-Mulongoti,Clemens Fritz,Franco Di Santo,Eljero Elia,Sebastian Prödl,Zlatko Junuzović,Fin Bartels,Davie Selke,3,3,Matchweek 3
19,Bayern Munich,Manuel Neuer,Dante,Robert Lewandowski,Xabi Alonso,Jérôme Boateng,Juan Bernat,Mario Götze,Philipp Lahm,Thomas Müller,David Alaba,Holger Badstuber,Stuttgart,Sven Ulreich,Gōtoku Sakai,Daniel Schwaab,Martin Harnik,Moritz Leitner,Vedad Ibišević,Oriol Romeu,Florian Klein,Timo Werner,Christian Gentner,Antonio Rüdiger,2,0,Matchweek 3
20,Hertha BSC,Thomas Kraft,Per Ciljan Skjelbred,Marcel Ndjeng,Jens Hegeler,Julian Schieber,Peter Niemeyer,Johannes van den Bergh,John Brooks,Nico Schulz,Roy Beerens,Fabian Lustenberger,Mainz 05,Loris Karius,Johannes Geis,Sami Allagui,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Júnior Díaz,Shinji Okazaki,Niko Bungert,Jonas Hofmann,1,3,Matchweek 3
21,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Roberto Firmino,Tobias Strobl,Sejad Salihović,Niklas Süle,Anthony Modeste,Ádám Szalai,Wolfsburg,Diego Benaglio,Daniel Caligiuri,Ivica Olić,Kevin De Bruyne,Junior Malanda,Luiz Gustavo,Sebastian Jung,Naldo,Maximilian Arnold,Robin Knoche,Ricardo Rodríguez,1,1,Matchweek 3
22,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,Henrikh Mkhitaryan,Miloš Jojić,Kevin Großkreutz,Adrián Ramos,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Erik Durm,Freiburg,Roman Bürki,Pavel Krmaš,Vladimír Darida,Admir Mehmedi,Jonathan Schmid,Marc-Oliver Kempf,Julian Schuster,Oliver Sorg,Nicolas Höfler,Christian Günter,Felix Klaus,3,1,Matchweek 3
23,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Lukas Rupp,Patrick Ziegler,Marvin Bakalorz,Jens Wemmer,Mario Vrančić,Moritz Stoppelkamp,Christian Strohdiek,Elias Kachunga,Daniel Brückner,Köln,Timo Horn,Mišo Brečko,Dominic Maroh,Kevin Vogt,Marcel Risse,Anthony Ujah,Jonas Hector,Daniel Halfar,Simon Zoller,Kevin Wimmer,Matthias Lehmann,0,0,Matchweek 3
24,Gladbach,Yann Sommer,Max Kruse,Raffael,Álvaro Domínguez,Oscar Wendt,Fabian Johnson,Christoph Kramer,Tony Jantschke,André Hahn,Granit Xhaka,Martin Stranzl,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Kevin-Prince Boateng,Christian Clemens,Marco Höger,Eric Maxim Choupo-Moting,Dennis Aogo,Sidney Sam,Christian Fuchs,Kaan Ayhan,Roman Neustädter,4,1,Matchweek 3
25,Eint Frankfurt,Kevin Trapp,Marco Russ,Carlos Zambrano,Takashi Inui,Haris Seferović,Václav Kadlec,Constant Djakpa,Lucas Piazon,Makoto Hasebe,Anderson Bamba,Aleksandar Ignjovski,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Halil Altıntop,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Dominik Kohr,Raúl Bobadilla,Sascha Mölders,0,1,Matchweek 3
26,Hannover 96,Ron-Robert Zieler,Leon Andreasen,Miiko Albornoz,Hiroki Sakai,Manuel Schmiedebach,Artur Sobiech,Joselu,Christian Schulz,Marcelo,Hiroshi Kiyotake,Leonardo Bittencourt,Hamburger SV,Jaroslav Drobný,Dennis Diekmeier,Cléber,Johan Djourou,Lewis Holtby,Pierre-Michel Lasogga,Zoltán Stieber,Valon Behrami,Matthias Ostrzolek,Nicolai Müller,Julian Green,2,0,Matchweek 3
27,Freiburg,Roman Bürki,Pavel Krmaš,Vladimír Darida,Jonathan Schmid,Marc-Oliver Kempf,Julian Schuster,Oliver Sorg,Maximilian Philipp,Christian Günter,Karim Guédé,Felix Klaus,Hertha BSC,Thomas Kraft,Peter Pekarík,Hajime Hosogai,Ronny,Jens Hegeler,Julian Schieber,Genki Haraguchi,John Brooks,Nico Schulz,Roy Beerens,Fabian Lustenberger,2,2,Matchweek 4
28,Stuttgart,Sven Ulreich,Gōtoku Sakai,Daniel Schwaab,Martin Harnik,Moritz Leitner,Daniel Didavi,Oriol Romeu,Florian Klein,Timo Werner,Christian Gentner,Antonio Rüdiger,Hoffenheim,Oliver Baumann,Andreas Beck,Sebastian Rudy,Eugen Polanski,Roberto Firmino,Tobias Strobl,Tarik Elyounoussi,Pirmin Schwegler,Steven Zuber,Niklas Süle,Anthony Modeste,0,2,Matchweek 4
29,Schalke 04,Ralf Fährmann,Max Meyer,Kevin-Prince Boateng,Julian Draxler,Marco Höger,Eric Maxim Choupo-Moting,Dennis Aogo,Christian Fuchs,Kaan Ayhan,Klaas-Jan Huntelaar,Roman Neustädter,Eint Frankfurt,Kevin Trapp,Marco Russ,Carlos Zambrano,Takashi Inui,Haris Seferović,Alexander Meier,Constant Djakpa,Makoto Hasebe,Timothy Chandler,Slobodan Medojević,Aleksandar Ignjovski,2,2,Matchweek 4
30,Hamburger SV,Jaroslav Drobný,Dennis Diekmeier,Heiko Westermann,Johan Djourou,Lewis Holtby,Tolgay Arslan,Pierre-Michel Lasogga,Zoltán Stieber,Valon Behrami,Matthias Ostrzolek,Nicolai Müller,Bayern Munich,Manuel Neuer,Dante,Xherdan Shaqiri,Rafinha,Claudio Pizarro,Jérôme Boateng,Juan Bernat,Philipp Lahm,Thomas Müller,David Alaba,Pierre Højbjerg,0,0,Matchweek 4
