,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
284,Bayern Munich,Yann Sommer,Matthijs de Ligt,Benjamin Pavard,Joshua Kimmich,Serge Gnabry,Leroy Sané,Kingsley Coman,João Cancelo,Thomas Müller,Noussair Mazraoui,Jamal Musiala,Schalke 04,Alexander Schwolow,Sepp van den Berg,Tom Krauß,Danny Latza,Marius Bülter,Jere Uronen,Kenan Karaman,Michael Frey,Cédric Brunner,Alex Král,Marcin Kamiński,6,0,Matchweek 32
285,Dortmund,Gregor Kobel,Sébastien Haller,Mats Hummels,Marius Wolf,Julian Brandt,Donyell Malen,Jude Bellingham,Emre Can,Niklas Süle,Julian Ryerson,Karim Adeyemi,Gladbach,Jan Olschowsky,Marvin Friedrich,Julian Weigl,Hannes Wolf,Manu Koné,Stefan Lainer,Nathan N'Goumou,Jonas Hofmann,Ramy Bensebaini,Nico Elvedi,Florian Neuhaus,5,2,Matchweek 32
286,Stuttgart,Fabian Bredlow,Waldemar Anton,Wataru Endo,Josha Vagnoman,Serhou Guirassy,Tiago Tomás,Silas Katompa,Atakan Karazor,Hiroki Ito,Dan-Axel Zagadou,Borna Sosa,Leverkusen,Lukáš Hrádecký,Piero Hincapié,Jonathan Tah,Mitchel Bakker,Sardar Azmoun,Kerem Demirbay,Edmond Tapsoba,Moussa Diaby,Amine Adli,Exequiel Palacios,Jeremie Frimpong,1,1,Matchweek 32
287,RB Leipzig,Janis Blaswich,Mohamed Simakan,Willi Orban,Amadou Haidara,Emil Forsberg,Timo Werner,Lukas Klostermann,Dominik Szoboszlai,Christopher Nkunku,Konrad Laimer,Benjamin Henrichs,Werder Bremen,Jiří Pavlenka,Anthony Jung,Niklas Stark,Jens Stage,Marvin Ducksch,Mitchell Weiser,Leonardo Bittencourt,Miloš Veljković,Romano Schmid,Ilia Gruev,Marco Friedl,2,1,Matchweek 32
288,Freiburg,Mark Flekken,Philipp Lienhart,Maximilian Eggestein,Lucas Höler,Roland Sallai,Nicolas Höfler,Matthias Ginter,Vincenzo Grifo,Noah Weißhaupt,Kenneth Schmidt,Ritsu Doan,Wolfsburg,Koen Casteels,Sebastiaan Bornauw,Micky van de Ven,Jakub Kamiński,Ridle Baku,Felix Nmecha,Jonas Wind,Maximilian Arnold,Josuha Guilavogui,Yannick Gerhardt,Patrick Wimmer,2,0,Matchweek 33
289,Schalke 04,Alexander Schwolow,Sepp van den Berg,Tom Krauß,Simon Terodde,Rodrigo Zalazar,Kenan Karaman,Tim Skarke,Moritz Jenz,Cédric Brunner,Alex Král,Henning Matriciani,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Djibril Sow,Randal Kolo Muani,Daichi Kamada,Sebastian Rode,Almamy Touré,Aurélio Buta,Christopher Lenz,Mario Götze,Tuta,2,2,Matchweek 33
290,Werder Bremen,Jiří Pavlenka,Anthony Jung,Niklas Stark,Jens Stage,Marvin Ducksch,Mitchell Weiser,Leonardo Bittencourt,Niclas Füllkrug,Miloš Veljković,Ilia Gruev,Marco Friedl,Köln,Marvin Schwäbe,Benno Schmitz,Timo Hübers,Eric Martel,Dejan Ljubicic,Florian Kainz,Jonas Hector,Steffen Tigges,Julian Chabot,Ellyes Skhiri,Linton Maina,1,1,Matchweek 33
291,Hertha BSC,Oliver Christensen,Agustín Rogel,Suat Serdar,Dodi Lukebakio,Jonjoe Kenny,Maximilian Mittelstädt,Stevan Jovetić,Marco Richter,Kevin-Prince Boateng,Lucas Tousart,Márton Dárdai,Bochum,Manuel Riemann,Erhan Mašović,Kevin Stöger,Anthony Losilla,Philipp Förster,Takuma Asano,Ivan Ordets,Christopher Antwi-Adjei,Saidy Janko,Dominique Heintz,Philipp Hofmann,1,1,Matchweek 33
292,Hoffenheim,Oliver Baumann,Ozan Kabak,Grischa Prömel,Dennis Geiger,Ihlas Bebou,Angeliño,Christoph Baumgartner,Finn Ole Becker,John Brooks,Kevin Akpoguma,Andrej Kramarić,Union Berlin,Frederik Rønnow,Morten Thorsby,Paul Jaeckel,Diogo Leite,Danilho Doekhi,Rani Khedira,Kevin Behrens,Janik Haberer,Jérôme Roussillon,Sheraldo Becker,Christopher Trimmel,4,2,Matchweek 33
293,Bayern Munich,Yann Sommer,Matthijs de Ligt,Benjamin Pavard,Joshua Kimmich,Serge Gnabry,Leon Goretzka,Kingsley Coman,João Cancelo,Thomas Müller,Noussair Mazraoui,Jamal Musiala,RB Leipzig,Janis Blaswich,Mohamed Simakan,Willi Orban,Dani Olmo,Amadou Haidara,Dominik Szoboszlai,Christopher Nkunku,André Silva,Marcel Halstenberg,Konrad Laimer,Joško Gvardiol,1,3,Matchweek 33
