,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Gladbach,Yann Sommer,Christoph Kramer,Patrick Herrmann,Hannes Wolf,Lars Stindl,Alassane Pléa,Stefan Lainer,Matthias Ginter,Joe Scally,Nico Elvedi,Florian Neuhaus,Bayern Munich,Manuel Neuer,Dayot Upamecano,Niklas Süle,Joshua Kimmich,Serge Gnabry,Leon Goretzka,Robert Lewandowski,Leroy Sané,Alphonso Davies,Thomas Müller,Josip Stanišić,1,1,Matchweek 1
1,Stuttgart,Florian Müller,Waldemar Anton,Wataru Endo,Marc-Oliver Kempf,Konstantinos Mavropanos,Atakan Karazor,Hamadi Al Ghaddioui,Philipp Förster,Borna Sosa,Roberto Massimo,Mateo Klimowicz,Greuther Fürth,Sascha Burchert,Maximilian Bauer,Justin Hoogma,Nils Seufert,Branimir Hrgota,Håvard Nielsen,Marco Meyerhöfer,Gideon Jung,Gian-Luca Itter,Paul Seguin,Julian Green,5,1,Matchweek 1
2,Union Berlin,Andreas Luthe,Marvin Friedrich,Rani Khedira,Max Kruse,Taiwo Awoniyi,Niko Gießelmann,Genki Haraguchi,Timo Baumgartl,Christopher Trimmel,Robin Knoche,Marcus Ingvartsen,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Mitchel Bakker,Odilon Kossonou,Kerem Demirbay,Nadiem Amiri,Patrik Schick,Moussa Diaby,Charles Aránguiz,Exequiel Palacios,Jeremie Frimpong,1,1,Matchweek 1
3,Wolfsburg,Koen Casteels,Maxence Lacroix,Wout Weghorst,Renato Steffen,Jérôme Roussillon,Maximilian Philipp,Kevin Mbabu,Ridle Baku,Xaver Schlager,John Brooks,Maximilian Arnold,Bochum,Manuel Riemann,Cristian Gamboa,Danilo Soares,Anthony Losilla,Simon Zoller,Takuma Asano,Elvis Rexhbeçaj,Christopher Antwi-Adjei,Robert Tesche,Vassilis Lambropoulos,Maxim Leitsch,1,0,Matchweek 1
4,Arminia,Stefan Ortega,Amos Pieper,Joakim Nilsson,Jacob Barrett Laursen,Alessandro Schöpf,Fabian Klos,Bryan Lasme,Masaya Okugawa,Fabian Kunze,Manuel Prietl,Cédric Brunner,Freiburg,Mark Flekken,Philipp Lienhart,Nico Schlotterbeck,Manuel Gulde,Jonathan Schmid,Lucas Höler,Yannik Keitel,Nicolas Höfler,Jeong Woo-yeong,Christian Günter,Vincenzo Grifo,0,0,Matchweek 1
5,Augsburg,Rafał Gikiewicz,Robert Gumny,Jeffrey Gouweleeuw,Florian Niederlechner,Jan Morávek,Ruben Vargas,Ohis Felix Uduokhai,Iago,Fredrik Jensen,André Hahn,Niklas Dorsch,Hoffenheim,Oliver Baumann,Jacob Bruun Larsen,Moanes Dabbur,Angelo Stiller,Christoph Baumgartner,Sebastian Rudy,David Raum,Kevin Vogt,Kevin Akpoguma,Andrej Kramarić,Stefan Posch,0,4,Matchweek 1
6,Dortmund,Gregor Kobel,Gio Reyna,Mahmoud Dahoud,Erling Haaland,Thorgan Hazard,Marco Reus,Nico Schulz,Manuel Akanji,Jude Bellingham,Axel Witsel,Felix Passlack,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Stefan Ilsanker,Djibril Sow,Filip Kostić,Martin Hinteregger,Daichi Kamada,Rafael Borré,Makoto Hasebe,Danny da Costa,Aymen Barkok,5,2,Matchweek 1
7,Mainz 05,Robin Zentner,Aarón Martín,Lee Jae-sung,Leandro Barreiro Martins,Stefan Bell,Moussa Niakhate,Niklas Tauer,Paul Nebel,Jonathan Burkardt,Silvan Widmer,Alexander Hack,RB Leipzig,Péter Gulácsi,Mohamed Simakan,Angeliño,Willi Orban,Amadou Haidara,Emil Forsberg,Tyler Adams,Christopher Nkunku,Nordi Mukiele,André Silva,Kevin Kampl,1,0,Matchweek 1
8,Köln,Timo Horn,Benno Schmitz,Timo Hübers,Rafael Czichos,Dejan Ljubicic,Florian Kainz,Mark Uth,Jonas Hector,Anthony Modeste,Ellyes Skhiri,Jan Thielmann,Hertha BSC,Alexander Schwolow,Peter Pekarík,Niklas Stark,Suat Serdar,Matheus Cunha,Santiago Ascacíbar,Stevan Jovetić,Marvin Plattenhardt,Kevin-Prince Boateng,Lucas Tousart,Márton Dárdai,3,1,Matchweek 1
9,RB Leipzig,Péter Gulácsi,Mohamed Simakan,Willi Orban,Amadou Haidara,Emil Forsberg,Tyler Adams,Lukas Klostermann,Dominik Szoboszlai,Christopher Nkunku,Joško Gvardiol,André Silva,Stuttgart,Florian Müller,Waldemar Anton,Wataru Endo,Marc-Oliver Kempf,Konstantinos Mavropanos,Hamadi Al Ghaddioui,Philipp Förster,Philipp Klement,Borna Sosa,Roberto Massimo,Mateo Klimowicz,4,0,Matchweek 2
