,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Bayern Munich,Manuel Neuer,Dante,Robert Lewandowski,Arjen Robben,Gianluca Gaudino,Juan Bernat,Mario Götze,Philipp Lahm,Thomas Müller,David Alaba,Holger Badstuber,Wolfsburg,Max Grün,Vieirinha,Aaron Hunt,Ivica Olić,Kevin De Bruyne,Luiz Gustavo,Josuha Guilavogui,Sebastian Jung,Naldo,Robin Knoche,Ricardo Rodríguez,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Roberto Firmino,Tarik Elyounoussi,Kim Jin-su,Niklas Süle,Ádám Szalai,Kevin Volland,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Halil Altıntop,Markus Feulner,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Tim Matavž,Caiuby,2,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Hannover 96,Ron-Robert Zieler,Leon Andreasen,Miiko Albornoz,Hiroki Sakai,Edgar Prib,Manuel Schmiedebach,Joselu,Christian Schulz,Christian Pander,Marcelo,Leonardo Bittencourt,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Kevin-Prince Boateng,Julian Draxler,Eric Maxim Choupo-Moting,Sidney Sam,Kaan Ayhan,Klaas-Jan Huntelaar,Joël Matip,Roman Neustädter,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Köln,Timo Horn,Mišo Brečko,Dominic Maroh,Marcel Risse,Adam Matuszczyk,Anthony Ujah,Yuya Osako,Jonas Hector,Daniel Halfar,Kevin Wimmer,Matthias Lehmann,Hamburger SV,René Adler,Dennis Diekmeier,Heiko Westermann,Johan Djourou,Marcell Jansen,Tolgay Arslan,Pierre-Michel Lasogga,Ivo Iličević,Milan Badelj,Valon Behrami,Rafael van der Vaart,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Eint Frankfurt,Kevin Trapp,Marco Russ,Takashi Inui,Haris Seferović,Nelson Valdez,Martin Lanig,Constant Djakpa,Lucas Piazon,Makoto Hasebe,Anderson Bamba,Aleksandar Ignjovski,Freiburg,Roman Bürki,Pavel Krmaš,Vladimír Darida,Mike Frantz,Admir Mehmedi,Jonathan Schmid,Marc-Oliver Kempf,Julian Schuster,Oliver Sorg,Christian Günter,Karim Guédé,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Hertha BSC,Thomas Kraft,Peter Pekarík,John Heitinga,Hajime Hosogai,Ronny,Sebastian Langkamp,Julian Schieber,Peter Niemeyer,Genki Haraguchi,Nico Schulz,Roy Beerens,Werder Bremen,Raphael Wolf,Santiago García,Luca Caldirola,Assani Lukimya-Mulongoti,Cédric Makiadi,Clemens Fritz,Franco Di Santo,Eljero Elia,Izet Hajrović,Zlatko Junuzović,Felix Kroos,2,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Dortmund,Mitchell Langerak,Sebastian Kehl,Ciro Immobile,Henrikh Mkhitaryan,Marco Reus,Miloš Jojić,Pierre-Emerick Aubameyang,Sokratis Papastathopoulos,Łukasz Piszczek,Matthias Ginter,Erik Durm,Leverkusen,Bernd Leno,Emir Spahić,Simon Rolfes,Son Heung-min,Hakan Çalhanoğlu,Stefan Kießling,Tin Jedvaj,Sebastian Boenisch,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,0,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Patrick Ziegler,Marvin Bakalorz,Jens Wemmer,Mario Vrančić,Stefan Kutschke,Moritz Stoppelkamp,Elias Kachunga,Daniel Brückner,Süleyman Koç,Mainz 05,Loris Karius,Nikolče Noveski,Johannes Geis,Filip Đuričić,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Shinji Okazaki,Park Joo-ho,Niko Bungert,2,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Gladbach,Yann Sommer,Raffael,Álvaro Domínguez,Ibrahima Traoré,Håvard Nordtveit,Tony Jantschke,Julian Korb,André Hahn,Branimir Hrgota,Granit Xhaka,Martin Stranzl,Stuttgart,Sven Ulreich,Gōtoku Sakai,Daniel Schwaab,Martin Harnik,Vedad Ibišević,Daniel Didavi,Oriol Romeu,Florian Klein,Christian Gentner,Antonio Rüdiger,Alexandru Maxim,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Halil Altıntop,Markus Feulner,Shawn Parker,Daniel Baier,Baba Rahman,Tobias Werner,Jan-Ingwer Callsen-Bracker,Nikola Đurđić,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,Henrikh Mkhitaryan,Marco Reus,Miloš Jojić,Pierre-Emerick Aubameyang,Kevin Großkreutz,Sokratis Papastathopoulos,Łukasz Piszczek,Erik Durm,2,3,Matchweek 2,2,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0
