,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Bayern Munich,Manuel Neuer,Niklas Süle,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Jérôme Boateng,Thomas Müller,David Alaba,Kingsley Coman,Joshua Kimmich,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Florian Grillitsch,Leonardo Bittencourt,Kasim Nuhu,Nico Schulz,Kevin Vogt,Ádám Szalai,Vincenzo Grifo,Joelinton,3,1,Matchweek 1
1,Düsseldorf,Michael Rensing,André Hoffmann,Kaan Ayhan,Alfredo Morales,Benito Raman,Kevin Stöger,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Marcel Sobottka,Jean Zimmer,Augsburg,Fabian Giefer,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Marco Richter,André Hahn,Caiuby,Philipp Max,Martin Hinteregger,1,2,Matchweek 1
2,Hertha BSC,Rune Jarstein,Karim Rekik,Niklas Stark,Salomon Kalou,Ondrej Duda,Maximilian Mittelstädt,Vedad Ibišević,Valentino Lazaro,Marvin Plattenhardt,Arne Maier,Jordan Torunarigha,Nürnberg,Fabian Bredlow,Edgar Salli,Robert Bauer,Mikael Ishak,Yuya Kubo,Hanno Behrens,Tim Leibold,Lukas Mühl,Ondřej Petrák,Georg Margreitter,Alexander Fuchs,1,0,Matchweek 1
3,Werder Bremen,Jiří Pavlenka,Ludwig Augustinsson,Florian Kainz,Yuya Osako,Max Kruse,Miloš Veljković,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Philipp Bargfrede,Hannover 96,Michael Esser,Walace,Takuma Asano,Ihlas Bebou,Matthias Ostrzolek,Niclas Füllkrug,Oliver Sorg,Pirmin Schwegler,Kevin Wimmer,Waldemar Anton,Linton Maina,1,1,Matchweek 1
4,Wolfsburg,Koen Casteels,William,Ignacio Camacho,Josip Brekalo,Renato Steffen,Wout Weghorst,Jérôme Roussillon,Josuha Guilavogui,John Brooks,Maximilian Arnold,Robin Knoche,Schalke 04,Ralf Fährmann,Weston McKennie,Matija Nastasić,Mark Uth,Suat Serdar,Baba Rahman,Daniel Caligiuri,Guido Burgstaller,Amine Harit,Salif Sané,Naldo,2,1,Matchweek 1
5,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Luca Waldschmidt,Pascal Stenzel,Nils Petersen,Jérôme Gondorf,Dominique Heintz,Nicolas Höfler,Christian Günter,Eint Frankfurt,Frederik Rønnow,Obite N'Dicka,Gelson Fernandes,Sébastien Haller,Mijat Gaćinović,Carlos Salcedo,Jetro Willems,Lucas Torró,Danny da Costa,Nicolai Müller,Taleb Tawatha,0,2,Matchweek 1
6,Gladbach,Yann Sommer,Tobias Strobl,Thorgan Hazard,Raffael,Jordan Beyer,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matthias Ginter,Florian Neuhaus,Leverkusen,Ramazan Özcan,Jonathan Tah,Aleksandar Dragović,Leon Bailey,Julian Brandt,Lucas Alario,Wendell,Dominik Kohr,Kai Havertz,Kevin Volland,Benjamin Henrichs,2,0,Matchweek 1
7,Mainz 05,Florian Müller,Aarón Martín,Robin Quaison,Jean-Philippe Mateta,Stefan Bell,Daniel Brosinski,Moussa Niakhate,Jean-Philippe Gbamin,Pablo de Blasis,Ridle Baku,Gerrit Holtmann,Stuttgart,Ron-Robert Zieler,Emiliano Insúa,Santiago Ascacíbar,Pablo Maffeo,Gonzalo Castro,Erik Thommy,Christian Gentner,Benjamin Pavard,Nicolás González,Mario Gómez,Holger Badstuber,1,0,Matchweek 1
8,Dortmund,Roman Bürki,Abdou Diallo,Thomas Delaney,Marco Reus,Manuel Akanji,Mahmoud Dahoud,Maximilian Philipp,Christian Pulisic,Łukasz Piszczek,Axel Witsel,Marcel Schmelzer,RB Leipzig,Péter Gulácsi,Marcelo Saracchi,Dayot Upamecano,Ibrahima Konaté,Marcel Sabitzer,Yussuf Poulsen,Emil Forsberg,Lukas Klostermann,Jean-Kévin Augustin,Diego Demme,Kevin Kampl,4,1,Matchweek 1
9,Hannover 96,Michael Esser,Miiko Albornoz,Walace,Takuma Asano,Ihlas Bebou,Iver Fossum,Niclas Füllkrug,Oliver Sorg,Kevin Wimmer,Waldemar Anton,Linton Maina,Dortmund,Roman Bürki,Abdou Diallo,Thomas Delaney,Marco Reus,Manuel Akanji,Mahmoud Dahoud,Maximilian Philipp,Łukasz Piszczek,Marius Wolf,Axel Witsel,Marcel Schmelzer,0,0,Matchweek 2
10,Augsburg,Fabian Giefer,Jeffrey Gouweleeuw,Rani Khedira,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Koo Ja-cheol,Marco Richter,André Hahn,Philipp Max,Martin Hinteregger,Gladbach,Yann Sommer,Tobias Strobl,Thorgan Hazard,Raffael,Jordan Beyer,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matthias Ginter,Florian Neuhaus,1,1,Matchweek 2
11,Nürnberg,Fabian Bredlow,Mikael Ishak,Yuya Kubo,Hanno Behrens,Federico Palacios Martínez,Enrico Valentini,Tim Leibold,Lukas Mühl,Ondřej Petrák,Georg Margreitter,Alexander Fuchs,Mainz 05,Florian Müller,Aarón Martín,Robin Quaison,Jean-Philippe Mateta,Alexandru Maxim,Pierre Kunde,Stefan Bell,Daniel Brosinski,Moussa Niakhate,Karim Onisiwo,Ridle Baku,1,1,Matchweek 2
12,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Florian Grillitsch,Leonardo Bittencourt,Kasim Nuhu,Nico Schulz,Steven Zuber,Kevin Vogt,Ádám Szalai,Joelinton,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Lucas Höler,Pascal Stenzel,Nils Petersen,Jérôme Gondorf,Dominique Heintz,Nicolas Höfler,Christian Günter,3,1,Matchweek 2
13,Eint Frankfurt,Kevin Trapp,Gelson Fernandes,Sébastien Haller,Filip Kostić,Mijat Gaćinović,Carlos Salcedo,Jetro Willems,Lucas Torró,David Abraham,Danny da Costa,Nicolai Müller,Werder Bremen,Jiří Pavlenka,Ludwig Augustinsson,Yuya Osako,Martin Harnik,Max Kruse,Miloš Veljković,Niklas Moisander,Theodor Gebre Selassie,Davy Klaassen,Maximilian Eggestein,Philipp Bargfrede,1,2,Matchweek 2
14,Leverkusen,Ramazan Özcan,Jonathan Tah,Aleksandar Dragović,Lars Bender,Leon Bailey,Julian Brandt,Lucas Alario,Wendell,Mitchell Weiser,Kai Havertz,Kevin Volland,Wolfsburg,Pavao Pervan,William,Ignacio Camacho,Josip Brekalo,Renato Steffen,Wout Weghorst,Yannick Gerhardt,Jérôme Roussillon,John Brooks,Maximilian Arnold,Robin Knoche,1,3,Matchweek 2
15,Stuttgart,Ron-Robert Zieler,Emiliano Insúa,Dennis Aogo,Timo Baumgartl,Santiago Ascacíbar,Pablo Maffeo,Gonzalo Castro,Anastasios Donis,Christian Gentner,Benjamin Pavard,Mario Gómez,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Robert Lewandowski,Arjen Robben,Jérôme Boateng,Leon Goretzka,Thomas Müller,David Alaba,Joshua Kimmich,0,3,Matchweek 2
16,RB Leipzig,Péter Gulácsi,Marcelo Saracchi,Dayot Upamecano,Emil Forsberg,Timo Werner,Stefan Ilsanker,Bruma,Nordi Mukiele,Jean-Kévin Augustin,Diego Demme,Kevin Kampl,Düsseldorf,Michael Rensing,André Hoffmann,Kaan Ayhan,Alfredo Morales,Marvin Ducksch,Niko Gießelmann,Matthias Zimmermann,Rouwen Hennings,Marcel Sobottka,Marcin Kamiński,Jean Zimmer,1,1,Matchweek 2
