,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Leganés,Iván Cuéllar,Martín Mantovani,Gabriel,Miguel Ángel Guerrero,Alexander,Diego Rico,Javier Eraso,Ezequiel Muñoz,Joseba Zaldúa,Rubén Pérez,Omar Ramos,Alavés,Fernando Pacheco,Carlos Vigaray,Alexis,Rubén Sobrino,Christian Santos,Ibai Gómez,Rodrigo Ely,Burgui,Alfonso Pedraza,Manu García,Wakaso,1,0,Matchweek 1
1,Valencia,Neto,Rúben Vezo,João Cancelo,Álvaro Medrán,Simone Zaza,Daniel Parejo,José Luis Gayà,Carlos Soler,Rodrigo,Ezequiel Garay,Nacho Vidal,Las Palmas,Leandro Chichizola,David Simón,Mauricio Lemos,Alen Halilović,Jonathan Calleri,Pedro Bigas,Vitolo,Jonathan Viera,Ximo Navarro,Dani Castellano,Tana,1,0,Matchweek 1
2,Celta Vigo,Sergio Álvarez,Hugo Mallo,Andreu Fontàs,Nemanja Radoja,Maxi Gómez,Iago Aspas,Pione Sisto,Jozabed,Daniel Wass,Jonny Castro,Gustavo Cabral,Real Sociedad,Gerónimo Rulli,Asier Illarramendi,Xabi Prieto,Willian José,Aritz Elustondo,Sergio Canales,David Zurutuza,Mikel Oyarzabal,Álvaro Odriozola,Kévin Rodrigues,Raúl Navas,2,3,Matchweek 1
3,Girona,Gorka Iraizoz,Bernardo Espinosa,Pedro Alcalá,Álex Granell,Cristhian Stuani,Pere Pons,Portu,Aday,Marc Muniesa,Borja García,Pablo Maffeo,Atlético Madrid,Jan Oblak,Koke,Antoine Griezmann,Saúl Ñíguez,Fernando Torres,Yannick Carrasco,Gabi,Stefan Savić,Lucas Hernández,Juanfran,José María Giménez,2,2,Matchweek 1
4,Sevilla,David Soria,Sébastien Corchia,Simon Kjær,Clément Lenglet,Steven Nzonzi,Jesús Navas,Pablo Sarabia,Ganso,Luis Muriel,Borja Lasso,Nolito,Espanyol,Pau López,Aarón Martín,Naldo,Gerard Moreno,José Manuel Jurado,Léo Baptistão,David López,Javi López,Javi Fuego,Pablo Piatti,Papakouli Diop,1,1,Matchweek 1
5,Athletic Club,Kepa Arrizabalaga,Aymeric Laporte,Mikel San José,Beñat Etxebarria,Iker Muniain,Iñaki Williams,Markel Susaeta,Óscar de Marcos,Raúl García,Mikel Balenziaga,Unai Núñez,Getafe,Vicente Guaita,Djené,Markel Bergara,Álvaro Jiménez,Gaku Shibasaki,Francisco Molinero,Cala,Jorge Molina,Fayçal Fajr,Damián Suárez,Amath,0,0,Matchweek 1
6,Barcelona,Marc-André ter Stegen,Nélson Semedo,Ivan Rakitić,Sergio Busquets,Lionel Messi,Javier Mascherano,Gerard Deulofeu,Paco Alcácer,Jordi Alba,Sergi Roberto,Samuel Umtiti,Betis,Antonio Adán,Zouhair Feddal,Sergio León,Víctor Camarasa,Matías Nahuel,Joaquín,Andrés Guardado,Antonio Barragán,Alin Toșca,Aïssa Mandi,Juanjo Narváez,2,0,Matchweek 1
7,La Coruña,Rubén,Juanfran,Pedro Mosquera,Federico Cartabia,Florin Andone,Sidnei,Luisinho,Zakaria Bakkali,Guilherme,Celso Borges,Fabian Schär,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Nacho,Toni Kroos,Karim Benzema,Luka Modrić,Gareth Bale,Marcelo,Casemiro,Isco,0,3,Matchweek 1
8,Levante,Raúl Fernández,Iván López,Toño,Chema,Jefferson Lerma,Enis Bardhi,José Luis Morales,Sergio Postigo,Álex Alegría,Jason,José Campaña,Villarreal,Andrés Fernández,Álvaro González,Víctor Ruiz,Pablo Fornals,Carlos Bacca,Jaume Costa,Manu Trigueros,Enes Ünal,Rodri,Nicola Sansone,Antonio Rukavina,1,0,Matchweek 1
9,Málaga,Roberto,Diego González,Luis Hernández,Zdravko Kuzmanović,Juankar,Adrián González,Borja Bastón,Juanpi,Recio,Roberto Rosales,Paul Baysse,Eibar,Marko Dmitrović,Iván Ramis,Ander Capa,Takashi Inui,Rubén Peña,Paulo Oliveira,Dani García,José Ángel,Kiké,Charles,Joan Jordán,0,1,Matchweek 1
10,Real Sociedad,Gerónimo Rulli,Asier Illarramendi,Juanmi,Xabi Prieto,Willian José,Aritz Elustondo,David Zurutuza,Mikel Oyarzabal,Álvaro Odriozola,Kévin Rodrigues,Raúl Navas,Villarreal,Andrés Fernández,Álvaro González,Rúben Semedo,Pablo Fornals,Carlos Bacca,Samu Castillejo,Jaume Costa,Manu Trigueros,Rodri,Cédric Bakambu,Alfred N'Diaye,3,0,Matchweek 2
11,Betis,Antonio Adán,Javi García,Zouhair Feddal,Sergio León,Víctor Camarasa,Riza Durmisi,Joaquín,Andrés Guardado,Antonio Barragán,Aïssa Mandi,Francis Guerrero,Celta Vigo,Sergio Álvarez,Hugo Mallo,Nemanja Radoja,Maxi Gómez,Iago Aspas,Pione Sisto,Jozabed,Daniel Wass,Jonny Castro,Sergi Gómez,Facundo Roncaglia,2,1,Matchweek 2
12,Alavés,Fernando Pacheco,Carlos Vigaray,Alexis,Rubén Sobrino,Óscar Romero,Ibai Gómez,Rodrigo Ely,Alfonso Pedraza,Tomás Pina Isla,Manu García,Wakaso,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Andrés Iniesta,Lionel Messi,Gerard Deulofeu,Jordi Alba,Sergi Roberto,Aleix Vidal,Samuel Umtiti,0,2,Matchweek 2
13,Girona,Gorka Iraizoz,Bernardo Espinosa,Pedro Alcalá,Álex Granell,Cristhian Stuani,Pere Pons,Portu,Aday,Marc Muniesa,Borja García,Pablo Maffeo,Málaga,Roberto,Luis Hernández,Zdravko Kuzmanović,Juankar,Adrián González,Borja Bastón,Juanpi,Recio,Roberto Rosales,Paul Baysse,Álex Mula,1,0,Matchweek 2
14,Levante,Raúl Fernández,Iván López,Toño,Chema,Jefferson Lerma,Enis Bardhi,José Luis Morales,Sergio Postigo,Álex Alegría,Jason,José Campaña,La Coruña,Rubén,Juanfran,Pedro Mosquera,Emre Çolak,Federico Cartabia,Florin Andone,Sidnei,Luisinho,Zakaria Bakkali,Guilherme,Fabian Schär,2,2,Matchweek 2
