,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
0,0,0,Málaga,Carlos Kameni,Raúl Albentosa,Charles,Ricardo Horta,Nordin Amrabat,Fernando Tissone,Marcos Angeleri,Roberto Rosales,Arthur Boka,Duje Čop,Sergi Darder,Sevilla,Beto,Benoît Trémoulinas,Grzegorz Krychowiak,Vicente Iborra,Kévin Gameiro,José Antonio Reyes,Steven Nzonzi,Éver Banega,Vitolo,Coke,Adil Rami,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,3.4,3.4
1,1,1,La Coruña,Germán Lux,Juanfran,Fernando Navarro,Pedro Mosquera,Cani,Lucas Pérez,Sidnei,Laure,Fayçal Fajr,Celso Borges,Alberto Lopo,Real Sociedad,Gerónimo Rulli,Markel Bergara,Iñigo Martínez,Bruma,Xabi Prieto,Carlos Vela,Rubén Pardo,Joseba Zaldúa,Jonathas,Diego Reyes,Alberto de la Bella,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.2,2.5
2,2,2,Espanyol,Pau López,Rubén Duarte,Víctor Sánchez,Víctor Álvarez,Salva Sevilla,Felipe Caicedo,Paco Montañés,Javi López,Álvaro González,Anaitz Arbilla,Antonio Raillo,Getafe,Vicente Guaita,Alexis,Santiago Vergini,Mehdi Lacen,Álvaro Vázquez,Pablo Sarabia,Pedro León,Carlos Vigaray,Víctor Rodríguez,Juan Rodríguez,Damián Suárez,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,3.4,1.91
3,3,3,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Tiago Mendes,Koke,Antoine Griezmann,Óliver Torres,Jackson Martínez,Gabi,Juanfran,José María Giménez,Las Palmas,Raúl Lizoain,David Simón,Antolín Alcaraz,Sergio Araujo,Hernán,Roque Mesa,Aythami Artiles,Pedro Bigas,Javi Castellano,Jonathan Viera,Dani Castellano,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.5,1.2
4,4,4,Rayo Vallecano,Toño,Tito,Nacho,Miku,Raúl Baena,Manucho,Roberto Trashorras,Zé Castro,Patrick Ebert,Bebé,Diego Llorente,Valencia,Mathew Ryan,João Cancelo,Rúben Vezo,Shkodran Mustafi,Lucas Orbán,Álvaro Negredo,Pablo Piatti,Danilo Barbosa,Javi Fuego,Rodrigo De Paul,Santi Mina,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.5,3.6
5,5,5,Athletic Club,Gorka Iraizoz,Gorka Elustondo,Aymeric Laporte,Javier Eraso,Beñat Etxebarria,Markel Susaeta,Mikel Rico,Óscar de Marcos,Sabin Merino,Aritz Aduriz,Mikel Balenziaga,Barcelona,Claudio Bravo,Ivan Rakitić,Sergio Busquets,Dani Alves,Andrés Iniesta,Luis Suárez,Lionel Messi,Rafinha,Javier Mascherano,Jordi Alba,Thomas Vermaelen,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.33,6.5
6,6,6,Sporting Gijón,Iván Cuéllar,Luis Hernández,Bernardo Espinosa,Sergio Álvarez,Miguel Ángel Guerrero,Nacho Cases,Alberto Lora,Isma López,Carlos Carmona,Antonio Sanabria,Jony,Real Madrid,Keylor Navas,Sergio Ramos,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Gareth Bale,Marcelo,Luka Modrić,Jesé,Isco,Danilo,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,6.5,13.0
7,7,7,Levante,Rubén,Iván López,Toño,Simão Mate Junior,Víctor Camarasa,Verza,Juanfran,Ángel Trujillo,Deyverson,José Mari,Nabil Ghilas,Celta Vigo,Rubén Blanco,Hugo Mallo,Andreu Fontàs,Pablo Hernández,Iago Aspas,Nolito,Fabián Orellana,Daniel Wass,Jonny Castro,Gustavo Cabral,Augusto Fernández,1,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,3.3,3.6
8,8,8,Betis,Antonio Adán,Bruno González,Juan Manuel Vargas,Cristiano Piccini,Xavi Torres,Álvaro Cejudo,Alfred N'Diaye,Jorge Molina,Germán Pezzella,Francisco Portillo,Rubén Castro,Villarreal,Alphonse Areola,Mario Gaspar,Tomás Pina Isla,Víctor Ruiz,Roberto Soldado,Léo Baptistão,Jaume Costa,Samu Castillejo,Bruno Soriano,Eric Bailly,Matías Nahuel,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.25,2.8
9,9,9,Granada,Andrés Fernández,Diego Mainz,Jean-Sylvain Babin,Robert Ibáñez,Javi Márquez,Youssef El-Arabi,Piti,Salva Ruiz,Rubén Pérez,Dimitri Foulquier,Rubén Rochina,Eibar,Xabi Irureta,Iván Ramis,Gonzalo Escalante,Ander Capa,Sergi Enrich,Dani García,Mauro dos Santos,Antonio Luna,Keko,Saúl Berjón,Adrián González,1,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.3,1.91
