,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
132,132,132,Real Madrid,Iker Casillas,Dani Carvajal,Pepe,Sergio Ramos,Cristiano Ronaldo,Toni Kroos,Karim Benzema,James Rodríguez,Gareth Bale,Marcelo,Asier Illarramendi,Celta Vigo,Sergio Álvarez,Hugo Mallo,Andreu Fontàs,Nemanja Radoja,Pablo Hernández,Nolito,Joaquín Larrivey,Fabián Orellana,Jonny Castro,Gustavo Cabral,Michael Krohn-Dehli,3,0,Matchweek 14,14,36.0,4.0,13.0,-1.0,33.0,20.0,15.0,7.0,21.0,12.0,1.09
133,133,133,La Coruña,Fabricio,Juanfran,Pablo Insua,José Rodríguez,Haris Medunjanin,Hélder Postiga,Sidnei,Luisinho,Ivan Cavaleiro,Cezary Wilk,Alberto Lopo,Málaga,Carlos Kameni,Weligton Oliveira,Vitorino Antunes,Ignacio Camacho,Samu García,Roque Santa Cruz,Marcos Angeleri,Duda,Roberto Rosales,Samu Castillejo,Sergi Darder,0,1,Matchweek 14,14,-11.0,2.0,-3.0,-1.0,10.0,21.0,3.0,9.0,2.1,3.25,3.6
134,134,134,Rayo Vallecano,Cristian Álvarez,Antonio Amaya,Raúl Baena,Roberto Trashorras,Gaël Kakuta,Emiliano Insúa,Abdoulaye Ba,Javier Aquino,Quini,Léo Baptistão,Alberto Bueno,Sevilla,Beto,Grzegorz Krychowiak,Diogo Figueiras,Daniel Carriço,Carlos Bacca,José Antonio Reyes,Éver Banega,Vitolo,Nicolás Pareja,Coke,Stéphane Mbia,0,1,Matchweek 14,14,-8.0,7.0,-3.0,-1.0,17.0,26.0,6.0,7.0,2.2,3.4,3.3
135,135,135,Barcelona,Claudio Bravo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Xavi,Luis Suárez,Lionel Messi,Neymar,Javier Mascherano,Jordi Alba,Dani Alves,Espanyol,Kiko Casilla,Víctor Sánchez,Salva Sevilla,Sergio García,Felipe Caicedo,José Cañas,Lucas Vázquez,Juan Rafael Fuentes,Álvaro González,Anaitz Arbilla,Eric Bailly,5,1,Matchweek 14,14,25.0,-3.0,5.0,-2.0,31.0,14.0,9.0,5.0,21.0,12.0,1.09
136,136,136,Villarreal,Sergio Asenjo,Mario Gaspar,Víctor Ruiz,Luciano Vietto,Jonathan dos Santos,Ikechukwu Uche,Jaume Costa,Manu Trigueros,Denis Cheryshev,Gabriel Paulista,Bruno Soriano,Real Sociedad,Eñaut Zubikarai,Carlos Martínez,Iñigo Martínez,Esteban Granero,Xabi Prieto,Carlos Vela,Rubén Pardo,Ion Ansotegi,Sergio Canales,David Zurutuza,Alberto de la Bella,4,0,Matchweek 14,14,5.0,-1.0,1.0,3.0,21.0,13.0,7.0,8.0,5.5,3.75,1.67
137,137,137,Granada,Roberto,Allan Nyom,Fran Rico,Jean-Sylvain Babin,Youssef El-Arabi,Piti,Manuel Iturra,Jhon Córdoba,Juankar,Dimitri Foulquier,Jeison Murillo,Valencia,Diego Alves,Shkodran Mustafi,Álvaro Negredo,Sofiane Feghouli,Daniel Parejo,José Luis Gayà,Javi Fuego,Rodrigo,Antonio Barragán,André Gomes,Nicolás Otamendi,1,1,Matchweek 14,14,-15.0,12.0,-8.0,0.0,11.0,24.0,3.0,7.0,2.0,3.4,3.9
138,138,138,Eibar,Xabi Irureta,Eneko Bóveda,Raúl Albentosa,Mikel Arruabarrena,Dani García,Lillo,Derek Boateng,Federico Piovaccari,Manu del Moral,Saúl Berjón,Raúl Navas,Almería,Rubén,Fran Vélez,Ximo Navarro,Wellington Silva,Thievy Bifouma,Tomer Hemed,Ángel Trujillo,Corona,Jonathan Zongo,Mané,Thomas Partey,5,2,Matchweek 14,14,-5.0,-6.0,-3.0,-3.0,16.0,10.0,7.0,1.0,4.0,3.2,2.05
139,139,139,Levante,Diego Mariño,Iván López,David Navarro,Loukas Vyntra,David Barral,José Luis Morales,Nikolaos Karabelas,Víctor Casadesús,Andreas Ivanschitz,Mohamed Sissoko,Papakouli Diop,Getafe,Vicente Guaita,Emiliano Velázquez,Naldo,Ángel Lafita,Mehdi Lacen,Karim Yoda,Sergio Escudero,Juan Valera Espín,Míchel,Juan Rodríguez,Fredy Hinestroza,1,1,Matchweek 14,14,-18.0,-8.0,1.0,-1.0,12.0,14.0,7.0,4.0,2.9,3.1,2.6
140,140,140,Almería,Rubén,Michel,Fran Vélez,Ximo Navarro,Verza,Tomer Hemed,Ángel Trujillo,Sebastián Dubarbier,Édgar Méndez,Thomas Partey,Fernando Soriano,Real Madrid,Iker Casillas,Dani Carvajal,Pepe,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Isco,Asier Illarramendi,1,4,Matchweek 15,15,-9.0,39.0,-5.0,12.0,10.0,36.0,1.0,15.0,1.17,7.5,17.0
141,141,141,Getafe,Vicente Guaita,Alexis,Emiliano Velázquez,Naldo,Sammir,Ángel Lafita,Mehdi Lacen,Pablo Sarabia,Karim Yoda,Juan Valera Espín,Míchel,Barcelona,Claudio Bravo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Xavi,Pedro,Luis Suárez,Lionel Messi,Jordi Alba,Dani Alves,Jérémy Mathieu,0,0,Matchweek 15,15,-8.0,29.0,-2.0,10.0,15.0,34.0,5.0,12.0,1.22,6.5,13.0
