,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Girona,Yassine Bounou,Bernardo Espinosa,Álex Granell,Cristhian Stuani,Portu,Borja García,Juanpe,Marc Muniesa,Aleix García,David Timor,Pedro Porro,Valladolid,Jordi Masip,Kiko Olivas,Fernando Calero,Borja Fernández,Chris Ramos,Rubén Alcaraz,Javi Moyano,Toni Villa,Nacho,Anuar,Keko,0,0,Matchweek 1
1,Betis,Pau López,Francis Guerrero,Zouhair Feddal,Marc Bartra,Sergio Canales,Ryad Boudebouz,William Carvalho,Loren Morón,Andrés Guardado,Junior Firpo,Aïssa Mandi,Levante,Oier Olazábal,Toño,Cheick Doukouré,Chema,Roger Martí,Enis Bardhi,José Luis Morales,Coke,Sergio Postigo,Jason,José Campaña,0,3,Matchweek 1
2,Celta Vigo,Sergio Álvarez,Hugo Mallo,Néstor Araujo,Fran Beltrán,Maxi Gómez,Iago Aspas,Pione Sisto,Stanislav Lobotka,Gustavo Cabral,Brais Méndez,Júnior Alonso,Espanyol,Diego López,Víctor Sánchez,Borja Iglesias,Sergi Darder,Léo Baptistão,Dídac Vilà,David López,Javi López,Pablo Piatti,Marc Roca,Mario Hermoso,1,1,Matchweek 1
3,Villarreal,Sergio Asenjo,Mario Gaspar,Álvaro González,Ramiro Funes Mori,Santiago Cáseres,Gerard Moreno,Pablo Fornals,Alfonso Pedraza,Karl Toko Ekambi,Santi Cazorla,Manu Morlanes,Real Sociedad,Gerónimo Rulli,Joseba Zaldúa,Diego Llorente,Asier Illarramendi,Igor Zubeldia,Héctor Moreno,Mikel Merino,Mikel Oyarzabal,Willian José,Rubén Pardo,Theo Hernández,1,2,Matchweek 1
4,Barcelona,Marc-André ter Stegen,Nélson Semedo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Luis Suárez,Lionel Messi,Ousmane Dembélé,Jordi Alba,Sergi Roberto,Samuel Umtiti,Alavés,Fernando Pacheco,Rubén Duarte,Víctor Laguardia,Guillermo Maripán,Rubén Sobrino,Ibai Gómez,Daniel Torres,Manu García,Martin Agirregabiria,Wakaso,Jony,3,0,Matchweek 1
5,Eibar,Marko Dmitrović,Papakouli Diop,Sergi Enrich,Bebé,Rubén Peña,Paulo Oliveira,Fabián Orellana,José Ángel,Kiké,Anaitz Arbilla,Joan Jordán,Huesca,Axel Werner,Xabier Etxeita,Moi Gómez,Gonzalo Melero,Cucho,Álex Gallar,Samuele Longo,Jorge Pulido,Luisinho,Damián Musto,Jorge Miramón,1,2,Matchweek 1
6,Rayo Vallecano,Alberto García,Tito,Álvaro Medrán,Chechu,Álex Moreno,Óscar Trejo,Gaël Kakuta,Adri Embarba,Jordi Amat,Abdoulaye Ba,José Pozo,Sevilla,Tomáš Vaclík,Sergi Gómez,Simon Kjær,Roque Mesa,Éver Banega,André Silva,Jesús Navas,Pablo Sarabia,Sergio Escudero,Franco Vázquez,Gabriel Mercado,1,4,Matchweek 1
7,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Nacho,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Marco Asensio,Isco,Dani Ceballos,Getafe,David Soria,Djené,Bruno González,Leandro Cabrera,Francisco Portillo,Gaku Shibasaki,Amath,Mauro Arambarri,Jorge Molina,Nemanja Maksimović,Damián Suárez,2,0,Matchweek 1
8,Valencia,Neto,Gabriel Paulista,Geoffrey Kondogbia,Carlos Soler,Daniel Parejo,José Luis Gayà,Daniel Wass,Rodrigo,Cristiano Piccini,Santi Mina,Ezequiel Garay,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Ángel Correa,Thomas Lemar,Stefan Savić,Diego Costa,Juanfran,1,1,Matchweek 1
9,Athletic Club,Unai Simón,Yeray Álvarez,Iñaki Williams,Iker Muniain,Yuri Berchiche,Markel Susaeta,Dani García,Óscar de Marcos,Aritz Aduriz,Unai López,Peru Nolaskoain,Leganés,Iván Cuéllar,Juanfran,Jonathan Silva,Gerard Gumbau,Guido Carrillo,Nabil El Zhar,Raúl García,Javier Eraso,Ezequiel Muñoz,Rubén Pérez,Dimitris Siovas,2,1,Matchweek 1
10,Getafe,David Soria,Djené,Vitorino Antunes,Bruno González,Jaime Mata,Francisco Portillo,Ángel Rodríguez,Mauro Arambarri,Nemanja Maksimović,Damián Suárez,Iván Alejo,Eibar,Marko Dmitrović,Gonzalo Escalante,Papakouli Diop,Sergi Enrich,Rubén Peña,Paulo Oliveira,José Ángel,Kiké,Pere Milla,Anaitz Arbilla,Joan Jordán,2,0,Matchweek 2
