,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
83,Real Sociedad,Gerónimo Rulli,Carlos Martínez,Asier Illarramendi,Iñigo Martínez,Xabi Prieto,Carlos Vela,Willian José,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Raúl Navas,Alavés,Fernando Pacheco,Raúl García,Víctor Laguardia,Marcos Llorente,Víctor Camarasa,Daniel Torres,Édgar Méndez,Deyverson,Carlos Vigaray,Zouhair Feddal,Aleksandar Katai,3,0,Matchweek 9
84,Granada,Guillermo Ochoa,Tito,Uche Henry Agbo,David Lombán,Ezequiel Ponce,Gabriel Silva,Rúben Vezo,Andreas Pereira,Isaac Cuenca,Artem Kravets,Victorien Angban,Sporting Gijón,Iván Cuéllar,Jorge Meré,Sergio Álvarez,Rachid Aït-Atmane,Carlos Castro,Alberto Lora,Burgui,Lillo,Moi Gómez,Duje Čop,Juan Rodríguez,0,0,Matchweek 9
85,Celta Vigo,Sergio Álvarez,Hugo Mallo,Nemanja Radoja,Theo Bongonda,Pablo Hernández,Iago Aspas,Fabián Orellana,Daniel Wass,Jonny Castro,Gustavo Cabral,Facundo Roncaglia,La Coruña,Germán Lux,Juanfran,Fernando Navarro,Pedro Mosquera,Raúl Albentosa,Florin Andone,Sidnei,Fayçal Fajr,Guilherme,Bruno Gama,Ryan Babel,4,1,Matchweek 9
86,Sevilla,Sergio Rico,Mariano,Luciano Vietto,Samir Nasri,Steven Nzonzi,Sergio Escudero,Vitolo,Nicolás Pareja,Franco Vázquez,Adil Rami,Gabriel Mercado,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Yannick Carrasco,Ángel Correa,Gabi,Stefan Savić,Juanfran,Kévin Gameiro,1,0,Matchweek 9
87,Villarreal,Sergio Asenjo,Mario Gaspar,Mateo Musacchio,Víctor Ruiz,Jonathan dos Santos,Jaume Costa,Manu Trigueros,Cédric Bakambu,Nicola Sansone,Roberto Soriano,Bruno Soriano,Las Palmas,Raúl Lizoain,Vicente Gómez,David García,Kevin-Prince Boateng,Sergio Araujo,Michel,Roque Mesa,Pedro Bigas,Jonathan Viera,Dani Castellano,Tana,2,1,Matchweek 9
88,Málaga,Carlos Kameni,Bakary Koné,Mikel Villanueva,Ignacio Camacho,Juankar,Chory Castro,Roberto Rosales,Sandro Ramírez,Jony,Zdravko Kuzmanović,Pablo Fornals,Leganés,Jon Ander Serantes,Martín Mantovani,Gabriel,Alexander,Carl Medjani,Diego Rico,Víctor Díaz,Luciano,Rubén Pérez,Omar Ramos,David Timor,4,0,Matchweek 9
89,Real Madrid,Keylor Navas,Dani Carvajal,Pepe,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Mateo Kovačić,Isco,Athletic Club,Gorka Iraizoz,Aymeric Laporte,Javier Eraso,Mikel San José,Iñaki Williams,Iñigo Lekue,Xabier Etxeita,Mikel Rico,Sabin Merino,Raúl García,Enric Saborit,2,1,Matchweek 9
90,Leganés,Jon Ander Serantes,Gabriel,Miguel Ángel Guerrero,Alexander,Carl Medjani,Diego Rico,Víctor Díaz,Pablo Insua,Rubén Pérez,Omar Ramos,David Timor,Real Sociedad,Gerónimo Rulli,Carlos Martínez,Asier Illarramendi,Iñigo Martínez,Xabi Prieto,Carlos Vela,Willian José,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Raúl Navas,0,2,Matchweek 10
91,Sporting Gijón,Iván Cuéllar,Jorge Meré,Fernando Amorebieta,Sergio Álvarez,Nacho Cases,Roberto Canella,Lillo,Isma López,Moi Gómez,Duje Čop,Borja Viguera,Sevilla,Sergio Rico,Mariano,Daniel Carriço,Wissam Ben Yedder,Luciano Vietto,Samir Nasri,Steven Nzonzi,Vitolo,Franco Vázquez,Adil Rami,Gabriel Mercado,1,1,Matchweek 10
92,Alavés,Fernando Pacheco,Raúl García,Alexis,Víctor Camarasa,Theo Hernández,Daniel Torres,Édgar Méndez,Manu García,Deyverson,Kiko Femenía,Zouhair Feddal,Real Madrid,Keylor Navas,Pepe,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Mateo Kovačić,Isco,Danilo,1,4,Matchweek 10
