,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
0,0,0,Málaga,Carlos Kameni,Bakary Koné,Diego Llorente,Ignacio Camacho,Juanpi,Recio,Federico Ricca,Roberto Rosales,Sandro Ramírez,Keko,Jony,Osasuna,Nauzet Pérez,Javier Flaño,Miguel Flaño,David García,Oier Sanjurjo,Oriol Riera,Fausto Tienza,Unai García,Juan Rafael Fuentes,Kenan Kodro,Miguel de las Cuevas,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.75,1.62
1,1,1,La Coruña,Germán Lux,Juanfran,Fernando Navarro,Pedro Mosquera,Raúl Albentosa,Lucas Pérez,Carles Gil,Sidnei,Fayçal Fajr,Guilherme,Bruno Gama,Eibar,Asier Riesgo,Álex Gálvez,Iván Ramis,Cristian Rivera,Ander Capa,Takashi Inui,Dani García,Kiké,David Juncà,Adrián González,Bebé,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.4,1.95
2,2,2,Barcelona,Claudio Bravo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Denis Suárez,Arda Turan,Luis Suárez,Lionel Messi,Jordi Alba,Sergi Roberto,Samuel Umtiti,Betis,Antonio Adán,Bruno González,Petros,Felipe Gutiérrez,Jonas Martin,Antonio Sanabria,Riza Durmisi,Álvaro Cejudo,Germán Pezzella,Aïssa Mandi,Rubén Castro,6,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,1.08
3,3,3,Granada,Guillermo Ochoa,Tito,Uche Henry Agbo,David Lombán,Javi Márquez,Ezequiel Ponce,Jeremie Boga,Jon Toral,Isaac Cuenca,Rene Krhin,Dimitri Foulquier,Villarreal,Sergio Asenjo,Mario Gaspar,Alfred N'Diaye,Mateo Musacchio,Víctor Ruiz,Alexandre Pato,Manu Trigueros,Nicola Sansone,Samu Castillejo,Roberto Soriano,Antonio Rukavina,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.2,2.5
4,4,4,Sevilla,Sergio Rico,Mariano,Luciano Vietto,Wissam Ben Yedder,Hiroshi Kiyotake,Steven Nzonzi,Pablo Sarabia,Vitolo,Nicolás Pareja,Franco Vázquez,Gabriel Mercado,Espanyol,Roberto,Rubén Duarte,Víctor Sánchez,Óscar Duarte,Gerard Moreno,Léo Baptistão,Javi López,Hernán Pérez,Pablo Piatti,Papakouli Diop,Álvaro González,6,4,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.67
5,5,5,Sporting Gijón,Iván Cuéllar,Jorge Meré,Fernando Amorebieta,Sergio Álvarez,Víctor Rodríguez,Nacho Cases,Burgui,Lillo,Isma López,Moi Gómez,Duje Čop,Athletic Club,Gorka Iraizoz,Eneko Bóveda,Aymeric Laporte,Mikel San José,Beñat Etxebarria,Iñaki Williams,Markel Susaeta,Óscar de Marcos,Aritz Aduriz,Raúl García,Mikel Balenziaga,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,3.5,4.0
6,6,6,Real Sociedad,Gerónimo Rulli,Mikel González,Asier Illarramendi,Markel Bergara,Iñigo Martínez,Juanmi,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Joseba Zaldúa,David Concha,Real Madrid,Kiko Casilla,Dani Carvajal,Sergio Ramos,Raphaël Varane,Toni Kroos,Gareth Bale,Marcelo,Casemiro,Mateo Kovačić,Marco Asensio,Álvaro Morata,0,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.8,4.75
7,7,7,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Tiago Mendes,Koke,Saúl Ñíguez,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,Kévin Gameiro,Alavés,Fernando Pacheco,Raúl García,Alexis,Ibai Gómez,Daniel Torres,Édgar Méndez,Gaizka Toquero,Manu García,Kiko Femenía,Nenad Krstičić,Zouhair Feddal,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.5,1.2
8,8,8,Celta Vigo,Sergio Álvarez,Hugo Mallo,Marcelo Díaz,Theo Bongonda,Iago Aspas,Pione Sisto,Fabián Orellana,Daniel Wass,Jonny Castro,Sergi Gómez,Facundo Roncaglia,Leganés,Jon Ander Serantes,Unai Bustinza,Adrián Marín,Martín Mantovani,Alberto Martín,Gabriel,Miguel Ángel Guerrero,Diego Rico,Víctor Díaz,Unai López,David Timor,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.75,1.65
9,9,9,Valencia,Mathew Ryan,João Cancelo,Rúben Vezo,Enzo Pérez,Paco Alcácer,Daniel Parejo,José Luis Gayà,Álvaro Medrán,Martín Montoya,Santi Mina,Aymen Abdennour,Las Palmas,Javi Varas,Vicente Gómez,David García,Kevin-Prince Boateng,Nabil El Zhar,Marko Livaja,Michel,Roque Mesa,Pedro Bigas,Jonathan Viera,Dani Castellano,2,4,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.75,1.73
