,HomePlayer_Overall_sd,HomePlayer_Overall_mean_ln,AwayPlayer_Overall_sd,AwayPlayer_Overall_mean_ln,home_GD_form,home_Points_form,away_GD_form,away_Points_form,B365A,B365D,B365H
1374,4.149479704514992,4.298898296499049,3.797128101365797,4.251059834634552,-5.0,3.0,1.0,8.0,3.3,3.6,2.25
1375,2.1105794120443453,4.335164229005736,2.1908902300206643,4.2900473374508925,7.0,12.0,1.0,6.0,7.0,4.0,1.57
1376,4.566677726153385,4.409734178249842,3.9080336836735774,4.348512279362908,3.0,8.0,-2.0,5.0,5.25,4.2,1.67
1377,7.691790192382808,4.387367707410568,4.197401793750727,4.384149945275426,10.0,13.0,3.0,7.0,5.25,4.2,1.67
1378,5.749308258786048,4.345854691724771,2.195035721390843,4.333943954430087,0.0,5.0,8.0,13.0,3.5,3.5,2.2
1379,3.1708903252155305,4.308140176475709,2.7136021011998723,4.305909420989381,1.0,7.0,-8.0,4.0,4.5,3.6,1.91
1380,3.0030287741181936,4.28594806616651,1.300349603340998,4.291560270092329,-3.0,3.0,1.0,8.0,3.8,3.5,2.1
1381,2.821991559809555,4.235969763696232,1.8683974659876552,4.2468705453727855,-1.0,7.0,-5.0,3.0,5.0,3.75,1.8
1382,3.458848994049374,4.366225832854823,3.797128101365797,4.29295977184908,-2.0,4.0,0.0,7.0,7.5,5.0,1.44
1383,2.252271580588645,4.283775258224806,6.281285334590801,4.291747332770257,-1.0,4.0,1.0,8.0,3.1,3.25,2.55
1384,4.214692914511847,4.305027391028911,4.3463673442208135,4.303684090452268,1.0,7.0,-5.0,3.0,4.33,3.7,1.91
1385,2.067057636527649,4.296311464962007,3.2641301221834667,4.41373841386052,-4.0,7.0,3.0,8.0,1.5,4.5,7.5
1386,6.346079677464448,4.292920369573522,4.094341993976122,4.313653749375266,-1.0,-1.0,-6.0,3.0,3.8,3.4,2.15
1387,3.9611752158809,4.290362192535984,1.954016841836789,4.244235314747944,-4.0,-4.0,-3.0,3.0,4.2,3.5,2.0
1388,3.4191971412758715,4.369702703672557,3.9817766706013855,4.35081389827057,-1.0,-1.0,-2.0,5.0,4.33,3.75,1.91
1389,7.700059031650932,4.388483170373461,2.004540300962248,4.293854312926742,9.0,9.0,0.0,10.0,16.0,7.0,1.22
1390,1.300349603340998,4.291560270092329,3.101319367330914,4.25798317030915,-2.0,-2.0,1.0,8.0,2.88,3.4,2.63
1391,3.1449815724275862,4.288363532564484,3.236159339823561,4.412651724150252,0.0,0.0,3.0,8.0,1.57,4.2,6.5
1392,4.69622672520668,4.40965392893678,4.878524367060187,4.288341668272692,1.0,1.0,1.0,7.0,8.0,5.5,1.4
1393,2.195035721390843,4.333943954430087,2.6866674186027977,4.313252679393679,6.0,6.0,-8.0,4.0,8.5,4.6,1.44
1394,2.284333998823688,4.293747887066299,2.76010539983201,4.313217667713188,-1.0,-1.0,2.0,9.0,2.63,3.3,2.9
1395,3.8588740703615976,4.37979876796813,5.749308258786048,4.345854691724771,4.0,4.0,1.0,7.0,5.0,3.9,1.75
1396,3.101319367330914,4.257983170309151,6.871548720498299,4.387517158576497,-1.0,-1.0,3.0,5.0,1.67,4.2,5.5
1397,3.443043051509152,4.360486597767374,3.9611752158809,4.290362192535984,2.0,2.0,-5.0,2.0,7.0,4.33,1.53
1398,2.838053109888089,4.364233469732498,1.300349603340998,4.291560270092329,-1.0,-1.0,-3.0,2.0,9.0,5.0,1.4
1399,3.2641301221834667,4.41373841386052,2.625054111996377,4.417293325897708,3.0,3.0,9.0,12.0,3.1,3.5,2.38
1400,2.569046515733026,4.316945734075772,6.330302305003077,4.294174307949188,-8.0,-8.0,-1.0,4.0,2.8,3.25,2.8
1401,1.9400093720485896,4.301294929779228,4.045199174779453,4.383104917438209,3.0,3.0,1.0,6.0,1.85,3.6,4.75
1402,2.1019471492361124,4.237633256608169,2.053821272209882,4.307395015820784,-3.0,-3.0,-1.0,3.0,3.1,3.3,2.5
1403,4.094341993976122,4.313653749375266,2.9664793948382653,4.289710358544951,-6.0,-6.0,0.0,5.0,3.75,3.3,2.2
1404,3.22490309931942,4.316648606620719,2.165850662190053,4.329174323529785,3.0,3.0,5.0,7.0,3.1,3.3,2.5
1405,3.3709993123162105,4.300663985726893,3.628172592867705,4.366137184294985,-1.0,-1.0,1.0,6.0,1.85,3.8,4.5
1406,2.9664793948382653,4.289710358544951,2.805838069584072,4.296000958964388,0.0,0.0,-1.0,3.0,3.75,3.4,2.15
1407,6.608534426991152,4.384363926032143,2.6181186861075365,4.308403044784106,-1.0,-1.0,-4.0,3.0,12.0,6.25,1.29
1408,3.0600059417648797,4.391549498019297,3.1130225008677805,4.407178375859696,1.0,1.0,3.0,6.0,2.5,3.4,3.0
1409,7.691790192382808,4.387367707410569,2.76010539983201,4.313217667713186,7.0,7.0,5.0,9.0,12.0,5.75,1.3
1410,1.6348477827391985,4.283983050523066,1.848832555474351,4.244271905245886,-3.0,-3.0,-3.0,1.0,3.6,3.3,2.25
1411,2.1105794120443453,4.335164229005736,3.2192602199319587,4.314217091787769,1.0,1.0,-2.0,2.0,5.0,3.75,1.8
1412,3.443043051509152,4.311677996074542,2.656039430156385,4.224143219356438,0.0,0.0,-2.0,2.0,4.0,3.4,2.1
1413,1.868397465987655,4.305002533246477,3.443043051509152,4.360486597767374,-1.0,-1.0,2.0,6.0,2.15,3.5,3.6
1414,3.495451590021212,4.28565432037707,2.5866791627314534,4.367796687643229,-3.0,-3.0,-3.0,2.0,2.2,3.5,3.5
1415,3.458848994049374,4.370832023672425,2.004540300962248,4.293854312926742,2.0,2.0,2.0,7.0,11.0,6.0,1.3
1416,2.5081684733903127,4.304780767086546,3.640679257301507,4.280546294988409,1.0,1.0,1.0,4.0,3.5,3.3,2.3
1417,4.381780460041329,4.35525518998132,3.6680438185149113,4.373019917353798,5.0,5.0,-1.0,3.0,2.7,3.5,2.7
1418,2.891995221924885,4.235932112384486,4.818524859143285,4.383709981844619,-2.0,-2.0,1.0,4.0,1.83,3.75,4.75
1419,1.7580981459830651,4.246907135870727,6.754123319734532,4.381956875860512,-3.0,-3.0,-1.0,1.0,1.62,4.2,6.0
1420,3.196589091231749,4.414869788790731,3.5239440713753987,4.312851032877807,4.0,4.0,-1.0,1.0,18.0,8.0,1.18
