,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Juan Cuadrado,Claudio Marchisio,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Mario Mandžukić,Daniele Rugani,Stephan Lichtsteiner,Cagliari,Alessio Cragno,Marco Andreolli,Luca Cigarini,Diego Farias,Nicolò Barella,Fabio Pisacane,Simone Padoin,Artur Ioniță,Marco Capuano,Paolo Faragò,Duje Čop,3,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Hellas Verona,Nícolas Andrade,Rômulo,Daniele Verde,Alessio Cerci,Mattia Zaccagni,Daniel Bessa,Samuel Souprayen,Martín Cáceres,Alex Ferrari,Thomas Heurtaux,Marcel Büchel,Napoli,Pepe Reina,José Callejón,Marek Hamšík,Piotr Zieliński,Vlad Chiricheș,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Faouzi Ghoulam,Amadou Diawara,Arkadiusz Milik,1,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Atalanta,Etrit Berisha,Rafael Tolói,Bryan Cristante,Andrea Masiello,José Luis Palomino,Robin Gosens,Papu Gómez,Remo Freuler,Jasmin Kurtić,Andrea Petagna,Hans Hateboer,Roma,Alisson,Radja Nainggolan,Juan Jesus,Kevin Strootman,Diego Perotti,Edin Džeko,Aleksandar Kolarov,Daniele De Rossi,Grégoire Defrel,Bruno Peres,Kostas Manolas,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Udinese,Simone Scuffet,Molla Wagué,Gabriele Angella,Seko Fofana,Giuseppe Pezzella,Rodrigo De Paul,Jakub Jankto,Kevin Lasagna,Bram Nuytinck,Emil Hallfreðsson,Cyril Théréau,Chievo,Stefano Sorrentino,Dario Dainelli,Alessandro Gamberini,Ivan Radovanović,Manuel Pucciarelli,Massimo Gobbi,Lucas Castro,Valter Birsa,Fabrizio Cacciatore,Roberto Inglese,Përparim Hetemaj,1,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Inter,Samir Handanović,Mauro Icardi,Matías Vecino,Borja Valero,Miranda,Danilo D'Ambrosio,Milan Škriniar,Ivan Perišić,Yuto Nagatomo,Marcelo Brozović,Antonio Candreva,Fiorentina,Marco Sportiello,Carlos Sánchez,Giovanni Simeone,Valentin Eysseric,Davide Astori,Maximiliano Olivera,Jordan Veretout,Marco Benassi,Gil Bastião Dias,Vitor Hugo,Nenad Tomović,3,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Bologna,Antonio Mirante,Erick Pulgar,Sebastien De Maio,Saphir Taïder,Simone Verdi,Mattia Destro,Federico Di Francesco,Andrea Poli,Domenico Maietta,Adam Masina,Vasilis Torosidis,Torino,Salvatore Sirigu,Cristian Molinaro,Afriyie Acquah,Davide Zappacosta,Andrea Belotti,Adem Ljajić,Iago Falque,Álex Berenguer,Joel Obi,Emiliano Moretti,Nicolas Nkoulou,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Sampdoria,Christian Puggioni,Jacopo Sala,Édgar Barreto,Dennis Praet,Gastón Ramírez,Gianluca Caprari,Vasco Regini,Daniel Pavlović,Matías Silvestre,Fabio Quagliarella,Lucas Torreira,Benevento,Vid Belec,Gaetano Letizia,Lorenzo Del Pinto,Fabio Lucioni,Marco D'Alessandro,Danilo Cataldi,Massimo Coda,Amato Ciciretti,Andrea Costa,Lorenzo Venuti,George Pușcaș,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Crotone,Alex Cordaz,Marcus Rohdén,Federico Ceccherini,Adrian Stoian,Ante Budimir,Andrea Barberis,Marcello Trotta,Davide Faraoni,Rolando Mandragora,Leandro Cabrera,Bruno Martella,Milan,Gianluigi Donnarumma,Suso,Hakan Çalhanoğlu,Fabio Borini,Andrea Conti,Leonardo Bonucci,Mateo Musacchio,Patrick Cutrone,Ricardo Rodríguez,Manuel Locatelli,Franck Kessié,0,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Lazio,Thomas Strakosha,Stefan de Vrij,Dušan Basta,Wallace,Marco Parolo,Ciro Immobile,Luis Alberto,Senad Lulić,Sergej Milinković-Savić,Ștefan Radu,Simone Palombi,SPAL,Alfred Gomis,Marios Oikonomou,Sergio Floccari,Sauli Väisänen,Luca Mora,Francesco Vicari,Pasquale Schiattarella,Manuel Lazzari,Filippo Costa,Alberto Paloschi,Federico Viviani,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Sassuolo,Andrea Consigli,Francesco Magnanelli,Diego Falcinelli,Stefano Sensi,Federico Peluso,Francesco Acerbi,Matteo Politano,Pol Lirola,Domenico Berardi,Paolo Cannavaro,Alfred Duncan,Genoa,Mattia Perin,Santiago Gentiletti,Andrea Bertolacci,Adel Taarabt,Luca Rossettini,Davide Biraschi,Andrey Galabinov,Goran Pandev,Darko Lazović,Miguel Veloso,Diego Laxalt,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,Genoa,Mattia Perin,Santiago Gentiletti,Andrea Bertolacci,Adel Taarabt,Luca Rossettini,Davide Biraschi,Andrey Galabinov,Goran Pandev,Darko Lazović,Miguel Veloso,Diego Laxalt,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Juan Cuadrado,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Mario Mandžukić,Daniele Rugani,Stephan Lichtsteiner,2,4,Matchweek 2,2,0.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0
