,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
369,369,Pescara,Vincenzo Fiorillo,Cristiano Biraghi,Valerio Verre,Ledian Memushaj,Francesco Zampano,Michele Fornasier,Gastón Brugman,Gianluca Caprari,Alberto Cerri,Robert Murić,Cesare Bovo,Palermo,Andrea Fulignati,Andrea Rispoli,Edoardo Goldaniga,Mato Jajalo,Giancarlo González,Thiago Cionek,Ivaylo Chochev,Haitam Aleesami,Alessandro Diamanti,Bruno Henrique,Ilija Nestorovski,2,0,Matchweek 37,37,-46.0,-43.0,-7.0,-1.0,14.0,23.0,0.0,8.0
370,370,Bologna,Angelo da Costa Júnior,Emil Krafth,Erick Pulgar,Federico Viviani,Saphir Taïder,Mattia Destro,Ladislav Krejčí,Ibrahima Mbaye,Daniele Gastaldello,Orji Okwonkwo,Vasilis Torosidis,Juventus,Emil Audero,Medhi Benatia,Sami Khedira,Juan Cuadrado,Claudio Marchisio,Gonzalo Higuaín,Paulo Dybala,Andrea Barzagli,Kwadwo Asamoah,Stephan Lichtsteiner,Stefano Sturaro,1,2,Matchweek 38,38,-17.0,49.0,1.0,1.0,41.0,88.0,6.0,8.0
371,371,Atalanta,Pierluigi Gollini,Rafael Tolói,Bryan Cristante,Andrea Masiello,Papu Gómez,Remo Freuler,Mattia Caldara,Andrea Conti,Jasmin Kurtić,Andrea Petagna,Cristian Raimondi,Chievo,Andrea Seculin,Jonathan de Guzmán,Nicolás Spolli,Boštjan Cesar,Mariano Julio Izco,Massimo Gobbi,Valter Birsa,Samuel Bastien,Fabrizio Cacciatore,Roberto Inglese,Fabio Depaoli,1,0,Matchweek 38,38,20.0,-17.0,1.0,-1.0,69.0,43.0,9.0,5.0
372,372,Cagliari,Luca Crosta,João Pedro,Diego Farias,Fabio Pisacane,Simone Padoin,Artur Ioniță,Marco Borriello,Paolo Faragò,Alessandro Deiola,Nicola Murru,Panagiotis Tachtsidis,Milan,Gianluigi Donnarumma,Davide Calabria,Suso,Keisuke Honda,Matías Fernández,Gustavo Gómez,Leonel Vangioni,Gabriel Paletta,Juraj Kucka,Carlos Bacca,Manuel Locatelli,2,1,Matchweek 38,38,-22.0,13.0,-4.0,0.0,44.0,63.0,6.0,5.0
373,373,Sampdoria,Christian Puggioni,Édgar Barreto,Bruno Fernandes,Patrik Schick,Karol Linetty,Vasco Regini,Bartosz Bereszyński,Matías Silvestre,Fabio Quagliarella,Lucas Torreira,Milan Škriniar,Napoli,Pepe Reina,Elseid Hysaj,José Callejón,Jorginho,Dries Mertens,Marek Hamšík,Piotr Zieliński,Vlad Chiricheș,Lorenzo Insigne,Kalidou Koulibaly,Faouzi Ghoulam,2,4,Matchweek 38,38,-4.0,53.0,-4.0,11.0,48.0,83.0,3.0,13.0
374,374,Roma,Wojciech Szczęsny,Antonio Rüdiger,Radja Nainggolan,Kevin Strootman,Edin Džeko,Mohamed Salah,Daniele De Rossi,Federico Fazio,Emerson Palmieri,Kostas Manolas,Stephan El Shaarawy,Genoa,Eugenio Lamanna,Santiago Gentiletti,Isaac Cofie,Raffaele Palladino,Davide Biraschi,Oscar Hiljemark,Darko Lazović,Ezequiel Muñoz,Miguel Veloso,Pietro Pellegri,Diego Laxalt,3,2,Matchweek 38,38,51.0,-25.0,5.0,0.0,84.0,36.0,12.0,6.0
375,375,Torino,Joe Hart,Mirko Valdifiori,Afriyie Acquah,Daniele Baselli,Andrea Belotti,Luca Rossettini,Iago Falque,Antonio Barreca,Emiliano Moretti,Lorenzo De Silvestri,Lucas Boyé,Sassuolo,Gianluca Pegolo,Francesco Magnanelli,Davide Biondini,Grégoire Defrel,Stefano Sensi,Federico Peluso,Francesco Acerbi,Matteo Politano,Marcello Gazzola,Domenico Berardi,Paolo Cannavaro,5,3,Matchweek 38,38,3.0,-3.0,-6.0,7.0,50.0,46.0,5.0,11.0
376,376,Fiorentina,Bartłomiej Drągowski,Gonzalo Rodríguez,Matías Vecino,Federico Bernardeschi,Davide Astori,Carlos Salcedo,Sebastián Cristóforo,Riccardo Saponara,Federico Chiesa,Khouma Babacar,Nenad Tomović,Pescara,Vincenzo Fiorillo,Cristiano Biraghi,Valerio Verre,Ledian Memushaj,Francesco Zampano,Michele Fornasier,Hugo Campagnaro,Jean-Christophe Bahebeck,Gastón Brugman,Gianluca Caprari,Robert Murić,2,2,Matchweek 38,38,6.0,-44.0,-4.0,-2.0,59.0,17.0,7.0,3.0
377,377,Inter,Juan Pablo Carrizo,Marco Andreolli,Roberto Gagliardini,Geoffrey Kondogbia,Gary Medel,Davide Santon,Éder,Danilo D'Ambrosio,Ivan Perišić,Marcelo Brozović,Antonio Candreva,Udinese,Simone Scuffet,Gabriele Angella,Duván Zapata,Jakub Jankto,Emil Hallfreðsson,Silvan Widmer,Felipe dal Belo,Gabriel Silva,Thomas Heurtaux,Cyril Théréau,Andrija Balić,5,2,Matchweek 38,38,20.0,-6.0,-1.0,-5.0,59.0,45.0,3.0,5.0
378,378,Palermo,Andrea Fulignati,Andrea Rispoli,Edoardo Goldaniga,Mato Jajalo,Giancarlo González,Thiago Cionek,Ivaylo Chochev,Haitam Aleesami,Alessandro Diamanti,Ilija Nestorovski,Gennaro Ruggiero,Empoli,Alberto Pelagotti,Vincent Laurini,Giuseppe Bellusci,Miha Zajc,Massimo Maccarone,Assane Dioussé,Daniele Croce,Andrea Costa,Manuel Pasqual,Mame Baba Thiam,Rade Krunić,2,1,Matchweek 38,38,-45.0,-31.0,1.0,-2.0,23.0,32.0,7.0,6.0
379,379,Crotone,Alex Cordaz,Marcus Rohdén,Lorenzo Crisetig,Andrea Nalini,Diego Falcinelli,Gian Marco Ferrari,Federico Ceccherini,Andrea Barberis,Aleksandar Tonev,Mario Sampirisi,Bruno Martella,Lazio,Thomas Strakosha,Patric,Dušan Basta,Felipe Anderson,Wallace,Bastos,Ciro Immobile,Lucas Biglia,Sergej Milinković-Savić,Ștefan Radu,Alessandro Murgia,3,1,Matchweek 38,38,-26.0,25.0,-1.0,3.0,31.0,70.0,10.0,9.0
