,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Fiorentina,Bartłomiej Drągowski,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Franck Ribéry,Alfred Duncan,Gaetano Castrovilli,Christian Kouamé,Federico Ceccherini,Martín Cáceres,Federico Chiesa,Torino,Salvatore Sirigu,Gleison Bremer,Armando Izzo,Andrea Belotti,Simone Zaza,Cristian Ansaldi,Álex Berenguer,Soualiho Meïté,Nicolas Nkoulou,Karol Linetty,Tomás Rincón,1,0,Matchweek 1
1,Hellas Verona,Marco Silvestri,Federico Dimarco,Miguel Veloso,Davide Faraoni,Samuel Di Carmine,Yıldırım Mert Çetin,Koray Günter,Ľubomír Tupta,Alan Empereur,Adrien Tameze,Andrea Danzi,Roma,Antonio Mirante,Rick Karsdorp,Roger Ibanez,Bryan Cristante,Lorenzo Pellegrini,Pedro,Jordan Veretout,Gianluca Mancini,Leonardo Spinazzola,Amadou Diawara,Henrikh Mkhitaryan,3,0,Matchweek 1
2,Parma,Luigi Sepe,Simone Iacoponi,Giuseppe Pezzella,Alberto Grassi,Andreas Cornelius,Gastón Brugman,Bruno Alves,Hernani,Juraj Kucka,Matteo Darmian,Roberto Inglese,Napoli,David Ospina,Diego Demme,Fabián Ruiz Peña,Hirving Lozano,Dries Mertens,Piotr Zieliński,Giovanni Di Lorenzo,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Kostas Manolas,0,2,Matchweek 1
3,Genoa,Mattia Perin,Cristián Zapata,Edoardo Goldaniga,Lukas Lerager,Davide Biraschi,Miha Zajc,Paolo Ghiglione,Goran Pandev,Mattia Destro,Milan Badelj,Davide Zappacosta,Crotone,Alex Cordaz,Vladimir Golemić,Lisandro Magallán,Luca Cigarini,Salvatore Molina,Niccolò Zanellato,Antonio Mazzotta,Simeon Nwankwo,Junior Messias,Luca Marrone,Emmanuel Rivière,4,1,Matchweek 1
4,Sassuolo,Andrea Consigli,Rogério,Francesco Caputo,Filip Đuričić,Pedro Obiang,Vlad Chiricheș,Jeremy Toljan,Domenico Berardi,Lukáš Haraslín,Gian Marco Ferrari,Manuel Locatelli,Cagliari,Alessio Cragno,Marko Rog,Răzvan Marin,Giovanni Simeone,João Pedro,Fabrizio Caligara,Ragnar Klavan,Nahitan Nández,Charalambos Lykogiannis,Paolo Faragò,Sebastian Walukiewicz,1,1,Matchweek 1
5,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Cristiano Ronaldo,Aaron Ramsey,Danilo,Weston McKennie,Juan Cuadrado,Leonardo Bonucci,Adrien Rabiot,Gianluca Frabotta,Dejan Kulusevski,Sampdoria,Emil Audero,Tommaso Augello,Albin Ekdal,Federico Bonazzoli,Fabio Depaoli,Jakub Jankto,Omar Colley,Morten Thorsby,Lorenzo Tonelli,Bartosz Bereszyński,Mehdi Léris,3,0,Matchweek 1
6,Milan,Gianluigi Donnarumma,Davide Calabria,Ismaël Bennacer,Samu Castillejo,Hakan Çalhanoğlu,Zlatan Ibrahimović,Ante Rebić,Theo Hernández,Simon Kjær,Matteo Gabbia,Franck Kessié,Bologna,Łukasz Skorupski,Riccardo Orsolini,Nicolás Domínguez,Takehiro Tomiyasu,Roberto Soriano,Danilo Larangeira,Rodrigo Palacio,Lorenzo De Silvestri,Jerdy Schouten,Mitchell Dijks,Musa Barrow,2,0,Matchweek 1
7,Torino,Salvatore Sirigu,Gleison Bremer,Andrea Belotti,Simone Zaza,Álex Berenguer,Soualiho Meïté,Mërgim Vojvoda,Nicola Murru,Nicolas Nkoulou,Karol Linetty,Tomás Rincón,Atalanta,Marco Sportiello,Rafael Tolói,Bosko Sutalo,Robin Gosens,Luis Muriel,Papu Gómez,Remo Freuler,Mattia Caldara,Marten de Roon,Hans Hateboer,Duván Zapata,2,4,Matchweek 2
8,Sampdoria,Emil Audero,Tommaso Augello,Albin Ekdal,Valerio Verre,Federico Bonazzoli,Jakub Jankto,Omar Colley,Lorenzo Tonelli,Bartosz Bereszyński,Fabio Quagliarella,Antonio Candreva,Benevento,Lorenzo Montipò,Gaetano Letizia,Luca Caldirola,Bryan Dabo,Kamil Glik,Gianluca Caprari,Daam Foulon,Roberto Insigne,Gabriele Moncini,Pasquale Schiattarella,Artur Ioniță,2,3,Matchweek 2
9,Cagliari,Alessio Cragno,Marko Rog,Răzvan Marin,Giovanni Simeone,João Pedro,Ragnar Klavan,Nahitan Nández,Charalambos Lykogiannis,Paolo Faragò,Riccardo Sottil,Sebastian Walukiewicz,Lazio,Thomas Strakosha,Patric,Lucas Leiva,Luis Alberto,Joaquín Correa,Ciro Immobile,Sergej Milinković-Savić,Ștefan Radu,Manuel Lazzari,Francesco Acerbi,Adam Marušić,0,2,Matchweek 2
10,Inter,Samir Handanović,Romelu Lukaku,Lautaro Martínez,Aleksandar Kolarov,Ivan Perišić,Ashley Young,Nicolò Barella,Christian Eriksen,Danilo D'Ambrosio,Marcelo Brozović,Alessandro Bastoni,Fiorentina,Bartłomiej Drągowski,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Franck Ribéry,Gaetano Castrovilli,Christian Kouamé,Federico Ceccherini,Martín Cáceres,Federico Chiesa,Sofyan Amrabat,4,3,Matchweek 2
11,Spezia,Jeroen Zoet,Juan Manuel Ramos,Jacopo Sala,Matteo Ricci,Andrey Galabinov,Emmanuel Gyasi,Paolo Bartolomei,Tommaso Pobega,Martin Erlic,Cristian Dell'Orco,Kevin Agudelo,Sassuolo,Andrea Consigli,Francesco Caputo,Filip Đuričić,Pedro Obiang,Vlad Chiricheș,Jeremy Toljan,Domenico Berardi,Gian Marco Ferrari,Manuel Locatelli,Giorgos Kyriakopoulos,Grégoire Defrel,1,4,Matchweek 2
12,Hellas Verona,Marco Silvestri,Federico Dimarco,Miguel Veloso,Davide Faraoni,Matteo Lovato,Antonín Barák,Samuel Di Carmine,Yıldırım Mert Çetin,Mattia Zaccagni,Koray Günter,Adrien Tameze,Udinese,Juan Musso,Samir Santos,Stefano Okaka,Rodrigo De Paul,Kevin Lasagna,Hidde ter Avest,Tolgay Arslan,Rodrigo Becão,Sebastien De Maio,Marvin Zeegelaar,Mamadou Coulibaly,1,0,Matchweek 2
13,Crotone,Alex Cordaz,Vladimir Golemić,Lisandro Magallán,Luca Cigarini,Denis Drăguș,Salvatore Molina,Niccolò Zanellato,Simeon Nwankwo,Junior Messias,Pedro Pereira,Luca Marrone,Milan,Gianluigi Donnarumma,Davide Calabria,Sandro Tonali,Hakan Çalhanoğlu,Ante Rebić,Theo Hernández,Brahim Díaz,Simon Kjær,Matteo Gabbia,Alexis Saelemaekers,Franck Kessié,0,2,Matchweek 2
14,Napoli,Alex Meret,Fabián Ruiz Peña,Victor Osimhen,Hirving Lozano,Dries Mertens,Piotr Zieliński,Giovanni Di Lorenzo,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Kostas Manolas,Genoa,Federico Marchetti,Edoardo Goldaniga,Lukas Lerager,Davide Biraschi,Miha Zajc,Mattia Destro,Marko Pjaca,Milan Badelj,Andrea Masiello,Davide Zappacosta,Luca Pellegrini,6,0,Matchweek 2
15,Roma,Antonio Mirante,Roger Ibanez,Lorenzo Pellegrini,Edin Džeko,Pedro,Jordan Veretout,Davide Santon,Gianluca Mancini,Marash Kumbulla,Leonardo Spinazzola,Henrikh Mkhitaryan,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Cristiano Ronaldo,Aaron Ramsey,Álvaro Morata,Danilo,Weston McKennie,Juan Cuadrado,Leonardo Bonucci,Adrien Rabiot,Dejan Kulusevski,2,2,Matchweek 2
16,Bologna,Łukasz Skorupski,Aaron Hickey,Andreas Skov Olsen,Takehiro Tomiyasu,Andrea Poli,Roberto Soriano,Danilo Larangeira,Rodrigo Palacio,Lorenzo De Silvestri,Jerdy Schouten,Musa Barrow,Parma,Luigi Sepe,Simone Iacoponi,Yann Karamoh,Gastón Brugman,Vincent Laurini,Jacopo Dezi,Bruno Alves,Hernani,Gervinho,Juraj Kucka,Matteo Darmian,4,1,Matchweek 2
17,Benevento,Lorenzo Montipò,Luca Caldirola,Christian Maggio,Bryan Dabo,Kamil Glik,Gianluca Caprari,Roberto Insigne,Gabriele Moncini,Pasquale Schiattarella,Artur Ioniță,Federico Barba,Inter,Samir Handanović,Achraf Hakimi,Roberto Gagliardini,Stefan de Vrij,Alexis Sánchez,Romelu Lukaku,Aleksandar Kolarov,Stefano Sensi,Ashley Young,Arturo Vidal,Milan Škriniar,2,5,Matchweek 1
18,Udinese,Juan Musso,Samir Santos,Stefano Okaka,Rodrigo De Paul,Kevin Lasagna,Hidde ter Avest,Rodrigo Becão,Martin Palumbo,Sebastien De Maio,Marvin Zeegelaar,Mamadou Coulibaly,Spezia,Jeroen Zoet,Juan Manuel Ramos,Matteo Ricci,Andrey Galabinov,Emmanuel Gyasi,Claudio Terzi,Salvador Ferrer,Julian Chabot,Giulio Maggiore,Alessandro Deiola,Daniele Verde,0,2,Matchweek 1
19,Lazio,Thomas Strakosha,Patric,Lucas Leiva,Luis Alberto,Ciro Immobile,Felipe Caicedo,Sergej Milinković-Savić,Ștefan Radu,Manuel Lazzari,Francesco Acerbi,Adam Marušić,Atalanta,Marco Sportiello,Rafael Tolói,José Luis Palomino,Robin Gosens,Papu Gómez,Remo Freuler,Ruslan Malinovskyi,Berat Djimsiti,Hans Hateboer,Mario Pašalić,Duván Zapata,1,4,Matchweek 1
