,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
137,Inter,André Onana,Denzel Dumfries,Edin Džeko,Lautaro Martínez,Francesco Acerbi,Hakan Çalhanoğlu,Henrikh Mkhitaryan,Nicolò Barella,Federico Dimarco,Milan Škriniar,Alessandro Bastoni,Bologna,Łukasz Skorupski,Stefan Posch,Adama Soumaoro,Riccardo Orsolini,Marko Arnautović,Gary Medel,Lewis Ferguson,Charalambos Lykogiannis,Jhon Lucumí,Jerdy Schouten,Musa Barrow,6,1,Matchweek 14
138,Hellas Verona,Lorenzo Montipò,Josh Doig,Isak Hien,Kevin Lasagna,Federico Ceccherini,Martin Hongla,Milan Đurić,Filippo Terracciano,Paweł Dawidowicz,Yayah Kallon,Ibrahim Sulemana,Juventus,Mattia Perin,Gleison Bremer,Manuel Locatelli,Danilo,Juan Cuadrado,Arkadiusz Milik,Filip Kostić,Moise Kean,Leonardo Bonucci,Adrien Rabiot,Nicolò Fagioli,0,1,Matchweek 14
139,Lazio,Ivan Provedel,Matías Vecino,Marcos Antônio,Felipe Anderson,Pedro,Matteo Cancellieri,Alessio Romagnoli,Nicolò Casale,Sergej Milinković-Savić,Elseid Hysaj,Manuel Lazzari,Monza,Michele Di Gregorio,Giulio Donati,Luca Caldirola,Pepín,Filippo Ranocchia,Andrea Colpani,Carlos Augusto,Matteo Pessina,Andrea Petagna,Armando Izzo,Patrick Ciurria,1,0,Matchweek 14
140,Empoli,Guglielmo Vicario,Sebastian Walukiewicz,Alberto Grassi,Sam Lammers,Martin Satriano,Nedim Bajrami,Jean-Daniel Akpa-Akpro,Tyronne Ebuehi,Filippo Bandinelli,Ardian Ismajli,Fabiano Parisi,Cremonese,Marco Carnesecchi,Jack Hendry,Emanuele Valeri,Emanuel Aiwum,Charles Pickel,Santiago Ascacíbar,Cristian Buonaiuto,Leonardo Sernicola,Soualiho Meïté,Luka Lochoshvili,David Okereke,2,0,Matchweek 15
141,Napoli,Alex Meret,Kim Min-jae,Juan Jesus,Elif Elmas,Victor Osimhen,Hirving Lozano,Mathías Olivera,Piotr Zieliński,Giovanni Di Lorenzo,Stanislav Lobotka,Andre-Frank Zambo Anguissa,Udinese,Marco Silvestri,Sandi Lovrić,Tolgay Arslan,Beto,Gerard Deulofeu,Walace,Nehuén Pérez,Kingsley Ehizibue,Enzo Ebosse,Jaka Bijol,Roberto Pereyra,3,2,Matchweek 15
142,Sampdoria,Emil Audero,Bruno Amione,Gonzalo Villar,Filip Đuričić,Tomás Rincón,Jeison Murillo,Manolo Gabbiadini,Bartosz Bereszyński,Alex Ferrari,Daniele Montevago,Mehdi Léris,Lecce,Wladimiro Falcone,Marin Pongračić,Federico Baschirotto,Lorenzo Colombo,Federico Di Francesco,Joan Gonzàlez,Antonino Gallo,Gabriel Strefezza,Alexis Blin,Morten Hjulmand,Samuel Umtiti,0,2,Matchweek 15
143,Bologna,Łukasz Skorupski,Stefan Posch,Adama Soumaoro,Nicolás Domínguez,Marko Arnautović,Gary Medel,Lewis Ferguson,Michel Aebischer,Roberto Soriano,Charalambos Lykogiannis,Jhon Lucumí,Sassuolo,Andrea Consigli,Kaan Ayhan,Rogério,Andrea Pinamonti,Gian Marco Ferrari,Pedro Obiang,Davide Frattesi,Jeremy Toljan,Hamed Junior Traorè,Kristian Thorstvedt,Armand Lauriente,3,0,Matchweek 15
144,Atalanta,Juan Musso,Joakim Mæhle,José Luis Palomino,Teun Koopmeiners,Ademola Lookman,Éderson,Merih Demiral,Hans Hateboer,Giorgio Scalvini,Mario Pašalić,Duván Zapata,Inter,André Onana,Denzel Dumfries,Stefan de Vrij,Edin Džeko,Lautaro Martínez,Hakan Çalhanoğlu,Henrikh Mkhitaryan,Nicolò Barella,Federico Dimarco,Milan Škriniar,Alessandro Bastoni,2,3,Matchweek 15
145,Roma,Rui Patrício,Roger Ibanez,Bryan Cristante,Chris Smalling,Tammy Abraham,Zeki Çelik,Mohamed Camara,Nicolò Zaniolo,Gianluca Mancini,Nicola Zalewski,Cristian Volpato,Torino,Vanja Milinković-Savić,Alessandro Buongiorno,David Zima,Antonio Sanabria,Nikola Vlašić,Valentino Lazaro,Koffi Djidji,Mërgim Vojvoda,Samuele Ricci,Aleksei Miranchuk,Karol Linetty,1,1,Matchweek 15
146,Monza,Michele Di Gregorio,Marlon,Luca Caldirola,Nicolò Rovella,Gianluca Caprari,Andrea Colpani,Carlos Augusto,Matteo Pessina,Dany Mota,Armando Izzo,Patrick Ciurria,Salernitana,Luigi Sepe,Dylan Bronn,Domagoj Bradarić,Flavius Daniliuc,Erik Botheim,Ivan Radovanović,Lassana Coulibaly,Giulio Maggiore,Boulaye Dia,Pasquale Mazzocchi,Lorenzo Pirola,3,0,Matchweek 15
