,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Fiorentina,Bartłomiej Drągowski,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Franck Ribéry,Alfred Duncan,Gaetano Castrovilli,Christian Kouamé,Federico Ceccherini,Martín Cáceres,Federico Chiesa,Torino,Salvatore Sirigu,Gleison Bremer,Armando Izzo,Andrea Belotti,Simone Zaza,Cristian Ansaldi,Álex Berenguer,Soualiho Meïté,Nicolas Nkoulou,Karol Linetty,Tomás Rincón,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Hellas Verona,Marco Silvestri,Federico Dimarco,Miguel Veloso,Davide Faraoni,Samuel Di Carmine,Yıldırım Mert Çetin,Koray Günter,Ľubomír Tupta,Alan Empereur,Adrien Tameze,Andrea Danzi,Roma,Antonio Mirante,Rick Karsdorp,Roger Ibanez,Bryan Cristante,Lorenzo Pellegrini,Pedro,Jordan Veretout,Gianluca Mancini,Leonardo Spinazzola,Amadou Diawara,Henrikh Mkhitaryan,3,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Parma,Luigi Sepe,Simone Iacoponi,Giuseppe Pezzella,Alberto Grassi,Andreas Cornelius,Gastón Brugman,Bruno Alves,Hernani,Juraj Kucka,Matteo Darmian,Roberto Inglese,Napoli,David Ospina,Diego Demme,Fabián Ruiz Peña,Hirving Lozano,Dries Mertens,Piotr Zieliński,Giovanni Di Lorenzo,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Kostas Manolas,0,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Genoa,Mattia Perin,Cristián Zapata,Edoardo Goldaniga,Lukas Lerager,Davide Biraschi,Miha Zajc,Paolo Ghiglione,Goran Pandev,Mattia Destro,Milan Badelj,Davide Zappacosta,Crotone,Alex Cordaz,Vladimir Golemić,Lisandro Magallán,Luca Cigarini,Salvatore Molina,Niccolò Zanellato,Antonio Mazzotta,Simeon Nwankwo,Junior Messias,Luca Marrone,Emmanuel Rivière,4,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Sassuolo,Andrea Consigli,Rogério,Francesco Caputo,Filip Đuričić,Pedro Obiang,Vlad Chiricheș,Jeremy Toljan,Domenico Berardi,Lukáš Haraslín,Gian Marco Ferrari,Manuel Locatelli,Cagliari,Alessio Cragno,Marko Rog,Răzvan Marin,Giovanni Simeone,João Pedro,Fabrizio Caligara,Ragnar Klavan,Nahitan Nández,Charalambos Lykogiannis,Paolo Faragò,Sebastian Walukiewicz,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Cristiano Ronaldo,Aaron Ramsey,Danilo,Weston McKennie,Juan Cuadrado,Leonardo Bonucci,Adrien Rabiot,Gianluca Frabotta,Dejan Kulusevski,Sampdoria,Emil Audero,Tommaso Augello,Albin Ekdal,Federico Bonazzoli,Fabio Depaoli,Jakub Jankto,Omar Colley,Morten Thorsby,Lorenzo Tonelli,Bartosz Bereszyński,Mehdi Léris,3,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Milan,Gianluigi Donnarumma,Davide Calabria,Ismaël Bennacer,Samu Castillejo,Hakan Çalhanoğlu,Zlatan Ibrahimović,Ante Rebić,Theo Hernández,Simon Kjær,Matteo Gabbia,Franck Kessié,Bologna,Łukasz Skorupski,Riccardo Orsolini,Nicolás Domínguez,Takehiro Tomiyasu,Roberto Soriano,Danilo Larangeira,Rodrigo Palacio,Lorenzo De Silvestri,Jerdy Schouten,Mitchell Dijks,Musa Barrow,2,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Torino,Salvatore Sirigu,Gleison Bremer,Andrea Belotti,Simone Zaza,Álex Berenguer,Soualiho Meïté,Mërgim Vojvoda,Nicola Murru,Nicolas Nkoulou,Karol Linetty,Tomás Rincón,Atalanta,Marco Sportiello,Rafael Tolói,Bosko Sutalo,Robin Gosens,Luis Muriel,Papu Gómez,Remo Freuler,Mattia Caldara,Marten de Roon,Hans Hateboer,Duván Zapata,2,4,Matchweek 2,2,-1.0,3.0,-1.0,3.0,0.0,3.0,0.0,3.0
8,8,Sampdoria,Emil Audero,Tommaso Augello,Albin Ekdal,Valerio Verre,Federico Bonazzoli,Jakub Jankto,Omar Colley,Lorenzo Tonelli,Bartosz Bereszyński,Fabio Quagliarella,Antonio Candreva,Benevento,Lorenzo Montipò,Gaetano Letizia,Luca Caldirola,Bryan Dabo,Kamil Glik,Gianluca Caprari,Daam Foulon,Roberto Insigne,Gabriele Moncini,Pasquale Schiattarella,Artur Ioniță,2,3,Matchweek 2,2,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0
9,9,Cagliari,Alessio Cragno,Marko Rog,Răzvan Marin,Giovanni Simeone,João Pedro,Ragnar Klavan,Nahitan Nández,Charalambos Lykogiannis,Paolo Faragò,Riccardo Sottil,Sebastian Walukiewicz,Lazio,Thomas Strakosha,Patric,Lucas Leiva,Luis Alberto,Joaquín Correa,Ciro Immobile,Sergej Milinković-Savić,Ștefan Radu,Manuel Lazzari,Francesco Acerbi,Adam Marušić,0,2,Matchweek 2,2,0.0,-3.0,0.0,-3.0,1.0,0.0,1.0,0.0
