,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Chievo,Stefano Sorrentino,Nicola Rigoni,Ivan Radovanović,Mariusz Stępiński,Mattia Bani,Luca Rossettini,Emanuele Giaccherini,Fabio Depaoli,Fabrizio Cacciatore,Nenad Tomović,Përparim Hetemaj,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Paulo Dybala,Douglas Costa,Alex Sandro,Juan Cuadrado,Leonardo Bonucci,João Cancelo,2,3,Matchweek 1
1,Lazio,Thomas Strakosha,Luiz Felipe,Luis Alberto,Marco Parolo,Ciro Immobile,Sergej Milinković-Savić,Martín Cáceres,Milan Badelj,Ștefan Radu,Francesco Acerbi,Adam Marušić,Napoli,Orestis Karnezis,Allan,Mário Rui,José Callejón,Marek Hamšík,Piotr Zieliński,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Raúl Albiol,Arkadiusz Milik,1,2,Matchweek 1
2,Torino,Salvatore Sirigu,Armando Izzo,Daniele Baselli,Andrea Belotti,Iago Falque,Álex Berenguer,Soualiho Meïté,Emiliano Moretti,Lorenzo De Silvestri,Nicolas Nkoulou,Tomás Rincón,Roma,Robin Olsen,Kevin Strootman,Edin Džeko,Aleksandar Kolarov,Daniele De Rossi,Cengiz Ünder,Federico Fazio,Alessandro Florenzi,Javier Pastore,Kostas Manolas,Stephan El Shaarawy,0,1,Matchweek 1
3,Sassuolo,Andrea Consigli,Francesco Magnanelli,Rogério,Pol Lirola,Giangiacomo Magnani,Domenico Berardi,Kevin-Prince Boateng,Gian Marco Ferrari,Alfred Duncan,Federico Di Francesco,Mehdi Bourabia,Inter,Samir Handanović,Stefan de Vrij,Matías Vecino,Mauro Icardi,Lautaro Martínez,Matteo Politano,Kwadwo Asamoah,Miranda,Dalbert Henrique,Danilo D'Ambrosio,Marcelo Brozović,1,0,Matchweek 1
4,Empoli,Pietro Terracciano,Giovanni Di Lorenzo,Miha Zajc,Francesco Caputo,Luca Antonelli,Afriyie Acquah,Antonino La Gumina,Matías Silvestre,Leonardo Capezzi,Jacob Rasmussen,Rade Krunić,Cagliari,Alessio Cragno,Luca Cigarini,Diego Farias,Nicolò Barella,Artur Ioniță,Charalambos Lykogiannis,Luca Ceppitelli,Paolo Faragò,Lucas Castro,Leonardo Pavoletti,Filippo Romagna,2,0,Matchweek 1
5,Parma,Luigi Sepe,Simone Iacoponi,Leo Štulac,Antonino Barillà,Massimo Gobbi,Antonio Di Gaudio,Bruno Alves,Luca Siligardi,Riccardo Gagliolo,Roberto Inglese,Alberto Grassi,Udinese,Simone Scuffet,Samir Santos,William Troost-Ekong,Seko Fofana,Rodrigo De Paul,Kevin Lasagna,Darwin Machís,Bram Nuytinck,Jens Stryger Larsen,Rolando Mandragora,Antonín Barák,2,2,Matchweek 1
6,Bologna,Łukasz Skorupski,Giancarlo González,Erick Pulgar,Federico Santander,Federico Mattiello,Andrea Poli,Filip Helander,Danilo Larangeira,Rodrigo Palacio,Blerim Džemaili,Mitchell Dijks,SPAL,Alfred Gomis,Thiago Cionek,Simone Missiroli,Mirco Antenucci,Jasmin Kurtić,Francesco Vicari,Felipe dal Belo,Pasquale Schiattarella,Manuel Lazzari,Andrea Petagna,Mohamed Fares,0,1,Matchweek 1
7,Atalanta,Pierluigi Gollini,Rafael Tolói,Andrea Masiello,Robin Gosens,Papu Gómez,Remo Freuler,Marten de Roon,Berat Djimsiti,Hans Hateboer,Mario Pašalić,Musa Barrow,Frosinone,Marco Sportiello,Cristian Molinaro,Edoardo Goldaniga,Raffaele Maiello,Stipe Perica,Francesco Zampano,Emil Hallfreðsson,Bartosz Salamon,Camillo Ciano,Luka Krajnc,Raman Chibsah,4,0,Matchweek 1
8,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Alex Sandro,Blaise Matuidi,Mario Mandžukić,Leonardo Bonucci,João Cancelo,Federico Bernardeschi,Lazio,Thomas Strakosha,Lucas Leiva,Luis Alberto,Wallace,Marco Parolo,Ciro Immobile,Senad Lulić,Sergej Milinković-Savić,Ștefan Radu,Francesco Acerbi,Adam Marušić,2,0,Matchweek 2
9,Napoli,David Ospina,Allan,Mário Rui,José Callejón,Marek Hamšík,Piotr Zieliński,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Raúl Albiol,Arkadiusz Milik,Milan,Gianluigi Donnarumma,Davide Calabria,Giacomo Bonaventura,Suso,Gonzalo Higuaín,Fabio Borini,Alessio Romagnoli,Lucas Biglia,Mateo Musacchio,Ricardo Rodríguez,Franck Kessié,3,2,Matchweek 2
10,SPAL,Alfred Gomis,Thiago Cionek,Simone Missiroli,Mirco Antenucci,Jasmin Kurtić,Francesco Vicari,Felipe dal Belo,Pasquale Schiattarella,Manuel Lazzari,Andrea Petagna,Mohamed Fares,Parma,Luigi Sepe,Simone Iacoponi,Leo Štulac,Alessio da Cruz,Antonino Barillà,Massimo Gobbi,Antonio Di Gaudio,Bruno Alves,Riccardo Gagliolo,Roberto Inglese,Alberto Grassi,1,0,Matchweek 2
11,Cagliari,Alessio Cragno,Daniele Dessena,Luca Cigarini,Ragnar Klavan,Nicolò Barella,Simone Padoin,Artur Ioniță,Marco Sau,Leonardo Pavoletti,Darijo Srna,Filippo Romagna,Sassuolo,Andrea Consigli,Marlon,Stefano Sensi,Pol Lirola,Giangiacomo Magnani,Domenico Berardi,Kevin-Prince Boateng,Gian Marco Ferrari,Alfred Duncan,Federico Di Francesco,Manuel Locatelli,2,2,Matchweek 2
12,Genoa,Federico Marchetti,Nicolás Spolli,Domenico Criscito,Rômulo,Krzysztof Piątek,Christian Kouamé,Davide Biraschi,Goran Pandev,Darko Lazović,Ervin Zukanović,Oscar Hiljemark,Empoli,Pietro Terracciano,Giovanni Di Lorenzo,Miha Zajc,Francesco Caputo,Luca Antonelli,Afriyie Acquah,Antonino La Gumina,Matías Silvestre,Leonardo Capezzi,Jacob Rasmussen,Rade Krunić,2,1,Matchweek 2
13,Inter,Samir Handanović,Šime Vrsaljko,Stefan de Vrij,Matías Vecino,Mauro Icardi,Matteo Politano,Kwadwo Asamoah,Danilo D'Ambrosio,Milan Škriniar,Ivan Perišić,Marcelo Brozović,Torino,Salvatore Sirigu,Armando Izzo,Roberto Soriano,Andrea Belotti,Iago Falque,Cristian Ansaldi,Soualiho Meïté,Emiliano Moretti,Lorenzo De Silvestri,Nicolas Nkoulou,Tomás Rincón,2,2,Matchweek 2
14,Frosinone,Marco Sportiello,Cristian Molinaro,Stipe Perica,Francesco Zampano,Emil Hallfreðsson,Nicolò Brighenti,Bartosz Salamon,Camillo Ciano,Luka Krajnc,Raman Chibsah,Lorenzo Crisetig,Bologna,Łukasz Skorupski,Giancarlo González,Erick Pulgar,Federico Santander,Federico Mattiello,Andrea Poli,Filip Helander,Danilo Larangeira,Blerim Džemaili,Mitchell Dijks,Diego Falcinelli,0,0,Matchweek 2
15,Udinese,Simone Scuffet,Samir Santos,William Troost-Ekong,Seko Fofana,Rodrigo De Paul,Valon Behrami,Kevin Lasagna,Darwin Machís,Bram Nuytinck,Jens Stryger Larsen,Rolando Mandragora,Sampdoria,Emil Audero,Joachim Andersen,Édgar Barreto,Gastón Ramírez,Jakub Jankto,Omar Colley,Karol Linetty,Bartosz Bereszyński,Fabio Quagliarella,Nicola Murru,Grégoire Defrel,1,0,Matchweek 2
