,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
109,Juventus,Gianluigi Buffon,Medhi Benatia,Sami Khedira,Juan Cuadrado,Claudio Marchisio,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Mario Mandžukić,Leonardo Bonucci,Dani Alves,Porto,Iker Casillas,Maxi Pereira,Iván Marcano,Yacine Brahimi,Óliver Torres,André Silva,André André,Miguel Layún,Danilo Pereira,Felipe,Tiquinho Soares,Round of 16,1,0
110,Atlético Madrid,Jan Oblak,Diego Godín,Koke,Antoine Griezmann,Saúl Ñíguez,Yannick Carrasco,Ángel Correa,Šime Vrsaljko,Lucas Hernández,Thomas Partey,José María Giménez,Leverkusen,Bernd Leno,Aleksandar Dragović,Javier Hernández,Roberto Hilbert,Julian Baumgartlinger,Tin Jedvaj,Wendell,Julian Brandt,Kevin Volland,Karim Bellarabi,Kevin Kampl,Round of 16,0,0
111,Monaco,Danijel Subašić,Fabinho,Jemerson,Bernardo Silva,Tiemoué Bakayoko,Valère Germain,Djibril Sidibé,Benjamin Mendy,Andrea Raggi,Thomas Lemar,Kylian Mbappé,Manchester City,Willy Caballero,Bacary Sagna,Raheem Sterling,Sergio Agüero,Aleksandar Kolarov,Kevin De Bruyne,Leroy Sané,David Silva,Gaël Clichy,John Stones,Fernandinho,Round of 16,3,1
112,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Juan Cuadrado,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Mario Mandžukić,Leonardo Bonucci,Dani Alves,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Andrés Iniesta,Luis Suárez,Lionel Messi,Neymar,Javier Mascherano,Sergi Roberto,Samuel Umtiti,Jérémy Mathieu,Quarter-finals,3,0
113,Dortmund,Roman Bürki,Sven Bender,Ousmane Dembélé,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Matthias Ginter,Marcel Schmelzer,Julian Weigl,Monaco,Danijel Subašić,Fabinho,Jemerson,João Moutinho,Radamel Falcao,Bernardo Silva,Andrea Raggi,Kamil Glik,Thomas Lemar,Kylian Mbappé,Almamy Touré,Quarter-finals,2,3
114,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Fernando Torres,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,Leicester City,Kasper Schmeichel,Danny Drinkwater,Robert Huth,Jamie Vardy,Marc Albrighton,Danny Simpson,Shinji Okazaki,Wilfred Ndidi,Riyad Mahrez,Christian Fuchs,Yohan Benalouane,Quarter-finals,1,0
115,Bayern Munich,Manuel Neuer,Thiago Alcántara,Franck Ribéry,Javi Martínez,Arjen Robben,Xabi Alonso,Jérôme Boateng,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Nacho,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Casemiro,Luka Modrić,Quarter-finals,1,2
116,Leicester City,Kasper Schmeichel,Danny Drinkwater,Wes Morgan,Jamie Vardy,Marc Albrighton,Danny Simpson,Shinji Okazaki,Wilfred Ndidi,Riyad Mahrez,Christian Fuchs,Yohan Benalouane,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,José María Giménez,Quarter-finals,1,1
117,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Nacho,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Marcelo,Casemiro,Luka Modrić,Isco,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Robert Lewandowski,Arjen Robben,Xabi Alonso,Jérôme Boateng,Philipp Lahm,Arturo Vidal,David Alaba,Quarter-finals,4,2
118,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Andrés Iniesta,Luis Suárez,Lionel Messi,Neymar,Jordi Alba,Sergi Roberto,Samuel Umtiti,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Juan Cuadrado,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Mario Mandžukić,Leonardo Bonucci,Dani Alves,Quarter-finals,0,0
119,Monaco,Danijel Subašić,Jemerson,João Moutinho,Radamel Falcao,Bernardo Silva,Tiemoué Bakayoko,Benjamin Mendy,Kamil Glik,Thomas Lemar,Kylian Mbappé,Almamy Touré,Dortmund,Roman Bürki,Nuri Şahin,Marco Reus,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Shinji Kagawa,Sokratis Papastathopoulos,Łukasz Piszczek,Matthias Ginter,Julian Weigl,Erik Durm,Quarter-finals,3,1
120,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Marcelo,Casemiro,Luka Modrić,Isco,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Yannick Carrasco,Gabi,Stefan Savić,Lucas Hernández,Kévin Gameiro,Semi-finals,3,0
121,Monaco,Danijel Subašić,Fabinho,Jemerson,Nabil Dirar,Radamel Falcao,Bernardo Silva,Tiemoué Bakayoko,Djibril Sidibé,Kamil Glik,Thomas Lemar,Kylian Mbappé,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Claudio Marchisio,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Andrea Barzagli,Mario Mandžukić,Leonardo Bonucci,Dani Alves,Semi-finals,0,2
122,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Andrea Barzagli,Mario Mandžukić,Leonardo Bonucci,Dani Alves,Monaco,Danijel Subašić,Jemerson,João Moutinho,Radamel Falcao,Bernardo Silva,Tiemoué Bakayoko,Djibril Sidibé,Benjamin Mendy,Andrea Raggi,Kamil Glik,Kylian Mbappé,Semi-finals,2,1
123,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Fernando Torres,Yannick Carrasco,Gabi,Stefan Savić,José María Giménez,Real Madrid,Keylor Navas,Sergio Ramos,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Marcelo,Casemiro,Luka Modrić,Isco,Danilo,Semi-finals,2,1
124,Juventus,Gianluigi Buffon,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Gonzalo Higuaín,Paulo Dybala,Alex Sandro,Andrea Barzagli,Mario Mandžukić,Leonardo Bonucci,Dani Alves,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Marcelo,Casemiro,Luka Modrić,Isco,Final,1,4
