,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Lyon,Anthony Lopes,Jason Denayer,Marcelo,Moussa Dembélé,Bertrand Traoré,Memphis,Thiago Mendes,Leo Dubois,Jeff Reine-Adélaïde,Youssouf Koné,Lucas Tousart,Zenit,Andrey Lunyov,Douglas Santos,Yordan Osorio,Wílmar Barrios,Branislav Ivanović,Sardar Azmoun,Sebastián Driussi,Vyacheslav Karavayev,Yuri Zhirkov,Artem Dzyuba,Yaroslav Rakitskiy,Group stage,1,1
1,Inter,Samir Handanović,Roberto Gagliardini,Stefan de Vrij,Romelu Lukaku,Lautaro Martínez,Stefano Sensi,Kwadwo Asamoah,Danilo D'Ambrosio,Milan Škriniar,Marcelo Brozović,Antonio Candreva,Slavia Prague,Ondřej Kolář,David Hovorka,Vladimír Coufal,Nicolae Stanciu,Peter Olayinka,Josef Hušbauer,Ondřej Kúdela,Jan Bořil,Tomáš Souček,Ibrahim Traoré,Lukáš Masopust,Group stage,1,1
2,Chelsea,Kepa Arrizabalaga,Marcos Alonso,Andreas Christensen,Jorginho,Tammy Abraham,Willian,Kurt Zouma,Mateo Kovačić,Mason Mount,César Azpilicueta,Fikayo Tomori,Valencia,Jasper Cillessen,Gabriel Paulista,Geoffrey Kondogbia,Kévin Gameiro,Daniel Parejo,Denis Cheryshev,José Luis Gayà,Francis Coquelin,Daniel Wass,Rodrigo,Ezequiel Garay,Group stage,0,1
3,Benfica,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Raúl de Tomás,Franco Cervi,Pizzi,Adel Taarabt,Jota,Tomás Tavares,Francisco Reis Ferreira,RB Leipzig,Péter Gulácsi,Willi Orban,Ibrahima Konaté,Marcel Sabitzer,Yussuf Poulsen,Emil Forsberg,Timo Werner,Nordi Mukiele,Marcel Halstenberg,Konrad Laimer,Diego Demme,Group stage,1,2
4,Dortmund,Roman Bürki,Achraf Hakimi,Thomas Delaney,Jadon Sancho,Paco Alcácer,Marco Reus,Raphaël Guerreiro,Mats Hummels,Manuel Akanji,Thorgan Hazard,Axel Witsel,Barcelona,Marc-André ter Stegen,Nélson Semedo,Gerard Piqué,Sergio Busquets,Arthur Melo,Luis Suárez,Clément Lenglet,Antoine Griezmann,Jordi Alba,Frenkie de Jong,Ansu Fati,Group stage,0,0
5,RB Salzburg,Cican Stankovic,Hwang Hee-chan,Dominik Szoboszlai,André Ramalho,Zlatko Junuzović,Andreas Ulmer,Takumi Minamino,Antoine Bernede,Erling Haaland,Maximilian Wöber,Rasmus Kristensen,Genk,Gaëtan Coucke,Sébastien Dewaest,Junya Ito,Bryan Heynen,Mbwana Samatta,Patrik Hrošovský,Jere Uronen,Sander Berge,Joakim Mæhle,Jhon Lucumí,Dieumerci Ndongala,Group stage,6,2
6,Ajax,André Onana,Joël Veltman,Edson Álvarez,David Neres,Dušan Tadić,Quincy Promes,Daley Blind,Lisandro Martínez,Hakim Ziyech,Sergiño Dest,Nicolás Tagliafico,Lille,Mike Maignan,Gabriel Magalhães,José Fonte,Victor Osimhen,Jonathan Ikone,Jonathan Bamba,Zeki Çelik,Renato Sanches,Benjamin André,Boubakary Soumaré,Domagoj Bradarić,Group stage,3,0
7,Napoli,Alex Meret,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Hirving Lozano,Dries Mertens,Giovanni Di Lorenzo,Lorenzo Insigne,Kalidou Koulibaly,Kostas Manolas,Liverpool,Adrián,Fabinho,Virgil van Dijk,James Milner,Roberto Firmino,Sadio Mané,Mohamed Salah,Jordan Henderson,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Group stage,2,0
8,Club Brugge,Simon Mignolet,Krépin Diatta,David Okereke,Matej Mitrović,Simon Deli,Federico Ricca,Hans Vanaken,Ruud Vormer,Mats Rits,Emmanuel Dennis,Clinton Mata,Galatasaray,Fernando Muslera,Jean Seri,Radamel Falcao,Ryan Babel,Mariano,Christian Luyindama,Marcão,Yuto Nagatomo,Sofiane Feghouli,Steven Nzonzi,Mario Lemina,Group stage,0,0
9,Olympiacos,José Sá,Rúben Semedo,Andreas Bouchalakis,Guilherme,Miguel Ángel Guerrero,Daniel Podence,Omar Elabdellaoui,Giorgos Masouras,Yassine Meriah,Kostas Tsimikas,Mathieu Valbuena,Tottenham,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Davinson Sánchez,Harry Winks,Harry Kane,Dele Alli,Christian Eriksen,Lucas Moura,Tanguy Ndombele,Ben Davies,Group stage,2,2
10,Atlético Madrid,Jan Oblak,José María Giménez,Thomas Partey,Koke,João Félix,Saúl Ñíguez,Thomas Lemar,Renan Lodi,Stefan Savić,Diego Costa,Kieran Trippier,Juventus,Wojciech Szczęsny,Matthijs de Ligt,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Alex Sandro,Danilo,Blaise Matuidi,Juan Cuadrado,Leonardo Bonucci,Gonzalo Higuaín,Group stage,2,2
11,Paris S-G,Keylor Navas,Thiago Silva,Presnel Kimpembe,Marquinhos,Marco Verratti,Ángel Di María,Thomas Meunier,Juan Bernat,Mauro Icardi,Pablo Sarabia,Idrissa Gana Gueye,Real Madrid,Thibaut Courtois,Dani Carvajal,Éder Militão,Raphaël Varane,Eden Hazard,Toni Kroos,Karim Benzema,Gareth Bale,Casemiro,James Rodríguez,Ferland Mendy,Group stage,3,0
12,Bayern Munich,Manuel Neuer,Niklas Süle,Benjamin Pavard,Thiago Alcántara,Robert Lewandowski,Philippe Coutinho,Ivan Perišić,Lucas Hernández,Corentin Tolisso,Kingsley Coman,Joshua Kimmich,Red Star,Milan Borjan,Miloš Degenek,Milan Pavkov,Marko Marin,Mateo García,Jander Ribeiro Santana,Nemanja Milunović,Dušan Jovančić,Marko Gobeljić,José Cañas,Rajiv van La Parra,Group stage,3,0
13,Dinamo Zagreb,Dominik Livaković,Arijan Ademi,Dani Olmo,Bruno Petković,Marin Leovac,Nikola Moro,Kévin Théophile-Catherine,Petar Stojanović,Dino Perić,Emir Dilaver,Mislav Oršić,Atalanta,Pierluigi Gollini,Rafael Tolói,Andrea Masiello,Robin Gosens,Papu Gómez,Remo Freuler,Marten de Roon,Berat Djimsiti,Hans Hateboer,Josip Iličić,Duván Zapata,Group stage,4,0
14,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Sven Bender,Lars Bender,Leon Bailey,Julian Baumgartlinger,Wendell,Charles Aránguiz,Kai Havertz,Kevin Volland,Karim Bellarabi,Loko Moscow,Guilherme Marinato,Benedikt Höwedes,Dmitri Barinov,Grzegorz Krychowiak,Fyodor Smolov,Vedran Ćorluka,Rifat Zhemaletdinov,Vladislav Ignatyev,João Mário,Murilo Cerqueira,Maciej Rybus,Group stage,1,2
15,Shakhtar,Andriy Pyatov,Serhiy Kryvtsov,Taras Stepanenko,Taison,Júnior Moraes,Marlos,Manor Solomon,Alan Patrick,Mykola Matviyenko,Ismaily,Serhiy Bolbat,Manchester City,Ederson,Kyle Walker,Raheem Sterling,İlkay Gündoğan,Gabriel Jesus,Oleksandr Zinchenko,Rodri,Kevin De Bruyne,Fernandinho,Riyad Mahrez,Nicolás Otamendi,Group stage,0,3
16,Atalanta,Pierluigi Gollini,Rafael Tolói,Andrea Masiello,José Luis Palomino,Papu Gómez,Marten de Roon,Timothy Castagne,Hans Hateboer,Josip Iličić,Mario Pašalić,Duván Zapata,Shakhtar,Andriy Pyatov,Serhiy Kryvtsov,Taras Stepanenko,Taison,Júnior Moraes,Marlos,Viktor Kovalenko,Alan Patrick,Mykola Matviyenko,Ismaily,Serhiy Bolbat,Group stage,1,2
17,Real Madrid,Thibaut Courtois,Dani Carvajal,Sergio Ramos,Raphaël Varane,Nacho,Eden Hazard,Toni Kroos,Karim Benzema,Luka Modrić,Casemiro,Lucas Vázquez,Club Brugge,Simon Mignolet,Eduard Sobol,Krépin Diatta,Simon Deli,Hans Vanaken,Ruud Vormer,Mats Rits,Percy Tau,Emmanuel Dennis,Brandon Mechele,Clinton Mata,Group stage,2,2
18,Manchester City,Ederson,İlkay Gündoğan,Sergio Agüero,Rodri,Bernardo Silva,David Silva,Benjamin Mendy,Fernandinho,Riyad Mahrez,João Cancelo,Nicolás Otamendi,Dinamo Zagreb,Dominik Livaković,Arijan Ademi,Dani Olmo,Bruno Petković,Marin Leovac,Nikola Moro,Kévin Théophile-Catherine,Petar Stojanović,Dino Perić,Emir Dilaver,Mislav Oršić,Group stage,2,0
19,Tottenham,Hugo Lloris,Danny Rose,Toby Alderweireld,Jan Vertonghen,Son Heung-min,Harry Winks,Harry Kane,Moussa Sissoko,Dele Alli,Serge Aurier,Tanguy Ndombele,Bayern Munich,Manuel Neuer,Niklas Süle,Benjamin Pavard,Robert Lewandowski,Philippe Coutinho,Jérôme Boateng,Serge Gnabry,Corentin Tolisso,David Alaba,Kingsley Coman,Joshua Kimmich,Group stage,2,7
20,Juventus,Wojciech Szczęsny,Matthijs de Ligt,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Alex Sandro,Blaise Matuidi,Juan Cuadrado,Leonardo Bonucci,Gonzalo Higuaín,Federico Bernardeschi,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Sven Bender,Kerem Demirbay,Lucas Alario,Julian Baumgartlinger,Wendell,Charles Aránguiz,Mitchell Weiser,Kai Havertz,Kevin Volland,Group stage,3,0
21,Red Star,Milan Borjan,Miloš Degenek,Marko Marin,Mateo García,Tomané,Nemanja Milunović,Milan Rodić,Dušan Jovančić,Marko Gobeljić,José Cañas,Rajiv van La Parra,Olympiacos,José Sá,Rúben Semedo,Mohamed Camara,Andreas Bouchalakis,Yassine Benzia,Miguel Ángel Guerrero,Giorgos Masouras,Yassine Meriah,Kostas Tsimikas,Maximiliano Lovera,Vasilis Torosidis,Group stage,3,1
22,Loko Moscow,Guilherme Marinato,Benedikt Höwedes,Dmitri Barinov,Grzegorz Krychowiak,Fyodor Smolov,Vedran Ćorluka,Rifat Zhemaletdinov,Vladislav Ignatyev,João Mário,Murilo Cerqueira,Maciej Rybus,Atlético Madrid,Jan Oblak,José María Giménez,Santiago Arias,Thomas Partey,Koke,João Félix,Saúl Ñíguez,Álvaro Morata,Renan Lodi,Felipe,Diego Costa,Group stage,0,2
23,Galatasaray,Fernando Muslera,Jean Seri,Radamel Falcao,Younès Belhanda,Ryan Babel,Ryan Donk,Mariano,Christian Luyindama,Marcão,Yuto Nagatomo,Steven Nzonzi,Paris S-G,Keylor Navas,Thiago Silva,Presnel Kimpembe,Marquinhos,Marco Verratti,Ángel Di María,Thomas Meunier,Juan Bernat,Mauro Icardi,Pablo Sarabia,Idrissa Gana Gueye,Group stage,0,1
24,Genk,Gaëtan Coucke,Junya Ito,Mbwana Samatta,Patrik Hrošovský,Jere Uronen,Ianis Hagi,Sander Berge,Theo Bongonda,Joakim Mæhle,Jhon Lucumí,Carlos Cuesta,Napoli,Alex Meret,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Hirving Lozano,Elif Elmas,Giovanni Di Lorenzo,Kalidou Koulibaly,Kostas Manolas,Arkadiusz Milik,Group stage,0,0
