,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Manchester City,Joe Hart,Bacary Sagna,Vincent Kompany,Raheem Sterling,Samir Nasri,Aleksandar Kolarov,Wilfried Bony,Eliaquim Mangala,David Silva,Fernandinho,Yaya Touré,Juventus,Gianluigi Buffon,Giorgio Chiellini,Álvaro Morata,Paul Pogba,Hernanes,Juan Cuadrado,Mario Mandžukić,Leonardo Bonucci,Stephan Lichtsteiner,Stefano Sturaro,Patrice Evra,Group stage,1,2
1,Benfica,Júlio César,Luisão,Andreas Samaris,Jonas,Nicolás Gaitán,Kostas Mitroglou,Eliseu,Gonçalo Guedes,Talisca,Jardel,Nélson Semedo,FC Astana,Nenad Erić,Marin Aničić,Nemanja Maksimović,Georgy Zhukov,Foxi Kéthévoama,Baurzhan Dzholchiev,Branko Ilić,Yevgeny Postnikov,Dmitriy Shomko,Roger Cañas,Junior Kabananga,Group stage,2,0
2,Sevilla,Sergio Rico,Benoît Trémoulinas,Grzegorz Krychowiak,Timothée Kolodziejczak,Kévin Gameiro,José Antonio Reyes,Steven Nzonzi,Marco Andreolli,Éver Banega,Vitolo,Coke,Gladbach,Yann Sommer,Roel Brouwers,Håvard Nordtveit,Thorgan Hazard,Raffael,Lars Stindl,Ibrahima Traoré,Oscar Wendt,Tony Jantschke,Julian Korb,André Hahn,Group stage,3,0
3,Wolfsburg,Diego Benaglio,Daniel Caligiuri,Julian Draxler,Max Kruse,Bas Dost,Christian Träsch,André Schürrle,Dante,Luiz Gustavo,Naldo,Ricardo Rodríguez,CSKA Moscow,Igor Akinfeev,Mário Fernandes,Pontus Wernbloom,Sergei Ignashevich,Zoran Tošić,Alan Dzagoev,Ahmed Musa,Aleksei Berezutski,Roman Eremenko,Georgi Shchennikov,Bibras Natkho,Group stage,1,0
4,PSV Eindhoven,Jeroen Zoet,Héctor Moreno,Santiago Arias,Jeffrey Bruma,Davy Pröpper,Luuk de Jong,Luciano Narsingh,Maxime Lestienne,Andrés Guardado,Joshua Brenet,Jorrit Hendrix,Manchester Utd,David de Gea,Memphis,Juan Mata,Anthony Martial,Chris Smalling,Daley Blind,Ashley Young,Ander Herrera,Luke Shaw,Bastian Schweinsteiger,Matteo Darmian,Group stage,2,1
5,Paris S-G,Kevin Trapp,Thiago Silva,Marco Verratti,Thiago Motta,Edinson Cavani,Zlatan Ibrahimović,Ángel Di María,Blaise Matuidi,Maxwell,Gregory van der Wiel,David Luiz,Malmö,Johan Wiland,Anton Tinnerholm,Oscar Lewicki,Enoch Kofi Adu,Markus Rosenberg,Yoshimar Yotún,Rasmus Bengtsson,Kári Árnason,Jo Inge Berget,Felipe Carvalho,Nikola Đurđić,Group stage,2,0
6,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Raphaël Varane,Cristiano Ronaldo,Toni Kroos,Karim Benzema,Gareth Bale,Marcelo,Luka Modrić,Isco,Shakhtar,Andriy Pyatov,Oleksandr Kucher,Taras Stepanenko,Fred,Marlos,Oleksandr Hladkyy,Taison,Alex Teixeira,Darijo Srna,Yaroslav Rakitskiy,Márcio Azevedo,Group stage,4,0
7,Galatasaray,Fernando Muslera,Selçuk İnan,Wesley Sneijder,Lukas Podolski,Burak Yılmaz,Hakan Balta,Lionel Carole,Semih Kaya,Emre Çolak,Sabri Sarıoğlu,Jason Denayer,Atlético Madrid,Jan Oblak,Diego Godín,Guilherme Siqueira,Tiago Mendes,Koke,Antoine Griezmann,Saúl Ñíguez,Jackson Martínez,Juanfran,Luciano Vietto,José María Giménez,Group stage,0,2
8,Chelsea,Asmir Begović,Cesc Fàbregas,Kurt Zouma,Baba Rahman,Oscar,Eden Hazard,Ruben Loftus-Cheek,Loïc Rémy,Willian,Gary Cahill,César Azpilicueta,Maccabi Tel Aviv,Predrag Rajković,Yuval Spungin,Gal Alberman,Eran Zahavi,Tal Ben Haim,Eitan Tibi,Omri Ben Harush,Avi Rikan,Nikola Mitrović,Tal Ben Haim,Nosa Igiebor,Group stage,4,0
9,Gent,Matz Sels,Laurent Depoitre,Renato Neto,Stefan Mitrović,Sven Kums,Brecht Dejaegere,Nana Akwasi Asare,Lasse Nielsen,Moses Simon,Thomas Foket,Danijel Milićević,Lyon,Anthony Lopes,Mapou Yanga-Mbiwa,Corentin Tolisso,Claudio Beauvue,Alexandre Lacazette,Jordan Ferri,Jérémy Morel,Rafael,Maxime Gonalons,Samuel Umtiti,Mathieu Valbuena,Group stage,1,1
10,Leverkusen,Bernd Leno,Jonathan Tah,Kyriakos Papadopoulos,Javier Hernández,Lars Bender,Hakan Çalhanoğlu,Roberto Hilbert,Admir Mehmedi,Wendell,Karim Bellarabi,Kevin Kampl,BATE Borisov,Sergei Chernik,Kaspars Dubra,Illya Aleksiyevich,Mikalay Signevich,Nemanja Milunović,Ihar Stasevich,Filip Mladenović,Dzyanis Palyakow,Dzmitry Baha,Mikhail Gordeichuk,Alexander Hleb,Group stage,4,1
11,Roma,Wojciech Szczęsny,Antonio Rüdiger,Lucas Digne,Radja Nainggolan,Edin Džeko,Mohamed Salah,Iago Falque,Daniele De Rossi,Seydou Keita,Alessandro Florenzi,Kostas Manolas,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Andrés Iniesta,Luis Suárez,Lionel Messi,Neymar,Jordi Alba,Sergi Roberto,Jérémy Mathieu,Group stage,1,1
12,Dinamo Zagreb,Eduardo Carvalho,Hillel Soudani,Arijan Ademi,Ivo Pinto,Domagoj Antolić,Paulo Machado,Junior Fernándes,Josip Pivarić,Marko Pjaca,Leonardo Sigali,Jérémy Taravel,Arsenal,David Ospina,Mathieu Debuchy,Kieran Gibbs,Gabriel Paulista,Laurent Koscielny,Alexis Sánchez,Mikel Arteta,Mesut Özil,Olivier Giroud,Alex Oxlade-Chamberlain,Santi Cazorla,Group stage,2,1
13,Valencia,Jaume Doménech,João Cancelo,Shkodran Mustafi,Álvaro Negredo,Sofiane Feghouli,Enzo Pérez,Daniel Parejo,Pablo Piatti,José Luis Gayà,Javi Fuego,Aymen Abdennour,Zenit,Yuri Lodygin,Aleksandr Anyukov,Domenico Criscito,Nicolas Lombaerts,Hulk,Danny,Igor Smolnikov,Javi García,Artem Dzyuba,Ezequiel Garay,Axel Witsel,Group stage,2,3
14,Dynamo Kyiv,Oleksandr Rybka,Danilo da Silva,Miguel Veloso,Vitorino Antunes,Aleksandar Dragović,Júnior Moraes,Serhiy Rybalka,Denys Harmash,Oleh Husyev,Derlis González,Yevhen Khacheridi,Porto,Iker Casillas,Maxi Pereira,Bruno Martins Indi,Maicon,Rúben Neves,Yacine Brahimi,Vincent Aboubakar,Héctor Herrera,André André,Miguel Layún,Danilo Pereira,Group stage,2,2
15,Olympiacos,Roberto,Manuel da Costa,Chori Domínguez,Pajtim Kasami,Omar Elabdellaoui,Dimitris Siovas,Arthur Masuaku,Leandro Salino,Felipe Pardo,Esteban Cambiasso,Brown Ideye,Bayern Munich,Manuel Neuer,Thiago Alcántara,Robert Lewandowski,Douglas Costa,Xabi Alonso,Jérôme Boateng,Juan Bernat,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Group stage,0,3
16,Porto,Iker Casillas,Maxi Pereira,Bruno Martins Indi,Maicon,Iván Marcano,Rúben Neves,Yacine Brahimi,Vincent Aboubakar,André André,Danilo Pereira,Giannelli Imbula,Chelsea,Asmir Begović,Branislav Ivanović,Cesc Fàbregas,Kurt Zouma,Ramires,Pedro,John Obi Mikel,Diego Costa,Willian,Gary Cahill,César Azpilicueta,Group stage,2,1
