,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Philippe Coutinho,Luis Suárez,Lionel Messi,Ousmane Dembélé,Jordi Alba,Sergi Roberto,Samuel Umtiti,PSV Eindhoven,Jeroen Zoet,Nick Viergever,Daniel Schwaab,Angeliño,Gastón Pereiro,Jorrit Hendrix,Luuk de Jong,Hirving Lozano,Steven Bergwijn,Pablo Rosario,Denzel Dumfries,Group stage,4,0
1,Inter,Samir Handanović,Stefan de Vrij,Matías Vecino,Mauro Icardi,Radja Nainggolan,Matteo Politano,Kwadwo Asamoah,Miranda,Milan Škriniar,Ivan Perišić,Marcelo Brozović,Tottenham,Michel Vorm,Jan Vertonghen,Davinson Sánchez,Son Heung-min,Harry Kane,Érik Lamela,Eric Dier,Mousa Dembélé,Christian Eriksen,Serge Aurier,Ben Davies,Group stage,2,1
2,Liverpool,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Sadio Mané,Mohamed Salah,Joe Gomez,Jordan Henderson,Daniel Sturridge,Andrew Robertson,Trent Alexander-Arnold,Paris S-G,Alphonse Areola,Thiago Silva,Presnel Kimpembe,Marquinhos,Kylian Mbappé,Edinson Cavani,Neymar,Ángel Di María,Thomas Meunier,Juan Bernat,Adrien Rabiot,Group stage,3,2
3,Red Star,Milan Borjan,Branko Jovičić,Miloš Degenek,Nenad Krstičić,Marko Marin,Goran Čaušić,Milan Rodić,Filip Stojković,Ben Nabouhane,Vujadin Savić,Richmond Boakye,Napoli,David Ospina,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Piotr Zieliński,Elseid Hysaj,Lorenzo Insigne,Kalidou Koulibaly,Raúl Albiol,Arkadiusz Milik,Group stage,0,0
4,Club Brugge,Karlo Letica,Benoît Poulain,Wesley Moraes,Jelle Vossen,Matej Mitrović,Thibault Vlietinck,Hans Vanaken,Stefano Denswil,Ruud Vormer,Mats Rits,Arnaut Danjuma,Dortmund,Roman Bürki,Abdou Diallo,Jadon Sancho,Mario Götze,Marco Reus,Manuel Akanji,Łukasz Piszczek,Marius Wolf,Axel Witsel,Marcel Schmelzer,Julian Weigl,Group stage,0,1
5,Monaco,Diego Benaglio,Jean-Eudes Aholou,Jemerson,Kévin N'Doram,Youri Tielemans,Radamel Falcao,Djibril Sidibé,Nacer Chadli,Kamil Glik,Samuel Grandsir,Benjamin Henrichs,Atlético Madrid,Jan Oblak,Diego Godín,Koke,Antoine Griezmann,Saúl Ñíguez,Ángel Correa,Rodri,Diego Costa,Juanfran,Lucas Hernández,José María Giménez,Group stage,1,2
6,Schalke 04,Ralf Fährmann,Weston McKennie,Matija Nastasić,Mark Uth,Suat Serdar,Nabil Bentaleb,Daniel Caligiuri,Salif Sané,Alessandro Schöpf,Naldo,Breel Embolo,Porto,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Vincent Aboubakar,Moussa Marega,Alex Telles,Héctor Herrera,Danilo Pereira,Otávio,Felipe,Group stage,1,1
7,Galatasaray,Fernando Muslera,Serdar Aziz,Garry Rodrigues,Eren Derdiyok,Younès Belhanda,Martin Linnes,Ryan Donk,Badou Ndiaye,Emre Akbaba,Fernando,Yuto Nagatomo,Loko Moscow,Guilherme Marinato,Brian Idowu,Manuel Fernandes,Benedikt Höwedes,Grzegorz Krychowiak,Jefferson Farfán,Vedran Ćorluka,Vladislav Ignatyev,Igor Denisov,Solomon Kvirkvelia,Aleksei Miranchuk,Group stage,3,0
8,Ajax,André Onana,David Neres,Klaas-Jan Huntelaar,Dušan Tadić,Noussair Mazraoui,Carel Eiting,Daley Blind,Lasse Schöne,Frenkie de Jong,Hakim Ziyech,Nicolás Tagliafico,AEK Athens,Vasilios Barkas,Michalis Bakakis,Marios Oikonomou,Vassilis Lambropoulos,André Simões,Uroš Ćosić,Viktor Klonaridis,Petros Mantalos,Ezequiel Ponce,Niklas Hult,Konstantinos Galanopoulos,Group stage,3,0
9,Shakhtar,Andriy Pyatov,Bohdan Butko,Davit Khocholava,Taras Stepanenko,Taison,Júnior Moraes,Marlos,Alan Patrick,Ismaily,Yaroslav Rakitskiy,Serhiy Bolbat,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Håvard Nordtveit,Florian Grillitsch,Leonardo Bittencourt,Nico Schulz,Kevin Vogt,Andrej Kramarić,Ádám Szalai,Joelinton,Stefan Posch,Group stage,2,2
