,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
10,Manchester City,Ederson,Kyle Walker,John Stones,Raheem Sterling,İlkay Gündoğan,Aymeric Laporte,Fabian Delph,Bernardo Silva,David Silva,Fernandinho,Gabriel Jesus,Lyon,Anthony Lopes,Rafael,Jason Denayer,Marcelo,Houssem Aouar,Memphis,Nabil Fekir,Ferland Mendy,Pape Cheikh Diop,Maxwel Cornet,Tanguy Ndombele,Group stage,1,2
11,Benfica,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Franco Cervi,Haris Seferović,Eduardo Salvio,Pizzi,Jardel,André Almeida,Gedson Fernandes,Bayern Munich,Manuel Neuer,Mats Hummels,Franck Ribéry,Javi Martínez,Robert Lewandowski,Arjen Robben,James Rodríguez,Jérôme Boateng,David Alaba,Joshua Kimmich,Renato Sanches,Group stage,0,2
12,Valencia,Neto,Rúben Vezo,Jeison Murillo,Gabriel Paulista,Gonçalo Guedes,Carlos Soler,Daniel Parejo,José Luis Gayà,Daniel Wass,Rodrigo,Michy Batshuayi,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Alex Sandro,Blaise Matuidi,Mario Mandžukić,Leonardo Bonucci,João Cancelo,Federico Bernardeschi,Group stage,0,2
13,Real Madrid,Keylor Navas,Dani Carvajal,Sergio Ramos,Raphaël Varane,Toni Kroos,Karim Benzema,Luka Modrić,Gareth Bale,Marcelo,Casemiro,Isco,Roma,Robin Olsen,Edin Džeko,Aleksandar Kolarov,Daniele De Rossi,Cengiz Ünder,Federico Fazio,Nicolò Zaniolo,Alessandro Florenzi,Steven Nzonzi,Kostas Manolas,Stephan El Shaarawy,Group stage,3,0
14,Young Boys,David von Ballmoos,Mohamed Aly Camara,Steve von Bergen,Miralem Sulejmani,Djibril Sow,Christian Fassnacht,Roger Assalé,Loris Benito,Sékou Sanogo,Kevin Mbabu,Guillaume Hoarau,Manchester Utd,David de Gea,Victor Lindelöf,Paul Pogba,Romelu Lukaku,Marcus Rashford,Anthony Martial,Chris Smalling,Fred,Diogo Dalot,Luke Shaw,Nemanja Matić,Group stage,0,3
15,Viktoria Plzeň,Matúš Kozáčik,Roman Hubník,Tomáš Hořava,David Limberský,Jan Kopic,Radim Řezník,Michal Krmenčík,Patrik Hrošovský,Jan Kovařík,Daniel Kolář,Luděk Pernica,CSKA Moscow,Igor Akinfeev,Mário Fernandes,Nikita Chernov,Nikola Vlašić,Fyodor Chalov,Alan Dzagoev,Kirill Nababkin,Dmitry Yefremov,Jaka Bijol,Rodrigo Becão,Ivan Oblyakov,Group stage,2,2
16,Hoffenheim,Oliver Baumann,Joshua Brenet,Pavel Kadeřábek,Kerem Demirbay,Florian Grillitsch,Ishak Belfodil,Justin Hoogma,Kevin Akpoguma,Ádám Szalai,Joelinton,Stefan Posch,Manchester City,Ederson,Kyle Walker,Vincent Kompany,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Leroy Sané,David Silva,Fernandinho,Nicolás Otamendi,Group stage,1,2
17,Juventus,Wojciech Szczęsny,Medhi Benatia,Miralem Pjanić,Paulo Dybala,Alex Sandro,Blaise Matuidi,Andrea Barzagli,Juan Cuadrado,Mario Mandžukić,Leonardo Bonucci,Federico Bernardeschi,Young Boys,David von Ballmoos,Mohamed Aly Camara,Steve von Bergen,Leonardo Bertone,Miralem Sulejmani,Djibril Sow,Christian Fassnacht,Thorsten Schick,Loris Benito,Sékou Sanogo,Guillaume Hoarau,Group stage,3,0
18,Manchester Utd,David de Gea,Eric Bailly,Paul Pogba,Alexis Sánchez,Romelu Lukaku,Marcus Rashford,Chris Smalling,Luke Shaw,Antonio Valencia,Marouane Fellaini,Nemanja Matić,Valencia,Neto,Gabriel Paulista,Geoffrey Kondogbia,Gonçalo Guedes,Daniel Parejo,José Luis Gayà,Francis Coquelin,Rodrigo,Cristiano Piccini,Michy Batshuayi,Ezequiel Garay,Group stage,0,0
19,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Arjen Robben,Jérôme Boateng,Thomas Müller,David Alaba,Joshua Kimmich,Ajax,André Onana,Matthijs de Ligt,Maximilian Wöber,Donny van de Beek,David Neres,Dušan Tadić,Noussair Mazraoui,Daley Blind,Lasse Schöne,Hakim Ziyech,Nicolás Tagliafico,Group stage,1,1
20,Lyon,Anthony Lopes,Jason Denayer,Marcelo,Houssem Aouar,Moussa Dembélé,Bertrand Traoré,Leo Dubois,Nabil Fekir,Ferland Mendy,Tanguy Ndombele,Lucas Tousart,Shakhtar,Andriy Pyatov,Serhiy Kryvtsov,Taras Stepanenko,Taison,Júnior Moraes,Marlos,Alan Patrick,Mykola Matviyenko,Maycon,Ismaily,Yaroslav Rakitskiy,Group stage,2,2
21,Roma,Robin Olsen,Bryan Cristante,Juan Jesus,Lorenzo Pellegrini,Edin Džeko,Aleksandar Kolarov,Cengiz Ünder,Federico Fazio,Alessandro Florenzi,Justin Kluivert,Steven Nzonzi,Viktoria Plzeň,Matúš Kozáčik,Lukáš Hejda,Roman Hubník,Roman Procházka,Tomáš Hořava,David Limberský,Martin Zeman,Radim Řezník,Michal Krmenčík,Patrik Hrošovský,Jan Kovařík,Group stage,5,0
22,CSKA Moscow,Igor Akinfeev,Mário Fernandes,Nikita Chernov,Nikola Vlašić,Fyodor Chalov,Alan Dzagoev,Kirill Nababkin,Jaka Bijol,Rodrigo Becão,Ilzat Akhmetov,Ivan Oblyakov,Real Madrid,Keylor Navas,Dani Carvajal,Raphaël Varane,Nacho,Toni Kroos,Karim Benzema,Casemiro,Lucas Vázquez,Marco Asensio,Sergio Reguilón,Dani Ceballos,Group stage,1,0
23,AEK Athens,Vasilios Barkas,Michalis Bakakis,Marios Oikonomou,André Simões,Anastasios Bakasetas,Viktor Klonaridis,Dmytro Chygrynskiy,Petros Mantalos,Ezequiel Ponce,Niklas Hult,Konstantinos Galanopoulos,Benfica,Odisseas Vlachodimos,Germán Conti,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Haris Seferović,Eduardo Salvio,Pizzi,Rafa Silva,André Almeida,Gedson Fernandes,Group stage,2,3
24,Paris S-G,Alphonse Areola,Thiago Silva,Presnel Kimpembe,Marco Verratti,Kylian Mbappé,Edinson Cavani,Neymar,Ángel Di María,Thomas Meunier,Juan Bernat,Adrien Rabiot,Red Star,Milan Borjan,Branko Jovičić,Miloš Degenek,Nenad Krstičić,Marko Marin,Goran Čaušić,Veljko Simić,Milan Rodić,Filip Stojković,Ben Nabouhane,Vujadin Savić,Group stage,6,1
25,Loko Moscow,Guilherme Marinato,Brian Idowu,Manuel Fernandes,Benedikt Höwedes,Dmitri Barinov,Grzegorz Krychowiak,Anton Miranchuk,Vladislav Ignatyev,Éder,Solomon Kvirkvelia,Aleksei Miranchuk,Schalke 04,Ralf Fährmann,Weston McKennie,Hamza Mendyl,Omar Mascarell,Mark Uth,Yevhen Konoplyanka,Sebastian Rudy,Daniel Caligiuri,Salif Sané,Naldo,Breel Embolo,Group stage,0,1
26,Porto,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Moussa Marega,Alex Telles,Héctor Herrera,Jesús Corona,Danilo Pereira,Otávio,Felipe,Galatasaray,Fernando Muslera,Maicon,Serdar Aziz,Garry Rodrigues,Younès Belhanda,Sinan Gümüş,Martin Linnes,Ryan Donk,Henry Onyekuru,Fernando,Yuto Nagatomo,Group stage,1,0
27,Tottenham,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Davinson Sánchez,Son Heung-min,Harry Winks,Harry Kane,Érik Lamela,Victor Wanyama,Lucas Moura,Ben Davies,Barcelona,Marc-André ter Stegen,Nélson Semedo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Philippe Coutinho,Arthur Melo,Luis Suárez,Lionel Messi,Clément Lenglet,Jordi Alba,Group stage,2,4
28,Dortmund,Roman Bürki,Dan-Axel Zagadou,Abdou Diallo,Thomas Delaney,Jadon Sancho,Paco Alcácer,Marco Reus,Manuel Akanji,Łukasz Piszczek,Marius Wolf,Axel Witsel,Monaco,Diego Benaglio,Jean-Eudes Aholou,Jemerson,Youri Tielemans,Radamel Falcao,Aleksandr Golovin,Djibril Sidibé,Andrea Raggi,Kamil Glik,Moussa Sylla,Benjamin Henrichs,Group stage,3,0
29,PSV Eindhoven,Jeroen Zoet,Nick Viergever,Daniel Schwaab,Angeliño,Gastón Pereiro,Jorrit Hendrix,Luuk de Jong,Hirving Lozano,Steven Bergwijn,Pablo Rosario,Denzel Dumfries,Inter,Samir Handanović,Stefan de Vrij,Matías Vecino,Mauro Icardi,Radja Nainggolan,Matteo Politano,Kwadwo Asamoah,Danilo D'Ambrosio,Milan Škriniar,Ivan Perišić,Marcelo Brozović,Group stage,1,2
30,Napoli,David Ospina,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Marek Hamšík,Nikola Maksimović,Lorenzo Insigne,Kalidou Koulibaly,Raúl Albiol,Arkadiusz Milik,Liverpool,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Joe Gomez,Andrew Robertson,Trent Alexander-Arnold,Group stage,1,0
31,Atlético Madrid,Jan Oblak,Diego Godín,Santiago Arias,Thomas Partey,Koke,Antoine Griezmann,Saúl Ñíguez,Thomas Lemar,Diego Costa,Lucas Hernández,José María Giménez,Club Brugge,Karlo Letica,Benoît Poulain,Wesley Moraes,Siebe Schrijvers,Thibault Vlietinck,Hans Vanaken,Stefano Denswil,Ruud Vormer,Mats Rits,Brandon Mechele,Arnaut Danjuma,Group stage,3,1
32,Young Boys,Marco Wölfli,Steve von Bergen,Miralem Sulejmani,Djibril Sow,Christian Fassnacht,Roger Assalé,Loris Benito,Sandro Lauper,Sékou Sanogo,Kevin Mbabu,Guillaume Hoarau,Valencia,Neto,Gabriel Paulista,Geoffrey Kondogbia,Carlos Soler,Daniel Parejo,Mouctar Diakhaby,José Luis Gayà,Rodrigo,Ferrán Torres,Cristiano Piccini,Michy Batshuayi,Group stage,1,1
33,AEK Athens,Vasilios Barkas,Michalis Bakakis,Vassilis Lambropoulos,André Simões,Anastasios Bakasetas,Viktor Klonaridis,Dmytro Chygrynskiy,Petros Mantalos,Ezequiel Ponce,Niklas Hult,Konstantinos Galanopoulos,Bayern Munich,Manuel Neuer,Niklas Süle,Mats Hummels,Thiago Alcántara,Javi Martínez,Robert Lewandowski,Arjen Robben,James Rodríguez,Rafinha,Serge Gnabry,Joshua Kimmich,Group stage,0,2
34,Manchester Utd,David de Gea,Victor Lindelöf,Paul Pogba,Juan Mata,Romelu Lukaku,Marcus Rashford,Anthony Martial,Chris Smalling,Ashley Young,Luke Shaw,Nemanja Matić,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Miralem Pjanić,Cristiano Ronaldo,Paulo Dybala,Alex Sandro,Blaise Matuidi,Juan Cuadrado,Leonardo Bonucci,João Cancelo,Rodrigo Bentancur,Group stage,0,1
35,Real Madrid,Keylor Navas,Sergio Ramos,Nacho,Toni Kroos,Karim Benzema,Luka Modrić,Gareth Bale,Marcelo,Casemiro,Lucas Vázquez,Isco,Viktoria Plzeň,Aleš Hruška,Lukáš Hejda,Roman Hubník,Roman Procházka,David Limberský,Milan Petržela,Radim Řezník,Michal Krmenčík,Patrik Hrošovský,Milan Havel,Aleš Čermák,Group stage,2,1
36,Roma,Robin Olsen,Lorenzo Pellegrini,Edin Džeko,Daniele De Rossi,Cengiz Ünder,Davide Santon,Federico Fazio,Alessandro Florenzi,Steven Nzonzi,Kostas Manolas,Stephan El Shaarawy,CSKA Moscow,Ilya Pomazun,Mário Fernandes,Nikita Chernov,Nikola Vlašić,Fyodor Chalov,Kirill Nababkin,Arnór Sigurðsson,Hörður Magnússon,Rodrigo Becão,Ilzat Akhmetov,Ivan Oblyakov,Group stage,3,0
37,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Ermin Bičakčić,Kerem Demirbay,Florian Grillitsch,Nico Schulz,Ishak Belfodil,Kevin Vogt,Kevin Akpoguma,Andrej Kramarić,Ádám Szalai,Lyon,Anthony Lopes,Jason Denayer,Marcelo,Martin Terrier,Houssem Aouar,Bertrand Traoré,Memphis,Ferland Mendy,Kenny Tete,Tanguy Ndombele,Lucas Tousart,Group stage,3,3
38,Ajax,André Onana,Matthijs de Ligt,Donny van de Beek,Dušan Tadić,Noussair Mazraoui,Daley Blind,Lasse Schöne,Frenkie de Jong,Hakim Ziyech,Kasper Dolberg,Nicolás Tagliafico,Benfica,Odisseas Vlachodimos,Germán Conti,Álex Grimaldo,Ljubomir Fejsa,Haris Seferović,Eduardo Salvio,Pizzi,Rafa Silva,Jardel,André Almeida,Gedson Fernandes,Group stage,1,0
39,Shakhtar,Andriy Pyatov,Serhiy Kryvtsov,Taras Stepanenko,Júnior Moraes,Mykola Matviyenko,Wellington Nem,Maycon,Ismaily,Yaroslav Rakitskiy,Viktor Kovalenko,Fernando,Manchester City,Ederson,John Stones,Raheem Sterling,Aymeric Laporte,Kevin De Bruyne,David Silva,Benjamin Mendy,Fernandinho,Riyad Mahrez,Nicolás Otamendi,Gabriel Jesus,Group stage,0,3
40,Club Brugge,Karlo Letica,Benoît Poulain,Wesley Moraes,Kaveh Rezaei,Marvelous Nakamba,Thibault Vlietinck,Hans Vanaken,Stefano Denswil,Ruud Vormer,Emmanuel Dennis,Brandon Mechele,Monaco,Loic Badiashile,Jemerson,Youri Tielemans,Stevan Jovetić,Youssef Aït Bennasser,Aleksandr Golovin,Djibril Sidibé,Nacer Chadli,Andrea Raggi,Kamil Glik,Moussa Sylla,Group stage,1,1
41,PSV Eindhoven,Jeroen Zoet,Nick Viergever,Daniel Schwaab,Angeliño,Gastón Pereiro,Jorrit Hendrix,Luuk de Jong,Hirving Lozano,Donyell Malen,Pablo Rosario,Denzel Dumfries,Tottenham,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Davinson Sánchez,Son Heung-min,Harry Kane,Eric Dier,Mousa Dembélé,Christian Eriksen,Lucas Moura,Ben Davies,Group stage,2,2
42,Liverpool,Alisson,Fabinho,Virgil van Dijk,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Mohamed Salah,Joe Gomez,Xherdan Shaqiri,Andrew Robertson,Trent Alexander-Arnold,Red Star,Milan Borjan,Branko Jovičić,Miloš Degenek,Nenad Krstičić,Lorenzo Ebecilio,Slavoljub Srnić,Srđan Babić,Filip Stojković,Ben Nabouhane,Marko Gobeljić,Richmond Boakye,Group stage,4,0
43,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Philippe Coutinho,Arthur Melo,Luis Suárez,Rafinha,Clément Lenglet,Jordi Alba,Sergi Roberto,Inter,Samir Handanović,Matías Vecino,Mauro Icardi,Kwadwo Asamoah,Borja Valero,Miranda,Danilo D'Ambrosio,Milan Škriniar,Ivan Perišić,Marcelo Brozović,Antonio Candreva,Group stage,2,0
44,Paris S-G,Alphonse Areola,Presnel Kimpembe,Marquinhos,Marco Verratti,Kylian Mbappé,Edinson Cavani,Neymar,Ángel Di María,Thomas Meunier,Juan Bernat,Adrien Rabiot,Napoli,David Ospina,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Dries Mertens,Marek Hamšík,Nikola Maksimović,Lorenzo Insigne,Kalidou Koulibaly,Raúl Albiol,Group stage,2,2
45,Dortmund,Roman Bürki,Dan-Axel Zagadou,Abdou Diallo,Achraf Hakimi,Thomas Delaney,Mario Götze,Marco Reus,Christian Pulisic,Łukasz Piszczek,Axel Witsel,Jacob Bruun Larsen,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Thomas Partey,Koke,Antoine Griezmann,Saúl Ñíguez,Thomas Lemar,Diego Costa,Juanfran,Lucas Hernández,Group stage,4,0
46,Loko Moscow,Guilherme Marinato,Manuel Fernandes,Benedikt Höwedes,Dmitri Barinov,Grzegorz Krychowiak,Anton Miranchuk,Vladislav Ignatyev,Éder,Igor Denisov,Solomon Kvirkvelia,Aleksei Miranchuk,Porto,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Óliver Torres,Moussa Marega,Alex Telles,Héctor Herrera,Jesús Corona,Danilo Pereira,Felipe,Group stage,1,3
47,Galatasaray,Fernando Muslera,Maicon,Garry Rodrigues,Eren Derdiyok,Younès Belhanda,Sinan Gümüş,Martin Linnes,Ryan Donk,Badou Ndiaye,Ozan Kabak,Yuto Nagatomo,Schalke 04,Alexander Nübel,Hamza Mendyl,Matija Nastasić,Mark Uth,Suat Serdar,Yevhen Konoplyanka,Sebastian Rudy,Benjamin Stambouli,Daniel Caligiuri,Salif Sané,Breel Embolo,Group stage,0,0
48,Red Star,Milan Borjan,Miloš Degenek,Nenad Krstičić,Milan Pavkov,Slavoljub Srnić,Marko Marin,Milan Rodić,Dušan Jovančić,Filip Stojković,Ben Nabouhane,Vujadin Savić,Liverpool,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Sadio Mané,Mohamed Salah,Daniel Sturridge,Adam Lallana,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Group stage,2,0
49,Monaco,Diego Benaglio,Antonio Barreca,Jemerson,Youri Tielemans,Radamel Falcao,Youssef Aït Bennasser,Djibril Sidibé,Nacer Chadli,Kamil Glik,Moussa Sylla,Sofiane Diop,Club Brugge,Ethan Horvath,Benoît Poulain,Wesley Moraes,Krépin Diatta,Marvelous Nakamba,Hans Vanaken,Stefano Denswil,Ruud Vormer,Mats Rits,Brandon Mechele,Clinton Mata,Group stage,0,4
50,Porto,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Óliver Torres,Moussa Marega,Alex Telles,Héctor Herrera,Jesús Corona,Danilo Pereira,Felipe,Loko Moscow,Guilherme Marinato,Brian Idowu,Manuel Fernandes,Benedikt Höwedes,Grzegorz Krychowiak,Anton Miranchuk,Vedran Ćorluka,Vladislav Ignatyev,Éder,Igor Denisov,Aleksei Miranchuk,Group stage,4,1
51,Tottenham,Paulo Gazzaniga,Toby Alderweireld,Davinson Sánchez,Son Heung-min,Harry Winks,Harry Kane,Dele Alli,Christian Eriksen,Serge Aurier,Lucas Moura,Ben Davies,PSV Eindhoven,Jeroen Zoet,Nick Viergever,Daniel Schwaab,Angeliño,Gastón Pereiro,Jorrit Hendrix,Luuk de Jong,Hirving Lozano,Steven Bergwijn,Pablo Rosario,Denzel Dumfries,Group stage,2,1
52,Napoli,David Ospina,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Dries Mertens,Marek Hamšík,Nikola Maksimović,Lorenzo Insigne,Kalidou Koulibaly,Raúl Albiol,Paris S-G,Gianluigi Buffon,Thiago Silva,Thilo Kehrer,Marquinhos,Marco Verratti,Kylian Mbappé,Neymar,Ángel Di María,Thomas Meunier,Juan Bernat,Julian Draxler,Group stage,1,1
53,Schalke 04,Alexander Nübel,Matija Nastasić,Mark Uth,Sebastian Rudy,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Amine Harit,Salif Sané,Alessandro Schöpf,Breel Embolo,Galatasaray,Fernando Muslera,Mariano,Serdar Aziz,Garry Rodrigues,Younès Belhanda,Sinan Gümüş,Martin Linnes,Ryan Donk,Badou Ndiaye,Henry Onyekuru,Ozan Kabak,Group stage,2,0
54,Atlético Madrid,Jan Oblak,Filipe Luís,Thomas Partey,Antoine Griezmann,Saúl Ñíguez,Nikola Kalinić,Ángel Correa,Rodri,Juanfran,Lucas Hernández,José María Giménez,Dortmund,Roman Bürki,Achraf Hakimi,Thomas Delaney,Jadon Sancho,Paco Alcácer,Marco Reus,Manuel Akanji,Christian Pulisic,Łukasz Piszczek,Axel Witsel,Ömer Toprak,Group stage,2,0
55,Inter,Samir Handanović,Šime Vrsaljko,Stefan de Vrij,Matías Vecino,Mauro Icardi,Radja Nainggolan,Matteo Politano,Kwadwo Asamoah,Milan Škriniar,Ivan Perišić,Marcelo Brozović,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Philippe Coutinho,Arthur Melo,Luis Suárez,Ousmane Dembélé,Clément Lenglet,Jordi Alba,Sergi Roberto,Group stage,1,1
56,Valencia,Neto,Gabriel Paulista,Geoffrey Kondogbia,Gonçalo Guedes,Carlos Soler,José Luis Gayà,Francis Coquelin,Daniel Wass,Rodrigo,Santi Mina,Ezequiel Garay,Young Boys,David von Ballmoos,Steve von Bergen,Djibril Sow,Moumi Ngamaleu,Christian Fassnacht,Roger Assalé,Loris Benito,Sandro Lauper,Sékou Sanogo,Kevin Mbabu,Guillaume Hoarau,Group stage,3,1
57,Benfica,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Gabriel,Jonas,Franco Cervi,Eduardo Salvio,Jardel,André Almeida,Gedson Fernandes,Ajax,André Onana,Matthijs de Ligt,Donny van de Beek,David Neres,Dušan Tadić,Noussair Mazraoui,Daley Blind,Lasse Schöne,Frenkie de Jong,Hakim Ziyech,Nicolás Tagliafico,Group stage,1,1
58,Manchester City,Ederson,Kyle Walker,John Stones,Raheem Sterling,Aymeric Laporte,Bernardo Silva,David Silva,Fernandinho,Riyad Mahrez,Gabriel Jesus,Oleksandr Zinchenko,Shakhtar,Andriy Pyatov,Serhiy Kryvtsov,Taras Stepanenko,Taison,Júnior Moraes,Mykola Matviyenko,Maycon,Ismaily,Yaroslav Rakitskiy,Serhiy Bolbat,Viktor Kovalenko,Group stage,6,0
59,CSKA Moscow,Igor Akinfeev,Mário Fernandes,Nikola Vlašić,Fyodor Chalov,Kirill Nababkin,Arnór Sigurðsson,Hörður Magnússon,Jaka Bijol,Rodrigo Becão,Ilzat Akhmetov,Ivan Oblyakov,Roma,Robin Olsen,Bryan Cristante,Lorenzo Pellegrini,Edin Džeko,Aleksandar Kolarov,Davide Santon,Federico Fazio,Alessandro Florenzi,Justin Kluivert,Steven Nzonzi,Kostas Manolas,Group stage,1,2
60,Viktoria Plzeň,Aleš Hruška,Lukáš Hejda,Roman Hubník,Roman Procházka,David Limberský,Jan Kopic,Radim Řezník,Patrik Hrošovský,Tomáš Chorý,Milan Havel,Aleš Čermák,Real Madrid,Thibaut Courtois,Sergio Ramos,Nacho,Toni Kroos,Karim Benzema,Gareth Bale,Casemiro,Lucas Vázquez,Álvaro Odriozola,Sergio Reguilón,Dani Ceballos,Group stage,0,5
