,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Zenit,Mikhail Kerzhakov,Danil Krugovoy,Wílmar Barrios,Dejan Lovren,Sardar Azmoun,Sebastián Driussi,Daler Kuzyaev,Vyacheslav Karavayev,Artem Dzyuba,Magomed Ozdoyev,Yaroslav Rakitskiy,Club Brugge,Ethan Horvath,Eduard Sobol,Krépin Diatta,Federico Ricca,Hans Vanaken,Ruud Vormer,Mats Rits,Emmanuel Dennis,Brandon Mechele,Clinton Mata,Charles De Ketelaere,Group stage,1,2
1,Dynamo Kyiv,Heorhiy Bushchan,Serhiy Sydorchuk,Mykola Shaparenko,Carlos de Pena,Viktor Tsyhankov,Vitaliy Mykolenko,Oleksandr Karavayev,Illia Zabarnyi,Vitaliy Buyalskyi,Vladyslav Supriaha,Tomasz Kędziora,Juventus,Wojciech Szczęsny,Giorgio Chiellini,Aaron Ramsey,Álvaro Morata,Danilo,Juan Cuadrado,Leonardo Bonucci,Federico Chiesa,Adrien Rabiot,Rodrigo Bentancur,Dejan Kulusevski,Group stage,0,2
2,Chelsea,Edouard Mendy,Jorginho,Thiago Silva,N'Golo Kanté,Christian Pulisic,Timo Werner,Kurt Zouma,Mason Mount,Ben Chilwell,Reece James,Kai Havertz,Sevilla,Yassine Bounou,Sergi Gómez,Lucas Ocampos,Nemanja Gudelj,Suso,Luuk de Jong,Ivan Rakitić,Jesús Navas,Marcos Acuña,Diego Carlos,Fernando,Group stage,0,0
3,Barcelona,Neto,Sergiño Dest,Gerard Piqué,Miralem Pjanić,Lionel Messi,Philippe Coutinho,Clément Lenglet,Francisco Trincão,Sergi Roberto,Frenkie de Jong,Ansu Fati,Ferencváros,Dénes Dibusz,Tokmac Nguen,Oleksandr Zubkov,Ihor Kharatin,Adnan Kovačević,Eldar Ćivić,Dávid Sigér,Endre Botka,Miha Blažič,Isael,Aïssa Laïdouni,Group stage,5,1
4,RB Leipzig,Péter Gulácsi,Angeliño,Willi Orban,Dayot Upamecano,Yussuf Poulsen,Emil Forsberg,Christopher Nkunku,Nordi Mukiele,Marcel Halstenberg,Dani Olmo,Kevin Kampl,Başakşehir,Mert Günok,Rafael,Mehmet Topal,Alexandru Epureanu,Edin Višća,İrfan Kahveci,Deniz Turuc,Enzo Crivelli,Martin Škrtel,Boli Bolingoli-Mbombo,Júnior Caiçara,Group stage,2,0
5,Rennes,Alfred Gomis,Damien Da Silva,Dalbert Henrique,Nayef Aguerd,Martin Terrier,Serhou Guirassy,Eduardo Camavinga,Benjamin Bourigeaud,Steven Nzonzi,Romain Del Castillo,Hamari Traoré,Krasnodar,Matvei Safonov,Yegor Sorokin,Cristian Ramírez,Kristoffer Olsson,Yevgeni Chernov,Igor Smolnikov,Kaio Pantaleão,Marcus Berg,Daniil Utkin,Tonny Vilhena,Sergei Petrov,Group stage,1,1
6,Paris S-G,Keylor Navas,Presnel Kimpembe,Kylian Mbappé,Neymar,Ángel Di María,Danilo Pereira,Layvin Kurzawa,Ander Herrera,Abdou Diallo,Alessandro Florenzi,Idrissa Gana Gueye,Manchester Utd,David de Gea,Victor Lindelöf,Anthony Martial,Marcus Rashford,Fred,Bruno Fernandes,Luke Shaw,Alex Telles,Aaron Wan-Bissaka,Axel Tuanzebe,Scott McTominay,Group stage,1,2
7,Lazio,Thomas Strakosha,Luiz Felipe,Patric,Lucas Leiva,Luis Alberto,Joaquín Correa,Ciro Immobile,Sergej Milinković-Savić,Francesco Acerbi,Adam Marušić,Mohamed Fares,Dortmund,Marwin Hitz,Thomas Delaney,Jadon Sancho,Erling Haaland,Marco Reus,Raphaël Guerreiro,Mats Hummels,Jude Bellingham,Thomas Meunier,Łukasz Piszczek,Axel Witsel,Group stage,3,1
8,Real Madrid,Thibaut Courtois,Éder Militão,Raphaël Varane,Luka Modrić,Marco Asensio,Marcelo,Casemiro,Federico Valverde,Luka Jović,Ferland Mendy,Rodrygo,Shakhtar,Anatolii Trubin,Dodô,Davit Khocholava,Marcos Antônio,Dentinho,Marlos,Tetê,Viktor Korniienko,Manor Solomon,Maycon,Valerii Bondar,Group stage,2,3
9,RB Salzburg,Cican Stankovic,Albert Vallci,Sekou Koita,Dominik Szoboszlai,André Ramalho,Zlatko Junuzović,Andreas Ulmer,Mohamed Camara,Patson Daka,Maximilian Wöber,Enock Mwepu,Loko Moscow,Guilherme Marinato,Dmitri Zhivoglyadov,Grzegorz Krychowiak,Fyodor Smolov,Anton Miranchuk,Vedran Ćorluka,Rifat Zhemaletdinov,Éder,Murilo Cerqueira,Maciej Rybus,Daniil Kulikov,Group stage,2,2
