,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Dinamo Zagreb,Dominik Livaković,Sadegh Moharrami,Arijan Ademi,Luka Ivanušec,Bruno Petković,Stefan Ristovski,Robert Ljubicic,Josip Mišić,Josip Šutalo,Dino Perić,Mislav Oršić,Chelsea,Kepa Arrizabalaga,Mateo Kovačić,Pierre-Emerick Aubameyang,Raheem Sterling,Mason Mount,Ben Chilwell,Reece James,Kalidou Koulibaly,César Azpilicueta,Kai Havertz,Wesley Fofana,Group stage,1,0
1,Dortmund,Alexander Meyer,Nico Schlotterbeck,Salih Özcan,Thorgan Hazard,Marco Reus,Raphaël Guerreiro,Julian Brandt,Anthony Modeste,Jude Bellingham,Thomas Meunier,Niklas Süle,FC Copenhagen,Mathew Ryan,Kevin Diks,Denis Vavro,Davit Khocholava,Viktor Claesson,Zeca,Lukas Lerager,Andreas Cornelius,Mohammed Daramy,Rasmus Falk,Victor Bernth Kristiansen,Group stage,3,0
2,Celtic,Joe Hart,Greg Taylor,Moritz Jenz,Giorgos Giakoumakis,Liel Abada,Jota,Cameron Carter-Vickers,Matt O'Riley,Reo Hatate,Callum McGregor,Josip Juranović,Real Madrid,Thibaut Courtois,Dani Carvajal,Éder Militão,David Alaba,Toni Kroos,Karim Benzema,Luka Modrić,Federico Valverde,Aurélien Tchouaméni,Vinicius Júnior,Ferland Mendy,Group stage,0,3
3,Benfica,Odisseas Vlachodimos,Álex Grimaldo,Alexander Bah,David Neres,Enzo Fernández,João Mário,Rafa Silva,Nicolás Otamendi,Florentino Luís,António Silva,Gonçalo Ramos,Maccabi Haifa,Josh Cohen,Daniel Sundgren,Sean Goldberg,Ali Mohamed,Neta Lavi,Dolev Haziz,Frantzdy Pierrot,Tjaronn Chery,Dylan Batubinsika,Dean David,Abdoulaye Seck,Group stage,2,0
4,RB Salzburg,Philipp Köhn,Nicolás Capaldo,Dijon Kameri,Fernando,Nicolas Seiwald,Maurits Kjærgaard,Andreas Ulmer,Oumar Solet,Strahinja Pavlović,Amar Dedić,Noah Okafor,Milan,Mike Maignan,Davide Calabria,Ismaël Bennacer,Sandro Tonali,Olivier Giroud,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Alexis Saelemaekers,Charles De Ketelaere,Group stage,1,1
5,Sevilla,Yassine Bounou,Alex Telles,Nemanja Gudelj,Ivan Rakitić,Tanguy Nianzou,Jesús Navas,Thomas Delaney,Marcos Acuña,Isco,Papu Gómez,Carmona,Manchester City,Ederson,Rúben Dias,João Cancelo,Erling Haaland,Jack Grealish,Rodri,Kevin De Bruyne,Bernardo Silva,Sergio Gómez,Manuel Akanji,Phil Foden,Group stage,0,4
6,RB Leipzig,Péter Gulácsi,Mohamed Simakan,Willi Orban,Timo Werner,Dominik Szoboszlai,Christopher Nkunku,André Silva,Marcel Halstenberg,Xaver Schlager,Konrad Laimer,Abdou Diallo,Shakhtar,Anatolii Trubin,Valerii Bondar,Taras Stepanenko,Heorhiy Sudakov,Maryan Shved,Mykhailo Mudryk,Oleksandr Zubkov,Artem Bondarenko,Mykola Matviyenko,Lucas Taylor,Yukhym Konoplia,Group stage,1,4
7,Paris S-G,Gianluigi Donnarumma,Achraf Hakimi,Presnel Kimpembe,Sergio Ramos,Marquinhos,Marco Verratti,Kylian Mbappé,Neymar,Vitinha,Nuno Mendes,Lionel Messi,Juventus,Mattia Perin,Gleison Bremer,Danilo,Dušan Vlahović,Juan Cuadrado,Arkadiusz Milik,Filip Kostić,Leonardo Bonucci,Fabio Miretti,Adrien Rabiot,Leandro Paredes,Group stage,2,1
8,Ajax,Remko Pasveer,Jurriën Timber,Calvin Bassey,Edson Álvarez,Steven Bergwijn,Kenneth Taylor,Dušan Tadić,Devyne Rensch,Daley Blind,Mohammed Kudus,Steven Berghuis,Rangers,Jon McLaughlin,James Tavernier,John Lundstram,Connor Goldson,Antonio Čolak,Ryan Kent,Glen Kamara,James Sands,Scott Wright,Borna Barišić,Malik Tillman,Group stage,4,0
9,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Kristijan Jakić,Djibril Sow,Randal Kolo Muani,Daichi Kamada,Christopher Lenz,Junior Dina Ebimbe,Mario Götze,Jesper Lindstrøm,Tuta,Sporting CP,Antonio Adán,Matheus Reis,Jerry St. Juste,Sebastián Coates,Hidemasa Morita,Marcus Edwards,Manuel Ugarte Ribeiro,Francisco Trincão,Pedro Porro,Gonçalo Inácio,Pedro Gonçalves,Group stage,0,3
