,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Sevilla,Yassine Bounou,Suso,Joan Jordán,Ivan Rakitić,Youssef En-Nesyri,Jesús Navas,Marcos Acuña,Diego Carlos,Jules Koundé,Papu Gómez,Fernando,RB Salzburg,Philipp Köhn,Brenden Aaronson,Nicolas Seiwald,Andreas Ulmer,Mohamed Camara,Luka Sučić,Oumar Solet,Karim Adeyemi,Benjamin Šeško,Maximilian Wöber,Rasmus Kristensen,Group stage,1,1
1,Young Boys,David von Ballmoos,Mohamed Aly Camara,Vincent Sierro,Moumi Ngamaleu,Meschak Elia,Christian Fassnacht,Michel Aebischer,Ulisses Garcia,Sandro Lauper,Christopher Martins,Silvan Hefti,Manchester Utd,David de Gea,Victor Lindelöf,Harry Maguire,Paul Pogba,Cristiano Ronaldo,Fred,Bruno Fernandes,Luke Shaw,Jadon Sancho,Aaron Wan-Bissaka,Donny van de Beek,Group stage,2,1
2,Chelsea,Edouard Mendy,Antonio Rüdiger,Marcos Alonso,Andreas Christensen,Jorginho,Mateo Kovačić,Romelu Lukaku,Mason Mount,Hakim Ziyech,Reece James,César Azpilicueta,Zenit,Stanislav Kritsyuk,Dmitri Chistyakov,Douglas Santos,Wílmar Barrios,Sardar Azmoun,Wendel,Malcom,Claudinho,Daler Kuzyaev,Aleksei Sutormin,Yaroslav Rakitskiy,Group stage,1,0
3,Villarreal,Gerónimo Rulli,Raúl Albiol,Pau Torres,Daniel Parejo,Étienne Capoue,Gerard Moreno,Juan Foyth,Manu Trigueros,Boulaye Dia,Yeremi Pino,Alfonso Pedraza,Atalanta,Juan Musso,Rafael Tolói,José Luis Palomino,Robin Gosens,Remo Freuler,Marten de Roon,Ruslan Malinovskyi,Berat Djimsiti,Matteo Pessina,Davide Zappacosta,Duván Zapata,Group stage,2,2
4,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ronald Araújo,Sergio Busquets,Memphis,Pedri,Luuk de Jong,Jordi Alba,Sergi Roberto,Frenkie de Jong,Eric García,Bayern Munich,Manuel Neuer,Dayot Upamecano,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Leon Goretzka,Robert Lewandowski,Leroy Sané,Alphonso Davies,Thomas Müller,Jamal Musiala,Group stage,0,3
5,Lille,Ivo Grbić,Zeki Çelik,Sven Botman,José Fonte,Xeka,Jonathan David,Jonathan Ikone,Burak Yılmaz,Angel Gomes,Benjamin André,Reinildo Mandava,Wolfsburg,Koen Casteels,Maxence Lacroix,Wout Weghorst,Renato Steffen,Jérôme Roussillon,Maximilian Philipp,Kevin Mbabu,Ridle Baku,Josuha Guilavogui,John Brooks,Maximilian Arnold,Group stage,0,0
6,Malmö,Ismael Diawara,Søren Rieks,Erdal Rakip,Antonio Čolak,Anders Christiansen,Anel Ahmedhodžić,Veljko Birmančević,Bonke Innocent,Lasse Nielsen,Franz Brorsson,Jo Inge Berget,Juventus,Wojciech Szczęsny,Matthijs de Ligt,Danilo,Álvaro Morata,Paulo Dybala,Juan Cuadrado,Alex Sandro,Leonardo Bonucci,Adrien Rabiot,Manuel Locatelli,Rodrigo Bentancur,Group stage,0,3
7,Dynamo Kyiv,Denys Boyko,Serhiy Sydorchuk,Mykola Shaparenko,Carlos de Pena,Viktor Tsyhankov,Vitaliy Mykolenko,Illia Zabarnyi,Vitaliy Buyalskyi,Oleksandr Syrota,Ilya Shkurin,Tomasz Kędziora,Benfica,Odisseas Vlachodimos,Gilberto,Álex Grimaldo,Jan Vertonghen,Everton Soares,Roman Yaremchuk,João Mário,Rafa Silva,Julian Weigl,Nicolás Otamendi,Morato,Group stage,0,0
8,Sheriff Tiraspol,Giorgos Athanasiadis,Danilo Arboleda,Adama Traoré,Frank Castañeda,Fernando Costanza,Cristiano da Silva Leite,Jasur Yaxshiboyev,Edmund Addo,Dimitris Kolovos,Sébastien Thill,Gustavo Dulanto,Shakhtar,Andriy Pyatov,Dodô,Marlon,Maycon,Marcos Antônio,Tetê,Mykola Matviyenko,Lassina Franck Traoré,Ismaily,Pedrinho,Fernando,Group stage,2,0
9,Beşiktaş,Ersin Destanoğlu,Valentin Rosier,Francisco Montero,Josef de Souza,Michy Batshuayi,Atiba Hutchinson,Miralem Pjanić,Cyle Larin,Rachid Ghezzal,Fabrice N'Sakala,Welinton,Dortmund,Gregor Kobel,Mahmoud Dahoud,Erling Haaland,Marco Reus,Raphaël Guerreiro,Mats Hummels,Manuel Akanji,Julian Brandt,Donyell Malen,Jude Bellingham,Thomas Meunier,Group stage,1,2
