,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
10,Sporting CP,Antonio Adán,Zouhair Feddal,João Palhinha,Matheus Nunes,Jovane Cabral,Nuno Santos,Luís Neto,Rúben Vinagre,Paulinho,Pedro Porro,Gonçalo Inácio,Ajax,Remko Pasveer,Jurriën Timber,Edson Álvarez,Ryan Gravenberch,Dušan Tadić,Antony,Noussair Mazraoui,Daley Blind,Lisandro Martínez,Sébastien Haller,Steven Berghuis,Group stage,1,5
11,Manchester City,Ederson,Rúben Dias,Nathan Aké,Jack Grealish,Oleksandr Zinchenko,Rodri,Kevin De Bruyne,Bernardo Silva,Ferrán Torres,Riyad Mahrez,João Cancelo,RB Leipzig,Péter Gulácsi,Angeliño,Willi Orban,Emil Forsberg,Tyler Adams,Lukas Klostermann,Christopher Nkunku,Nordi Mukiele,Dani Olmo,Konrad Laimer,André Silva,Group stage,6,3
12,Liverpool,Alisson,Fabinho,Naby Keïta,Mohamed Salah,Joe Gomez,Jordan Henderson,Diogo Jota,Andrew Robertson,Divock Origi,Joël Matip,Trent Alexander-Arnold,Milan,Mike Maignan,Davide Calabria,Ismaël Bennacer,Brahim Díaz,Ante Rebić,Rafael Leão,Theo Hernández,Fikayo Tomori,Simon Kjær,Alexis Saelemaekers,Franck Kessié,Group stage,3,2
13,Inter,Samir Handanović,Stefan de Vrij,Edin Džeko,Lautaro Martínez,Ivan Perišić,Hakan Çalhanoğlu,Nicolò Barella,Matteo Darmian,Milan Škriniar,Marcelo Brozović,Alessandro Bastoni,Real Madrid,Thibaut Courtois,Dani Carvajal,Éder Militão,David Alaba,Nacho,Karim Benzema,Luka Modrić,Casemiro,Federico Valverde,Lucas Vázquez,Vinicius Júnior,Group stage,0,1
14,Club Brugge,Simon Mignolet,Eduard Sobol,Éder Álvarez Balanta,Stanley N'Soki,Jack Hendry,Noa Lang,Kamal Sowah,Hans Vanaken,Mats Rits,Clinton Mata,Charles De Ketelaere,Paris S-G,Keylor Navas,Achraf Hakimi,Presnel Kimpembe,Marquinhos,Kylian Mbappé,Leandro Paredes,Neymar,Georginio Wijnaldum,Ander Herrera,Abdou Diallo,Lionel Messi,Group stage,1,1
15,Atlético Madrid,Jan Oblak,José María Giménez,Geoffrey Kondogbia,Koke,João Félix,Luis Suárez,Thomas Lemar,Marcos Llorente,Felipe,Yannick Carrasco,Mario Hermoso,Porto,Diogo Costa,Pepe,Luis Díaz,Mateus Uribe,Mehdi Taremi,Zaidu Sanusi,Marko Grujić,Jesús Corona,Chancel Mbemba,Otávio,Toni Martínez,Group stage,0,0
16,Ajax,Remko Pasveer,Jurriën Timber,Edson Álvarez,Ryan Gravenberch,Dušan Tadić,Antony,Noussair Mazraoui,Daley Blind,Lisandro Martínez,Sébastien Haller,Steven Berghuis,Beşiktaş,Ersin Destanoğlu,Valentin Rosier,Rıdvan Yılmaz,Josef de Souza,Salih Uçan,Michy Batshuayi,Can Bozdogan,Fabrice N'Sakala,Kenan Karaman,Serdar Saatçı,Umut Meraş,Group stage,2,0
17,Shakhtar,Andriy Pyatov,Dodô,Marlon,Taras Stepanenko,Maycon,Manor Solomon,Alan Patrick,Mykola Matviyenko,Lassina Franck Traoré,Ismaily,Pedrinho,Inter,Samir Handanović,Denzel Dumfries,Stefan de Vrij,Matías Vecino,Edin Džeko,Lautaro Martínez,Nicolò Barella,Federico Dimarco,Milan Škriniar,Marcelo Brozović,Alessandro Bastoni,Group stage,0,0
18,Porto,Diogo Costa,Fábio Cardoso,Iván Marcano,Luis Díaz,Mateus Uribe,Mehdi Taremi,Zaidu Sanusi,Jesús Corona,Otávio,Sérgio Oliveira,Toni Martínez,Liverpool,Alisson,Fabinho,Virgil van Dijk,James Milner,Sadio Mané,Mohamed Salah,Jordan Henderson,Curtis Jones,Diogo Jota,Andrew Robertson,Joël Matip,Group stage,1,5
19,Real Madrid,Thibaut Courtois,Éder Militão,David Alaba,Nacho,Eden Hazard,Karim Benzema,Casemiro,Federico Valverde,Vinicius Júnior,Eduardo Camavinga,Miguel Gutiérrez,Sheriff Tiraspol,Giorgos Athanasiadis,Danilo Arboleda,Adama Traoré,Frank Castañeda,Fernando Costanza,Cristiano da Silva Leite,Jasur Yaxshiboyev,Edmund Addo,Dimitris Kolovos,Sébastien Thill,Gustavo Dulanto,Group stage,1,2
20,RB Leipzig,Péter Gulácsi,Mohamed Simakan,Willi Orban,Yussuf Poulsen,Emil Forsberg,Lukas Klostermann,Dominik Szoboszlai,Christopher Nkunku,Nordi Mukiele,Konrad Laimer,Kevin Kampl,Club Brugge,Simon Mignolet,Eduard Sobol,Éder Álvarez Balanta,Stanley N'Soki,Jack Hendry,Noa Lang,Kamal Sowah,Hans Vanaken,Mats Rits,Clinton Mata,Charles De Ketelaere,Group stage,1,2
21,Dortmund,Gregor Kobel,Mahmoud Dahoud,Thorgan Hazard,Marco Reus,Raphaël Guerreiro,Mats Hummels,Manuel Akanji,Donyell Malen,Jude Bellingham,Thomas Meunier,Axel Witsel,Sporting CP,Antonio Adán,Matheus Reis,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Luís Neto,Pablo Sarabia,Tiago Tomás,Paulinho,Pedro Porro,Group stage,1,0
22,Paris S-G,Gianluigi Donnarumma,Achraf Hakimi,Presnel Kimpembe,Marquinhos,Marco Verratti,Kylian Mbappé,Neymar,Ander Herrera,Nuno Mendes,Idrissa Gana Gueye,Lionel Messi,Manchester City,Ederson,Kyle Walker,Rúben Dias,Raheem Sterling,Jack Grealish,Aymeric Laporte,Rodri,Kevin De Bruyne,Bernardo Silva,Riyad Mahrez,João Cancelo,Group stage,2,0
23,Milan,Mike Maignan,Davide Calabria,Ismaël Bennacer,Brahim Díaz,Ante Rebić,Alessio Romagnoli,Rafael Leão,Theo Hernández,Fikayo Tomori,Alexis Saelemaekers,Franck Kessié,Atlético Madrid,Jan Oblak,José María Giménez,Geoffrey Kondogbia,Koke,Luis Suárez,Ángel Correa,Marcos Llorente,Felipe,Yannick Carrasco,Mario Hermoso,Kieran Trippier,Group stage,1,2
24,Atalanta,Juan Musso,Rafael Tolói,Robin Gosens,Remo Freuler,Marten de Roon,Ruslan Malinovskyi,Berat Djimsiti,Merih Demiral,Matteo Pessina,Davide Zappacosta,Duván Zapata,Young Boys,David von Ballmoos,Mohamed Aly Camara,Vincent Sierro,Moumi Ngamaleu,Meschak Elia,Jordan Pefok,Michel Aebischer,Ulisses Garcia,Sandro Lauper,Christopher Martins,Silvan Hefti,Group stage,1,0
25,Zenit,Stanislav Kritsyuk,Dmitri Chistyakov,Douglas Santos,Wílmar Barrios,Wendel,Malcom,Claudinho,Daler Kuzyaev,Aleksei Sutormin,Artem Dzyuba,Yaroslav Rakitskiy,Malmö,Johan Dahlin,Eric Larsson,Erdal Rakip,Antonio Čolak,Anders Christiansen,Anel Ahmedhodžić,Veljko Birmančević,Bonke Innocent,Lasse Nielsen,Franz Brorsson,Jo Inge Berget,Group stage,4,0
26,Manchester Utd,David de Gea,Victor Lindelöf,Paul Pogba,Cristiano Ronaldo,Mason Greenwood,Bruno Fernandes,Raphaël Varane,Diogo Dalot,Jadon Sancho,Alex Telles,Scott McTominay,Villarreal,Gerónimo Rulli,Raúl Albiol,Pau Torres,Daniel Parejo,Étienne Capoue,Juan Foyth,Paco Alcácer,Manu Trigueros,Arnaut Danjuma,Alberto Moreno,Yeremi Pino,Group stage,2,1
27,Benfica,Odisseas Vlachodimos,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Darwin Núñez,Roman Yaremchuk,João Mário,Valentino Lazaro,Rafa Silva,Julian Weigl,Nicolás Otamendi,Barcelona,Marc-André ter Stegen,Sergiño Dest,Gerard Piqué,Ronald Araújo,Sergio Busquets,Memphis,Pedri,Luuk de Jong,Sergi Roberto,Frenkie de Jong,Eric García,Group stage,3,0
28,RB Salzburg,Philipp Köhn,Jérôme Onguéné,Brenden Aaronson,Nicolas Seiwald,Andreas Ulmer,Mohamed Camara,Luka Sučić,Karim Adeyemi,Maximilian Wöber,Rasmus Kristensen,Noah Okafor,Lille,Ivo Grbić,Tiago Djaló,Sven Botman,Gabriel Gudmundsson,José Fonte,Xeka,Jonathan David,Burak Yılmaz,Angel Gomes,Benjamin André,Timothy Weah,Group stage,2,1
29,Juventus,Wojciech Szczęsny,Matthijs de Ligt,Danilo,Juan Cuadrado,Alex Sandro,Leonardo Bonucci,Federico Bernardeschi,Federico Chiesa,Adrien Rabiot,Manuel Locatelli,Rodrigo Bentancur,Chelsea,Edouard Mendy,Antonio Rüdiger,Marcos Alonso,Andreas Christensen,Jorginho,Thiago Silva,Mateo Kovačić,Romelu Lukaku,Hakim Ziyech,César Azpilicueta,Kai Havertz,Group stage,1,0
30,Bayern Munich,Manuel Neuer,Dayot Upamecano,Niklas Süle,Joshua Kimmich,Serge Gnabry,Leon Goretzka,Robert Lewandowski,Leroy Sané,Alphonso Davies,Lucas Hernández,Thomas Müller,Dynamo Kyiv,Heorhiy Bushchan,Serhiy Sydorchuk,Mykola Shaparenko,Artem Shabanov,Carlos de Pena,Viktor Tsyhankov,Vitaliy Mykolenko,Oleksandr Andriyevskyi,Denys Harmash,Oleksandr Tymchyk,Illia Zabarnyi,Group stage,5,0
31,Wolfsburg,Koen Casteels,Sebastiaan Bornauw,Maxence Lacroix,Wout Weghorst,Renato Steffen,Jérôme Roussillon,Kevin Mbabu,Ridle Baku,Josuha Guilavogui,Maximilian Arnold,Dodi Lukebakio,Sevilla,Yassine Bounou,Lucas Ocampos,Suso,Joan Jordán,Rafa Mir,Jesús Navas,Marcos Acuña,Diego Carlos,Jules Koundé,Papu Gómez,Fernando,Group stage,1,1
32,Club Brugge,Simon Mignolet,Eduard Sobol,Éder Álvarez Balanta,Stanley N'Soki,Jack Hendry,Noa Lang,Kamal Sowah,Hans Vanaken,Mats Rits,Clinton Mata,Charles De Ketelaere,Manchester City,Ederson,Kyle Walker,Rúben Dias,Jack Grealish,Aymeric Laporte,Rodri,Kevin De Bruyne,Bernardo Silva,Riyad Mahrez,João Cancelo,Phil Foden,Group stage,1,5
33,Beşiktaş,Ersin Destanoğlu,Valentin Rosier,Josef de Souza,Michy Batshuayi,Miralem Pjanić,Cyle Larin,Rachid Ghezzal,Fabrice N'Sakala,Welinton,Domagoj Vida,Alex Teixeira,Sporting CP,Antonio Adán,Matheus Reis,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Pablo Sarabia,Paulinho,Pedro Porro,Gonçalo Inácio,Pedro Gonçalves,Group stage,1,4
34,Porto,Diogo Costa,Pepe,Luis Díaz,Mateus Uribe,Mehdi Taremi,Chancel Mbemba,Wendell,João Mário Lopes,Otávio,Sérgio Oliveira,Evanilson,Milan,Ciprian Tătărușanu,Davide Calabria,Ismaël Bennacer,Fodé Ballo-Touré,Sandro Tonali,Olivier Giroud,Rafael Leão,Fikayo Tomori,Simon Kjær,Rade Krunić,Alexis Saelemaekers,Group stage,1,0
35,Atlético Madrid,Jan Oblak,Geoffrey Kondogbia,Rodrigo De Paul,Koke,João Félix,Antoine Griezmann,Thomas Lemar,Felipe,Yannick Carrasco,Mario Hermoso,Kieran Trippier,Liverpool,Alisson,Virgil van Dijk,James Milner,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Jordan Henderson,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Group stage,2,3
36,Inter,Samir Handanović,Denzel Dumfries,Stefan de Vrij,Edin Džeko,Lautaro Martínez,Ivan Perišić,Arturo Vidal,Nicolò Barella,Federico Dimarco,Milan Škriniar,Marcelo Brozović,Sheriff Tiraspol,Dumitru Celeadnic,Danilo Arboleda,Adama Traoré,Frank Castañeda,Fernando Costanza,Cristiano da Silva Leite,Edmund Addo,Dimitris Kolovos,Sébastien Thill,Gustavo Dulanto,Bruno Felipe Souza da Silva,Group stage,3,1
37,Paris S-G,Keylor Navas,Achraf Hakimi,Presnel Kimpembe,Marquinhos,Marco Verratti,Kylian Mbappé,Ander Herrera,Julian Draxler,Nuno Mendes,Idrissa Gana Gueye,Lionel Messi,RB Leipzig,Péter Gulácsi,Mohamed Simakan,Angeliño,Willi Orban,Amadou Haidara,Tyler Adams,Lukas Klostermann,Christopher Nkunku,Nordi Mukiele,Konrad Laimer,André Silva,Group stage,3,2
38,Ajax,Remko Pasveer,Jurriën Timber,Edson Álvarez,Ryan Gravenberch,Dušan Tadić,Antony,Noussair Mazraoui,Daley Blind,Lisandro Martínez,Sébastien Haller,Steven Berghuis,Dortmund,Gregor Kobel,Erling Haaland,Marco Reus,Nico Schulz,Mats Hummels,Manuel Akanji,Julian Brandt,Donyell Malen,Jude Bellingham,Thomas Meunier,Axel Witsel,Group stage,4,0
39,Shakhtar,Anatolii Trubin,Dodô,Serhiy Kryvtsov,Marlon,Maycon,Tetê,Manor Solomon,Alan Patrick,Ismaily,Pedrinho,Fernando,Real Madrid,Thibaut Courtois,Éder Militão,David Alaba,Toni Kroos,Karim Benzema,Luka Modrić,Casemiro,Lucas Vázquez,Vinicius Júnior,Rodrygo,Ferland Mendy,Group stage,0,5
40,RB Salzburg,Philipp Köhn,Jérôme Onguéné,Brenden Aaronson,Nicolas Seiwald,Andreas Ulmer,Mohamed Camara,Luka Sučić,Karim Adeyemi,Maximilian Wöber,Rasmus Kristensen,Noah Okafor,Wolfsburg,Koen Casteels,Maxence Lacroix,Aster Vranckx,Lukas Nmecha,Renato Steffen,Jérôme Roussillon,Kevin Mbabu,Ridle Baku,John Brooks,Maximilian Arnold,Dodi Lukebakio,Group stage,3,1
41,Barcelona,Marc-André ter Stegen,Sergiño Dest,Gerard Piqué,Sergio Busquets,Memphis,Clément Lenglet,Luuk de Jong,Jordi Alba,Frenkie de Jong,Óscar Mingueza,Gavi,Dynamo Kyiv,Heorhiy Bushchan,Serhiy Sydorchuk,Mykola Shaparenko,Carlos de Pena,Viktor Tsyhankov,Vitaliy Mykolenko,Illia Zabarnyi,Vitaliy Buyalskyi,Oleksandr Syrota,Vladyslav Supriaha,Tomasz Kędziora,Group stage,1,0
42,Manchester Utd,David de Gea,Victor Lindelöf,Harry Maguire,Cristiano Ronaldo,Marcus Rashford,Mason Greenwood,Fred,Bruno Fernandes,Luke Shaw,Aaron Wan-Bissaka,Scott McTominay,Atalanta,Juan Musso,Joakim Mæhle,José Luis Palomino,Teun Koopmeiners,Luis Muriel,Remo Freuler,Marten de Roon,Merih Demiral,Josip Iličić,Davide Zappacosta,Mario Pašalić,Group stage,3,2
43,Benfica,Odisseas Vlachodimos,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Darwin Núñez,Roman Yaremchuk,João Mário,Rafa Silva,Julian Weigl,Nicolás Otamendi,André Almeida,Bayern Munich,Manuel Neuer,Dayot Upamecano,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Robert Lewandowski,Leroy Sané,Kingsley Coman,Marcel Sabitzer,Lucas Hernández,Thomas Müller,Group stage,0,4
44,Chelsea,Edouard Mendy,Antonio Rüdiger,Andreas Christensen,Jorginho,Thiago Silva,N'Golo Kanté,Romelu Lukaku,Timo Werner,Mason Mount,Ben Chilwell,César Azpilicueta,Malmö,Johan Dahlin,Eric Larsson,Sergio Peña,Antonio Čolak,Anders Christiansen,Martin Olsson,Veljko Birmančević,Bonke Innocent,Lasse Nielsen,Franz Brorsson,Jo Inge Berget,Group stage,4,0
45,Lille,Ivo Grbić,Zeki Çelik,Tiago Djaló,José Fonte,Jonathan Bamba,Jonathan David,Burak Yılmaz,Renato Sanches,Benjamin André,Amadou Onana,Reinildo Mandava,Sevilla,Yassine Bounou,Karim Rekik,Lucas Ocampos,Suso,Rafa Mir,Jesús Navas,Thomas Delaney,Marcos Acuña,Diego Carlos,Óliver Torres,Fernando,Group stage,0,0
46,Young Boys,David von Ballmoos,Mohamed Aly Camara,Moumi Ngamaleu,Meschak Elia,Christian Fassnacht,Jordan Pefok,Michel Aebischer,Ulisses Garcia,Jordan Lefort,Sandro Lauper,Christopher Martins,Villarreal,Gerónimo Rulli,Raúl Albiol,Pau Torres,Daniel Parejo,Étienne Capoue,Gerard Moreno,Juan Foyth,Arnaut Danjuma,Francis Coquelin,Yeremi Pino,Alfonso Pedraza,Group stage,1,4
47,Zenit,Stanislav Kritsyuk,Dmitri Chistyakov,Douglas Santos,Wílmar Barrios,Dejan Lovren,Wendel,Malcom,Claudinho,Vyacheslav Karavayev,Artem Dzyuba,Yaroslav Rakitskiy,Juventus,Wojciech Szczęsny,Mattia De Sciglio,Matthijs de Ligt,Álvaro Morata,Alex Sandro,Weston McKennie,Leonardo Bonucci,Federico Bernardeschi,Federico Chiesa,Manuel Locatelli,Rodrigo Bentancur,Group stage,0,1
48,Wolfsburg,Koen Casteels,Maxence Lacroix,Paulo Otávio,Aster Vranckx,Wout Weghorst,Lukas Nmecha,Ridle Baku,Josuha Guilavogui,John Brooks,Maximilian Arnold,Yannick Gerhardt,RB Salzburg,Philipp Köhn,Jérôme Onguéné,Brenden Aaronson,Nicolas Seiwald,Andreas Ulmer,Mohamed Camara,Luka Sučić,Karim Adeyemi,Maximilian Wöber,Rasmus Kristensen,Noah Okafor,Group stage,2,1
49,Malmö,Johan Dahlin,Søren Rieks,Erdal Rakip,Sergio Peña,Antonio Čolak,Anel Ahmedhodžić,Bonke Innocent,Lasse Nielsen,Franz Brorsson,Jo Inge Berget,Sebastian Nanasi,Chelsea,Edouard Mendy,Antonio Rüdiger,Marcos Alonso,Andreas Christensen,Jorginho,Thiago Silva,Ruben Loftus-Cheek,Callum Hudson-Odoi,Hakim Ziyech,César Azpilicueta,Kai Havertz,Group stage,0,1
50,Bayern Munich,Manuel Neuer,Dayot Upamecano,Benjamin Pavard,Joshua Kimmich,Serge Gnabry,Leon Goretzka,Robert Lewandowski,Leroy Sané,Kingsley Coman,Alphonso Davies,Tanguy Nianzou,Benfica,Odisseas Vlachodimos,Gilberto,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Everton Soares,Soualiho Meïté,Roman Yaremchuk,João Mário,Pizzi,Morato,Group stage,5,2
51,Atalanta,Juan Musso,Joakim Mæhle,José Luis Palomino,Teun Koopmeiners,Remo Freuler,Marten de Roon,Merih Demiral,Josip Iličić,Davide Zappacosta,Mario Pašalić,Duván Zapata,Manchester Utd,David de Gea,Eric Bailly,Harry Maguire,Paul Pogba,Cristiano Ronaldo,Marcus Rashford,Bruno Fernandes,Raphaël Varane,Luke Shaw,Aaron Wan-Bissaka,Scott McTominay,Group stage,2,2
52,Villarreal,Gerónimo Rulli,Mario Gaspar,Raúl Albiol,Pau Torres,Daniel Parejo,Étienne Capoue,Arnaut Danjuma,Boulaye Dia,Francis Coquelin,Yeremi Pino,Alfonso Pedraza,Young Boys,Guillaume Faivre,Vincent Sierro,Moumi Ngamaleu,Nicolas Bürgy,Meschak Elia,Christian Fassnacht,Michel Aebischer,Ulisses Garcia,Sandro Lauper,Fabian Rieder,Silvan Hefti,Group stage,2,0
53,Juventus,Wojciech Szczęsny,Matthijs de Ligt,Danilo,Álvaro Morata,Paulo Dybala,Alex Sandro,Weston McKennie,Leonardo Bonucci,Federico Bernardeschi,Federico Chiesa,Manuel Locatelli,Zenit,Stanislav Kritsyuk,Dmitri Chistyakov,Wílmar Barrios,Dejan Lovren,Sardar Azmoun,Wendel,Claudinho,Vyacheslav Karavayev,Andrei Mostovoy,Aleksei Sutormin,Yaroslav Rakitskiy,Group stage,4,2
54,Sevilla,Yassine Bounou,Lucas Ocampos,Suso,Rafa Mir,Jesús Navas,Thomas Delaney,Marcos Acuña,Diego Carlos,Óliver Torres,Jules Koundé,Fernando,Lille,Ivo Grbić,Zeki Çelik,Tiago Djaló,José Fonte,Jonathan Bamba,Jonathan David,Jonathan Ikone,Renato Sanches,Benjamin André,Timothy Weah,Reinildo Mandava,Group stage,1,2
55,Dynamo Kyiv,Heorhiy Bushchan,Serhiy Sydorchuk,Mykola Shaparenko,Carlos de Pena,Viktor Tsyhankov,Denys Harmash,Oleksandr Karavayev,Illia Zabarnyi,Vitaliy Buyalskyi,Oleksandr Syrota,Tomasz Kędziora,Barcelona,Marc-André ter Stegen,Sergio Busquets,Memphis,Ansu Fati,Clément Lenglet,Jordi Alba,Frenkie de Jong,Óscar Mingueza,Eric García,Nicolás González,Gavi,Group stage,0,1
56,Milan,Ciprian Tătărușanu,Davide Calabria,Ismaël Bennacer,Sandro Tonali,Olivier Giroud,Brahim Díaz,Alessio Romagnoli,Rafael Leão,Theo Hernández,Fikayo Tomori,Alexis Saelemaekers,Porto,Diogo Costa,Pepe,Luis Díaz,Mehdi Taremi,Zaidu Sanusi,Marko Grujić,Chancel Mbemba,João Mário Lopes,Otávio,Sérgio Oliveira,Evanilson,Group stage,1,1
57,Real Madrid,Thibaut Courtois,Dani Carvajal,Éder Militão,David Alaba,Toni Kroos,Karim Benzema,Luka Modrić,Casemiro,Lucas Vázquez,Vinicius Júnior,Ferland Mendy,Shakhtar,Anatolii Trubin,Dodô,Marlon,Taras Stepanenko,Maycon,Tetê,Mykhailo Mudryk,Alan Patrick,Mykola Matviyenko,Ismaily,Fernando,Group stage,2,1
58,Manchester City,Ederson,Kyle Walker,John Stones,İlkay Gündoğan,Jack Grealish,Aymeric Laporte,Rodri,Bernardo Silva,Riyad Mahrez,João Cancelo,Phil Foden,Club Brugge,Simon Mignolet,Eduard Sobol,Stanley N'Soki,Jack Hendry,Noa Lang,Hans Vanaken,Ruud Vormer,Mats Rits,Brandon Mechele,Clinton Mata,Charles De Ketelaere,Group stage,4,1
59,Sporting CP,Antonio Adán,Matheus Reis,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Pablo Sarabia,Paulinho,Pedro Porro,Gonçalo Inácio,Pedro Gonçalves,Beşiktaş,Ersin Destanoğlu,Rıdvan Yılmaz,Francisco Montero,Josef de Souza,Atiba Hutchinson,Mehmet Topal,Cyle Larin,Rachid Ghezzal,Necip Uysal,Welinton,Kenan Karaman,Group stage,4,0
60,Liverpool,Alisson,Fabinho,Virgil van Dijk,Sadio Mané,Mohamed Salah,Jordan Henderson,Alex Oxlade-Chamberlain,Diogo Jota,Kostas Tsimikas,Joël Matip,Trent Alexander-Arnold,Atlético Madrid,Jan Oblak,José María Giménez,Rodrigo De Paul,Koke,João Félix,Luis Suárez,Ángel Correa,Felipe,Yannick Carrasco,Mario Hermoso,Kieran Trippier,Group stage,2,0
