,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Chelsea,Thibaut Courtois,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Pedro,Davide Zappacosta,Willian,Michy Batshuayi,Gary Cahill,Andreas Christensen,César Azpilicueta,Qarabağ,Ibrahim Šehić,Gara Garayev,Maksim Medvedev,Míchel,Dino Ndlovu,Pedro Henrique,Rashad Sadygov,Richard Almeida,Jakub Rzeźniczak,Badavi Huseynov,Wilde-Donald Guerrier,Group stage,6,0
1,Celtic,Craig Gordon,Jozo Šimunović,Patrick Roberts,Scott Brown,Leigh Griffiths,Scott Sinclair,Stuart Armstrong,Olivier Ntcham,Mikael Lustig,Anthony Ralston,Kieran Tierney,Paris S-G,Alphonse Areola,Thiago Silva,Marquinhos,Marco Verratti,Thiago Motta,Edinson Cavani,Neymar,Layvin Kurzawa,Adrien Rabiot,Kylian Mbappé,Dani Alves,Group stage,0,5
2,Manchester Utd,David de Gea,Victor Lindelöf,Paul Pogba,Juan Mata,Romelu Lukaku,Anthony Martial,Chris Smalling,Daley Blind,Ashley Young,Henrikh Mkhitaryan,Nemanja Matić,Basel,Tomáš Vaclík,Michael Lang,Luca Zuffi,Ricky van Wolfswinkel,Renato Steffen,Marek Suchý,Éder Álvarez Balanta,Mohamed Elyounoussi,Blas Riveros,Taulant Xhaka,Manuel Akanji,Group stage,3,0
3,Benfica,Bruno Varela,Lisandro López,Álex Grimaldo,Luisão,Filipe Augusto,Jonas,Haris Seferović,Andrija Živković,Eduardo Salvio,Pizzi,André Almeida,CSKA Moscow,Igor Akinfeev,Mário Fernandes,Pontus Wernbloom,Viktor Vasin,Vasili Berezutski,Alan Dzagoev,Vitinho,Aleksandr Golovin,Aleksei Berezutski,Georgi Shchennikov,Aaron Samuel Olanare,Group stage,1,2
4,Roma,Alisson,Radja Nainggolan,Juan Jesus,Kevin Strootman,Diego Perotti,Edin Džeko,Aleksandar Kolarov,Daniele De Rossi,Grégoire Defrel,Bruno Peres,Kostas Manolas,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Thomas Partey,Koke,Antoine Griezmann,Saúl Ñíguez,Gabi,Stefan Savić,Luciano Vietto,Juanfran,Group stage,0,0
5,Barcelona,Marc-André ter Stegen,Nélson Semedo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Andrés Iniesta,Luis Suárez,Lionel Messi,Ousmane Dembélé,Jordi Alba,Samuel Umtiti,Juventus,Gianluigi Buffon,Mattia De Sciglio,Medhi Benatia,Miralem Pjanić,Gonzalo Higuaín,Paulo Dybala,Douglas Costa,Alex Sandro,Blaise Matuidi,Andrea Barzagli,Rodrigo Bentancur,Group stage,3,0
6,Bayern Munich,Manuel Neuer,Niklas Süle,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Arjen Robben,James Rodríguez,Rafinha,Corentin Tolisso,Joshua Kimmich,Anderlecht,Matz Sels,Olivier Deschacht,Uroš Spajić,Andy Najar,Nicolae Stanciu,Alexandru Chipciu,Sven Kums,Adrien Trebel,Leander Dendoncker,Łukasz Teodorczyk,Sofiane Hanni,Group stage,3,0
7,Olympiacos,Stefanos Kapino,Alaixys Romao,Kostas Fortounis,Vadis Odjidja-Ofoe,Uroš Đurđević,Marko Marin,Guillaume Gillet,Omar Elabdellaoui,Mehdi Carcela,Björn Engels,Diogo Figueiras,Sporting CP,Rui Patrício,Jonathan Silva,Sebastián Coates,Bruno Fernandes,Marcos Acuña,William Carvalho,Rodrigo Battaglia,Jérémy Mathieu,Gelson Martins,Seydou Doumbia,Cristiano Piccini,Group stage,2,3
8,Porto,Iker Casillas,Iván Marcano,Yacine Brahimi,Óliver Torres,Moussa Marega,Alex Telles,Jesús Corona,Ricardo Pereira,Danilo Pereira,Felipe,Tiquinho Soares,Beşiktaş,Fabricio,Adriano,Pepe,Duško Tošić,Ricardo Quaresma,Ryan Babel,Oğuzhan Özyakup,Atiba Hutchinson,Cenk Tosun,Caner Erkin,Talisca,Group stage,1,3
9,Liverpool,Loris Karius,Georginio Wijnaldum,Dejan Lovren,Roberto Firmino,Mohamed Salah,Joe Gomez,Jordan Henderson,Alberto Moreno,Sadio Mané,Emre Can,Joël Matip,Sevilla,Sergio Rico,Simon Kjær,Wissam Ben Yedder,Éver Banega,Joaquín Correa,Guido Pizarro,Steven Nzonzi,Jesús Navas,Sergio Escudero,Nicolás Pareja,Gabriel Mercado,Group stage,2,2
