,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Benfica,Artur Moraes,Luisão,Andreas Samaris,Nicolás Gaitán,Lima,Maxi Pereira,Eduardo Salvio,Eliseu,Talisca,Jardel,Enzo Pérez,Zenit,Yuri Lodygin,Domenico Criscito,Nicolas Lombaerts,Hulk,Danny,Oleg Shatov,Igor Smolnikov,Javi García,Salomón Rondón,Ezequiel Garay,Axel Witsel,Group stage,0,2
1,Liverpool,Simon Mignolet,Dejan Lovren,Steven Gerrard,Philippe Coutinho,Jordan Henderson,Mamadou Sakho,Alberto Moreno,Javier Manquillo,Adam Lallana,Raheem Sterling,Mario Balotelli,Ludogorets,Milan Borjan,Mihail Aleksandrov,Roman Bezjak,Anicet Abel,Aleksandar Aleksandrov,Svetoslav Dyakov,Yordan Minev,Cosmin Moți,Júnior Caiçara,Marcelinho,Virgil Misidjan,Group stage,2,1
2,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,Sven Bender,Ciro Immobile,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Kevin Großkreutz,Sokratis Papastathopoulos,Marcel Schmelzer,Erik Durm,Arsenal,Wojciech Szczęsny,Kieran Gibbs,Per Mertesacker,Laurent Koscielny,Alexis Sánchez,Mikel Arteta,Jack Wilshere,Mesut Özil,Aaron Ramsey,Danny Welbeck,Héctor Bellerín,Group stage,2,0
3,Monaco,Danijel Subašić,Fabinho,Layvin Kurzawa,Ricardo Carvalho,João Moutinho,Dimitar Berbatov,Lucas Ocampos,Yannick Carrasco,Geoffrey Kondogbia,Andrea Raggi,Jérémy Toulalan,Leverkusen,Bernd Leno,Emir Spahić,Son Heung-min,Lars Bender,Hakan Çalhanoğlu,Stefan Kießling,Tin Jedvaj,Sebastian Boenisch,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,Group stage,1,0
4,Real Madrid,Iker Casillas,Pepe,Sergio Ramos,Cristiano Ronaldo,Toni Kroos,Karim Benzema,James Rodríguez,Gareth Bale,Marcelo,Nacho,Luka Modrić,Basel,Tomáš Vaclík,Walter Samuel,Luca Zuffi,Marco Streller,Fabian Schär,Marek Suchý,Behrang Safari,Fabian Frei,Derlis González,Mohamed Elneny,Taulant Xhaka,Group stage,5,1
5,Juventus,Gianluigi Buffon,Giorgio Chiellini,Martín Cáceres,Paul Pogba,Claudio Marchisio,Carlos Tevez,Fernando Llorente,Leonardo Bonucci,Kwadwo Asamoah,Stephan Lichtsteiner,Patrice Evra,Malmö,Robin Olsen,Pa Konate,Anton Tinnerholm,Filip Helander,Markus Halsti,Magnus Eriksson,Enoch Kofi Adu,Markus Rosenberg,Erik Berg,Isaac Kiese Thelin,Emil Forsberg,Group stage,2,0
6,Galatasaray,Fernando Muslera,Felipe Melo,Blerim Džemaili,Selçuk İnan,Wesley Sneijder,Alex Telles,Burak Yılmaz,Goran Pandev,Aurélien Chedjou,Semih Kaya,Veysel Sarı,Anderlecht,Davy Roef,Olivier Deschacht,Andy Najar,Dennis Praet,Bram Nuytinck,Steven Defour,Frank Acheampong,Ibrahima Conté,Chancel Mbemba,Youri Tielemans,Aleksandar Mitrović,Group stage,1,1
7,Olympiacos,Roberto,Giannis Maniatis,Alberto Botía,Luka Milivojević,Ibrahim Afellay,Kostas Mitroglou,Chori Domínguez,Pajtim Kasami,Omar Elabdellaoui,Éric Abidal,Arthur Masuaku,Atlético Madrid,Jan Oblak,Diego Godín,Mario Suárez,Koke,Raúl García,Mario Mandžukić,Arda Turan,Gabi,Cristian Ansaldi,Juanfran,Miranda,Group stage,3,2
8,Chelsea,Thibaut Courtois,Branislav Ivanović,Filipe Luís,Cesc Fàbregas,Ramires,Eden Hazard,Didier Drogba,Nemanja Matić,Willian,Gary Cahill,John Terry,Schalke 04,Ralf Fährmann,Max Meyer,Kevin-Prince Boateng,Julian Draxler,Marco Höger,Dennis Aogo,Sidney Sam,Christian Fuchs,Kaan Ayhan,Klaas-Jan Huntelaar,Roman Neustädter,Group stage,1,1
9,Porto,Fabiano,Danilo,Bruno Martins Indi,Maicon,Casemiro,Ricardo Quaresma,Yacine Brahimi,Jackson Martínez,Héctor Herrera,Adrián López,Alex Sandro,BATE Borisov,Sergei Chernik,Dzmitry Likhtarovich,Alyaksandr Valadzko,Illya Aleksiyevich,Anri Khagush,Vitali Rodionov,Egor Filipenko,Filip Mladenović,Edhar Alyakhnovich,Dzyanis Palyakow,Mikhail Gordeichuk,Group stage,6,0
